NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	0.0259405	0.0278412	0.0317285	0.0376981	0.0457159	0.0554439	0.0660972	0.0764146	0.0847981	0.0896394	0.0897528	0.0847556	0.0752316	0.0625849	0.0489989	0.0360319	0.0248426	0.0160335	0.00967408	0.00545188	0.0028692	0.00140039	0.000633267	0.000265086	0.00010264	3.67358e-05	1.2147e-05	3.70915e-06	1.0457e-06	2.72194e-07	6.54537e-08	1.45666e-08	2.98579e-09	5.63667e-10	9.80073e-11	1.56963e-11	2.31572e-12	3.14774e-13	8.76179e-17	2.97739e-17	9.7166e-18	3.04677e-18	9.19114e-19	2.66284e-19	7.41054e-20	1.98137e-20	5.09078e-21	1.25717e-21	2.98466e-22	6.81376e-23	1.49617e-23	3.16091e-24	6.42832e-25	1.26016e-25	2.37815e-26	4.32171e-27	7.56478e-28	1.2758e-28	2.07368e-29	3.24935e-30	4.90987e-31	7.15638e-32	1.00648e-32	1.36648e-33	1.79329e-34	2.27256e-35	2.78182e-36	3.29015e-37	3.76102e-38	4.15655e-39	4.44273e-40	4.5951e-41	4.60636e-42	4.50987e-43	4.52168e-44	6.55717e-45	
N2	0.0301052	0.0326586	0.0375516	0.044912	0.0541192	0.0646429	0.074911	0.0836908	0.0890451	0.090194	0.0862865	0.0781275	0.0664421	0.0532221	0.0400629	0.0284689	0.0189524	0.0119047	0.0069937	0.00388695	0.00202214	0.000998202	0.000460141	0.000203276	8.38691e-05	3.38132e-05	1.27836e-05	4.85299e-06	1.73042e-06	6.35339e-07	2.17711e-07	7.78083e-08	2.55787e-08	8.73646e-09	2.67722e-09	8.31628e-10	2.31539e-10	6.51383e-11	1.64981e-11	4.21655e-12	9.77007e-13	2.28388e-13	4.902e-14	1.06061e-14	2.13332e-15	4.20404e-16	7.59047e-17	1.34436e-17	2.20704e-18	3.55667e-19	5.3679e-20	7.95697e-21	1.1143e-21	1.53724e-22	2.02245e-23	2.62651e-24	3.17168e-25	3.66862e-26	3.99568e-27	4.1929e-28	4.1692e-29	4.00521e-30	3.65817e-31	3.22822e-32	2.70953e-33	2.19118e-34	1.6823e-35	1.24838e-36	8.87196e-38	6.219e-39	4.32089e-40	3.0937e-41	2.28793e-42	1.77022e-43	1.42455e-44	1.66155e-45	
N3	0.0624933	0.0653087	0.0699672	0.0758867	0.0814261	0.0856574	0.087129	0.0854892	0.080287	0.0722096	0.0618586	0.0505484	0.0391916	0.0288812	0.0202274	0.0135078	0.00855846	0.00517053	0.002962	0.00162193	0.000843515	0.000419904	0.000197968	9.00541e-05	3.88594e-05	1.64311e-05	6.6184e-06	2.67741e-06	1.03601e-06	4.14921e-07	1.58682e-07	6.43533e-08	2.45418e-08	9.96e-09	3.71303e-09	1.45505e-09	5.18224e-10	1.93114e-10	6.52574e-11	2.30072e-11	7.37995e-12	2.46621e-12	7.57105e-13	2.41167e-13	7.11399e-14	2.14044e-14	5.94802e-15	1.67961e-15	4.42322e-16	1.17943e-16	2.96304e-17	7.51695e-18	1.81354e-18	4.41525e-19	1.0305e-19	2.41759e-20	5.37766e-21	1.17869e-21	2.47046e-22	5.10379e-23	1.01288e-23	1.98203e-24	3.74144e-25	6.96334e-26	1.25269e-26	2.2143e-27	3.7763e-28	6.33723e-29	1.03381e-29	1.68844e-30	2.76802e-31	4.72982e-32	8.44795e-33	1.61102e-33	3.4018e-34	1.11857e-34	
N4	0.114149	0.113157	0.110226	0.105886	0.0992884	0.0910715	0.0808929	0.0697473	0.0578544	0.0463202	0.0355074	0.0261702	0.0183745	0.0123483	0.00791686	0.00487645	0.00286166	0.00161505	0.000868408	0.000450785	0.000223547	0.000107356	4.92131e-05	2.1969e-05	9.35166e-06	3.91677e-06	1.56843e-06	6.25622e-07	2.39078e-07	9.21205e-08	3.40522e-08	1.28307e-08	4.62663e-09	1.70371e-09	5.9036e-10	2.05162e-10	6.70201e-11	2.19386e-11	6.76301e-12	2.09032e-12	6.1092e-13	1.79473e-13	5.03054e-14	1.41947e-14	3.84628e-15	1.02509e-15	2.57877e-16	6.39788e-17	1.50923e-17	3.51961e-18	7.85865e-19	1.73979e-19	3.71484e-20	7.90811e-21	1.63485e-21	3.37507e-22	6.61258e-23	1.25993e-23	2.29683e-24	4.08699e-25	6.9874e-26	1.16833e-26	1.88216e-27	2.97034e-28	4.53213e-29	6.78331e-30	9.84305e-31	1.41355e-31	1.99471e-32	2.83994e-33	4.06934e-34	6.00882e-35	9.07099e-36	1.4209e-36	2.39782e-37	6.25909e-38	
N5	0.0625474	0.0652085	0.0695524	0.075125	0.0802423	0.0842479	0.0855335	0.0841406	0.0792763	0.071961	0.0622327	0.0516514	0.040514	0.0302808	0.0213773	0.0144286	0.00918071	0.00559936	0.00322506	0.00179385	0.000948475	0.000487979	0.000239606	0.000114488	5.18207e-05	2.29323e-05	9.62145e-06	3.9605e-06	1.54638e-06	5.94185e-07	2.17059e-07	7.83738e-08	2.69175e-08	9.11665e-09	2.87094e-09	8.67913e-10	2.44512e-10	6.61892e-11	1.67763e-11	4.10113e-12	9.452e-13	2.11421e-13	4.50339e-14	9.34531e-15	1.8543e-15	3.48737e-16	6.12253e-17	1.02429e-17	1.61125e-18	2.43008e-19	3.47371e-20	4.79603e-21	6.33147e-22	8.14475e-23	1.00841e-23	1.2209e-24	1.38986e-25	1.52159e-26	1.62787e-27	1.83165e-28	2.40675e-29	4.10763e-30	8.66201e-31	2.03372e-31	4.87349e-32	1.16636e-32	2.73749e-33	6.39987e-34	1.48204e-34	3.47494e-35	8.20871e-36	1.98815e-36	4.90196e-37	1.26026e-37	3.59607e-38	1.54521e-38	
N6	0.0368252	0.0391934	0.043554	0.0499585	0.0575833	0.0660835	0.0739426	0.0806264	0.0842903	0.0849663	0.081292	0.0745516	0.0639292	0.0518423	0.0389826	0.0277602	0.0181888	0.0113988	0.00661315	0.00378912	0.00206003	0.00116418	0.00064821	0.000369614	0.000194129	0.000103074	4.92356e-05	2.35121e-05	9.96114e-06	4.24157e-06	1.63047e-06	6.53194e-07	2.47832e-07	9.92218e-08	3.24829e-08	9.56807e-09	2.43404e-09	5.69548e-10	1.18143e-10	2.29781e-11	4.08176e-12	7.08356e-13	1.19468e-13	2.07075e-14	3.58675e-15	5.29806e-16	7.43234e-17	1.51508e-17	6.82542e-18	4.56355e-18	3.16544e-18	2.19478e-18	1.52404e-18	1.11388e-18	8.63181e-19	7.18205e-19	5.20057e-19	3.46006e-19	2.14779e-19	1.26954e-19	7.1546e-20	3.89352e-20	2.0385e-20	1.03844e-20	5.11533e-21	2.46415e-21	1.14824e-21	5.2659e-22	2.33516e-22	1.04307e-22	4.68893e-23	2.34215e-23	1.3392e-23	9.37095e-24	7.67696e-24	8.10357e-24	
N7	0.0366208	0.0389828	0.0433383	0.0497457	0.0573949	0.065942	0.0738775	0.0806451	0.0844057	0.0851459	0.0815281	0.0747677	0.0641322	0.0519728	0.0390835	0.0277993	0.0182185	0.0113982	0.00661634	0.00378136	0.00205754	0.00115829	0.000643586	0.000364608	0.000191381	0.000100809	4.811e-05	2.27591e-05	9.63257e-06	4.05949e-06	1.55882e-06	6.17712e-07	2.33508e-07	9.15063e-08	2.97448e-08	8.65519e-09	2.18297e-09	5.0419e-10	1.0353e-10	1.98554e-11	3.48654e-12	5.95894e-13	9.90813e-14	1.68534e-14	2.83851e-15	4.0586e-16	4.98986e-17	5.49224e-18	5.39811e-19	4.8869e-20	4.04688e-21	3.19967e-22	2.41025e-23	1.86064e-24	1.45128e-25	1.28673e-26	1.02671e-27	9.65402e-29	1.09044e-29	1.62836e-30	2.37487e-31	4.32362e-32	6.40916e-33	1.37473e-33	1.97522e-34	4.95063e-35	6.75156e-36	1.88072e-36	2.1283e-37	6.05468e-38	5.64433e-39	1.67826e-39	1.27197e-40	4.09473e-41	4.5465e-42	1.79144e-41	
N8	0.0340466	0.0361275	0.0400265	0.0459212	0.0533023	0.0619839	0.070806	0.0790799	0.085099	0.0880617	0.0863299	0.0799682	0.068831	0.0551429	0.0409615	0.0285694	0.01863	0.0116151	0.00687939	0.00397787	0.00220651	0.00120663	0.000628838	0.00032281	0.000153758	7.17723e-05	3.02924e-05	1.25006e-05	4.5675e-06	1.64658e-06	5.20929e-07	1.66536e-07	4.68649e-08	1.37013e-08	3.39035e-09	8.29638e-10	1.73209e-10	3.60534e-11	6.47234e-12	1.16589e-12	1.83118e-13	2.90722e-14	4.14195e-15	6.08394e-16	8.49653e-17	1.20877e-17	2.24389e-18	8.52808e-19	4.70052e-19	2.89616e-19	1.72511e-19	1.04149e-19	6.066e-20	3.64001e-20	2.18054e-20	1.38359e-20	7.94198e-21	4.37362e-21	2.28264e-21	1.16955e-21	5.76815e-22	2.81135e-22	1.3256e-22	6.17597e-23	2.78113e-23	1.23175e-23	5.24556e-24	2.18831e-24	8.74063e-25	3.44784e-25	1.3398e-25	5.54336e-26	2.57381e-26	1.44668e-26	9.5529e-27	8.24217e-27	
N9	3.05725e-15	2.02974e-16	6.45982e-15	1.88059e-11	1.7499e-12	2.56095e-10	5.7468e-07	0.000429481	0.000410854	5.12204e-07	2.11447e-10	3.41795e-12	3.1032e-12	4.71608e-11	1.2225e-07	2.96661e-09	2.76603e-10	2.40094e-07	0.00016402	0.000153146	1.25198e-05	4.81796e-09	9.06397e-13	1.02939e-14	1.07976e-14	1.96497e-14	8.10993e-11	3.44065e-07	0.000720488	0.518264	0.479249	0.000593974	2.44356e-07	5.19465e-11	6.46036e-15	5.34293e-17	4.29281e-17	2.5196e-17	1.00989e-17	2.71245e-18	4.24733e-19	3.01694e-20	4.90469e-24	3.6303e-28	1.58923e-32	4.59168e-37	9.06653e-42	1.28668e-46	1.302e-51	9.54753e-57	4.88697e-62	1.69793e-67	3.5687e-73	3.53036e-79	2.21897e-38	6.58287e-41	1.69161e-43	3.80536e-46	7.3688e-49	1.23172e-51	1.7337e-54	2.0357e-57	1.90941e-60	1.37052e-63	6.70397e-67	1.7243e-70	3.16458e-27	3.08716e-27	3.05266e-27	3.12648e-27	3.30125e-27	3.65354e-27	4.19137e-27	5.00712e-27	6.12929e-27	7.66992e-27	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
