NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	0.0356464	0.0384317	0.0439354	0.0519269	0.0618017	0.0724334	0.0822181	0.0893543	0.0922861	0.0901477	0.0830313	0.0719648	0.0586088	0.044798	0.0321012	0.02154	0.013517	0.0079222	0.00433058	0.00220496	0.00104441	0.000459689	0.000187823	7.11786e-05	2.50004e-05	8.1333e-06	2.44949e-06	6.82614e-07	1.75952e-07	4.19362e-08	9.23922e-09	1.88119e-09	3.53915e-10	6.15132e-11	9.8763e-12	1.4647e-12	1.91302e-16	6.80474e-17	2.32634e-17	7.64403e-18	2.41426e-18	7.3298e-19	2.13937e-19	6.00363e-20	1.62005e-20	4.20427e-21	1.04946e-21	2.52015e-22	5.82303e-23	1.29484e-23	2.77146e-24	5.71114e-25	1.13331e-25	2.16614e-26	3.98873e-27	7.07777e-28	1.21054e-28	1.99612e-29	3.17419e-30	4.86887e-31	7.20587e-32	1.02925e-32	1.41922e-33	1.88967e-34	2.43023e-35	3.01965e-36	3.626e-37	4.20905e-38	4.72441e-39	5.1292e-40	5.38822e-41	5.48002e-42	5.40481e-43	5.20968e-44	5.14634e-45	7.36508e-46	
N2	0.0387622	0.0423075	0.0485955	0.0576702	0.0678004	0.0782501	0.086391	0.0914984	0.0914863	0.0870931	0.0779341	0.0662427	0.0527655	0.0398722	0.0281375	0.0188385	0.0117373	0.00695937	0.00382851	0.00202018	0.000986069	0.000468625	0.000205342	8.97665e-05	3.59602e-05	1.4837e-05	5.54182e-06	2.19726e-06	7.70834e-07	2.92303e-07	9.55593e-08	3.40108e-08	1.0191e-08	3.33369e-09	9.05412e-10	2.6942e-10	6.57678e-11	1.76785e-11	3.87668e-12	9.43196e-13	1.85306e-13	4.07465e-14	7.20804e-15	1.44392e-15	2.29655e-16	4.18691e-17	6.04769e-18	1.01726e-18	1.33143e-19	2.05834e-20	2.48101e-21	3.59364e-22	3.96268e-23	5.31226e-24	5.47123e-25	6.93854e-26	6.56293e-27	7.67987e-28	6.82585e-29	7.55298e-30	6.14258e-31	6.21973e-32	4.75051e-33	4.53361e-34	3.15235e-35	2.73827e-36	1.79198e-37	1.47449e-38	8.92597e-40	6.86709e-41	4.22635e-42	3.37548e-43	2.34206e-44	2.04147e-45	1.74561e-46	2.35864e-47	
N3	0.0745577	0.0770984	0.0805716	0.0849398	0.0879736	0.0894383	0.0876312	0.0830561	0.0752045	0.0654563	0.0542103	0.043035	0.032421	0.0233812	0.0159636	0.010433	0.00644	0.00381255	0.00212732	0.00114449	0.000579226	0.000285729	0.000132362	6.09223e-05	2.62517e-05	1.15671e-05	4.73723e-06	2.05207e-06	8.12119e-07	3.49561e-07	1.33987e-07	5.6758e-08	2.08226e-08	8.50528e-09	2.94966e-09	1.1446e-09	3.71466e-10	1.35558e-10	4.10466e-11	1.40641e-11	3.96073e-12	1.2712e-12	3.33914e-13	1.00879e-13	2.46845e-14	7.01454e-15	1.6099e-15	4.34437e-16	9.33672e-17	2.38768e-17	4.86139e-18	1.19568e-18	2.29625e-19	5.39292e-20	9.93467e-21	2.27186e-21	3.96779e-22	8.68042e-23	1.46778e-23	3.14398e-24	5.03427e-25	1.02555e-25	1.59422e-26	3.17553e-27	4.64814e-28	8.73381e-29	1.24361e-29	2.29099e-30	3.1129e-31	5.53819e-32	7.93919e-33	1.52326e-33	2.5776e-34	5.65854e-35	1.29945e-35	5.06435e-36	
N4	0.117725	0.116725	0.112995	0.108021	0.100234	0.0911922	0.0799764	0.0683105	0.0559205	0.0443747	0.0336106	0.0246092	0.0171438	0.0115308	0.00735994	0.0045368	0.00264776	0.00149558	0.000798374	0.000414417	0.000202953	9.73986e-05	4.40334e-05	1.97271e-05	8.3043e-06	3.51259e-06	1.39051e-06	5.61302e-07	2.10437e-07	8.14668e-08	2.90076e-08	1.07621e-08	3.62817e-09	1.2818e-09	4.07459e-10	1.36326e-10	4.0645e-11	1.28054e-11	3.57482e-12	1.05953e-12	2.76318e-13	7.69011e-14	1.87725e-14	4.92087e-15	1.12384e-15	2.77393e-16	5.95324e-17	1.39123e-17	2.80505e-18	6.20235e-19	1.18226e-19	2.49109e-20	4.48354e-21	8.97906e-22	1.5375e-22	2.94987e-23	4.78737e-24	8.74735e-25	1.35658e-25	2.38067e-26	3.50415e-27	5.8533e-28	8.25412e-29	1.32611e-29	1.77923e-30	2.72953e-31	3.55499e-32	5.33871e-33	6.88204e-34	1.03553e-34	1.42059e-35	2.27275e-36	3.47024e-37	5.95807e-38	1.06424e-38	3.05349e-39	
N5	0.0241822	0.0295214	0.0391486	0.0522569	0.066232	0.0797391	0.0895446	0.0955761	0.095662	0.0916438	0.0824451	0.0709681	0.0570359	0.0437312	0.0311219	0.0211248	0.0132545	0.00795571	0.00440397	0.00234596	0.00115061	0.000547581	0.000239781	0.000102916	4.05876e-05	1.58557e-05	5.6834e-06	2.0379e-06	6.67923e-07	2.20694e-07	6.6379e-08	2.02419e-08	5.58061e-09	1.56571e-09	3.95035e-10	1.01744e-10	2.33977e-11	5.50835e-12	1.15352e-12	2.48178e-13	4.72136e-14	9.26269e-15	1.60426e-15	2.87837e-16	4.53572e-17	7.43629e-18	1.07078e-18	1.61188e-19	2.12025e-20	2.92758e-21	3.53747e-22	4.50775e-23	5.00473e-24	5.89625e-25	6.11997e-26	6.9403e-27	7.39906e-28	1.01308e-28	1.63568e-29	3.76948e-30	8.90625e-31	2.42639e-31	5.94422e-32	1.59243e-32	3.75285e-33	9.65973e-34	2.22076e-34	5.61875e-35	1.29287e-35	3.2969e-36	7.96889e-37	2.11892e-37	5.49981e-38	1.55849e-38	4.80673e-39	2.28422e-39	
N6	0.00356821	0.0047734	0.00761379	0.0130995	0.0221048	0.0356201	0.0527794	0.0726591	0.0908893	0.105983	0.112676	0.112611	0.102064	0.0868085	0.065859	0.0468525	0.0292858	0.0174019	0.00903501	0.0046167	0.00206532	0.000958527	0.000390416	0.000173922	6.64804e-05	2.86375e-05	1.01623e-05	4.12035e-06	1.31062e-06	4.80189e-07	1.3405e-07	4.35197e-08	1.0443e-08	2.93628e-09	6.05377e-10	1.47819e-10	2.58714e-11	5.40743e-12	8.1256e-13	1.47832e-13	1.88419e-14	2.9373e-15	3.24996e-16	4.55357e-17	4.94512e-18	1.22323e-18	5.36659e-19	4.48596e-19	2.72197e-19	2.22734e-19	1.29416e-19	1.03538e-19	5.5615e-20	4.16412e-20	2.19689e-20	1.65186e-20	8.13859e-21	5.73731e-21	2.81352e-21	2.00857e-21	9.19337e-22	6.12512e-22	2.80704e-22	1.89911e-22	8.07509e-23	5.05461e-23	2.15842e-23	1.37718e-23	5.49314e-24	3.28332e-24	1.38804e-24	9.09895e-25	4.53351e-25	3.54152e-25	2.87212e-25	3.46293e-25	
N7	0.00354354	0.00473631	0.00755166	0.0129941	0.0219616	0.0354341	0.0526242	0.0725233	0.0909237	0.106066	0.112962	0.112796	0.10235	0.0868686	0.0659833	0.0467938	0.0292987	0.0173322	0.00901854	0.00457809	0.00205301	0.000943828	0.000385325	0.000169447	6.4954e-05	2.75315e-05	9.80964e-06	3.90044e-06	1.2477e-06	4.47016e-07	1.25608e-07	3.97539e-08	9.608e-09	2.62803e-09	5.45484e-10	1.29242e-10	2.27679e-11	4.61185e-12	6.96418e-13	1.2258e-13	1.5683e-14	2.36595e-15	2.61146e-16	3.47798e-17	3.25489e-18	3.75867e-19	3.05529e-20	3.21636e-21	2.19337e-22	2.06943e-23	1.20852e-24	1.13958e-25	5.22339e-27	5.0866e-28	1.78584e-29	2.36589e-30	5.11943e-32	1.034e-32	1.52423e-34	8.50502e-35	1.22174e-36	2.10948e-36	3.48325e-38	1.12822e-37	1.44399e-39	4.84597e-39	6.15054e-41	2.33511e-40	2.48086e-42	8.08086e-42	8.93515e-44	3.10823e-43	2.91403e-45	8.63357e-45	2.47242e-46	2.21853e-45	
N8	0.0024984	0.00341176	0.00566909	0.010279	0.0184417	0.0314471	0.0493226	0.0710361	0.0930241	0.111564	0.121528	0.120968	0.10883	0.0890976	0.0655514	0.0438405	0.0262937	0.0144456	0.00715297	0.00331105	0.00139474	0.000566571	0.000210287	7.80052e-05	2.60648e-05	9.00918e-06	2.70623e-06	8.66769e-07	2.29394e-07	6.6573e-08	1.52121e-08	3.92632e-09	7.64683e-10	1.73256e-10	2.87166e-11	5.69001e-12	8.01704e-13	1.38052e-13	1.66418e-14	2.49977e-15	2.57962e-16	3.37023e-17	3.01917e-18	3.49302e-19	2.76824e-20	3.11677e-21	3.44612e-22	1.0852e-22	3.86826e-23	2.21002e-23	9.20469e-24	5.54351e-24	2.30119e-24	1.38824e-24	5.92731e-25	3.73179e-25	1.56479e-25	9.69866e-26	4.15e-26	2.66573e-26	1.08721e-26	6.6801e-27	2.7494e-27	1.74175e-27	6.66655e-28	3.94865e-28	1.52456e-28	9.34955e-29	3.32323e-29	1.89127e-29	7.06208e-30	4.43297e-30	1.91496e-30	1.45148e-30	1.13224e-30	1.37832e-30	
N9	4.63783e-22	8.71857e-18	2.72406e-14	1.61658e-10	1.17149e-08	2.41585e-08	5.81961e-07	6.94325e-05	8.90739e-05	0.000111405	0.00479384	0.00595287	0.00455331	0.00215535	0.0384201	0.129047	0.238301	0.272612	0.19399	0.0859497	0.0206924	0.000204964	0.000485705	0.000769041	0.000804844	0.000592447	0.000287425	9.33136e-05	1.71158e-05	1.44232e-06	1.89937e-08	1.06623e-07	3.42806e-07	7.62455e-07	1.12057e-06	1.2371e-06	9.27035e-07	5.2379e-07	1.93419e-07	4.99877e-08	7.12997e-09	4.82266e-10	7.04671e-14	4.91455e-18	1.87974e-22	5.12815e-27	9.03798e-32	1.23954e-36	1.13352e-41	8.13767e-47	3.78618e-52	1.29434e-57	2.45675e-63	2.36968e-69	1.1953e-28	3.39508e-31	7.78007e-34	1.7311e-36	3.07661e-39	5.22508e-42	6.87643e-45	8.34306e-48	7.44546e-51	5.61255e-54	2.63935e-57	7.20038e-61	1.1652e-17	1.21809e-17	1.19596e-17	1.3258e-17	1.43278e-17	1.73527e-17	2.09206e-17	2.73677e-17	3.58487e-17	4.89464e-17	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	0.00249962	0.00341506	0.00567784	0.0102971	0.018475	0.0314959	0.049388	0.071103	0.0930904	0.111608	0.121559	0.12096	0.108799	0.0890301	0.0654786	0.0437647	0.0262386	0.0144064	0.00713223	0.00329998	0.00139023	0.000564643	0.000209598	7.77717e-05	2.59683e-05	8.99328e-06	2.6927e-06	8.68773e-07	2.27779e-07	6.75026e-08	1.50676e-08	4.0986e-09	7.55525e-10	1.93352e-10	2.83222e-11	7.35115e-12	7.91519e-13	2.3729e-13	1.65808e-14	7.02842e-15	2.6514e-16	1.88912e-16	3.38199e-18	4.61179e-18	3.75397e-20	9.23147e-20	4.06096e-22	1.60334e-21	4.54043e-24	2.15984e-23	4.95133e-26	2.59984e-25	4.91915e-28	2.35631e-27	4.17023e-30	2.00386e-29	3.03104e-32	1.23127e-31	1.81345e-34	7.48114e-34	9.31137e-37	3.12442e-36	3.89267e-39	1.37644e-38	1.41583e-41	3.9034e-41	4.15929e-44	1.28033e-43	1.08569e-46	2.45366e-46	2.28004e-49	6.35269e-49	4.36666e-52	7.98504e-52	1.1235e-54	6.92946e-54	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.00191219	0.00257985	0.00420662	0.00749502	0.0133321	0.0228176	0.0363416	0.0537426	0.073235	0.0929815	0.108961	0.118112	0.116088	0.103939	0.0831956	0.0608546	0.0400369	0.0249638	0.0144208	0.00849133	0.00474752	0.0029364	0.00167623	0.00113909	0.00065857	0.000474556	0.000264708	0.000186062	9.47347e-05	6.09042e-05	2.75731e-05	1.58649e-05	6.30413e-06	3.2153e-06	1.12433e-06	5.12475e-07	1.56952e-07	6.37302e-08	1.73189e-08	6.4069e-09	1.53363e-09	5.12432e-10	1.11421e-10	3.52628e-11	6.84179e-12	1.98838e-12	3.65717e-13	1.05609e-13	1.74631e-14	4.59199e-15	7.44686e-16	1.97612e-16	2.83291e-17	6.61131e-18	9.35035e-19	2.18703e-19	2.67852e-20	5.37672e-21	6.48814e-22	1.30464e-22	1.35482e-23	2.32317e-24	2.38337e-25	4.11724e-26	3.62695e-27	5.32378e-28	4.64992e-29	6.93863e-30	5.22617e-31	6.66032e-32	5.09728e-33	6.88086e-34	5.33819e-35	7.72535e-36	1.09986e-36	3.34532e-37	
Bulbostylis_funckii	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	7.19858e-27	5.08095e-23	1.244e-19	1.15694e-16	1.6506e-16	5.97956e-13	1.18487e-09	1.21788e-09	6.39883e-13	6.5058e-16	8.26033e-13	2.91418e-09	5.60936e-06	0.00474921	0.990934	0.00430631	4.60986e-06	2.17723e-09	5.60092e-13	9.06606e-17	9.75737e-21	7.54311e-25	4.23382e-29	1.82938e-33	6.01264e-38	1.587e-42	3.27001e-47	5.56048e-52	7.47348e-57	8.42842e-62	7.53535e-67	5.69768e-72	3.39648e-77	1.71219e-82	6.72237e-88	2.2141e-93	5.56252e-99	1.15167e-104	1.76292e-110	2.15311e-116	1.84649e-122	1.19017e-128	4.91913e-135	1.35034e-141	1.93893e-148	1.3057e-155	2.06982e-163	3.13441e-33	2.78733e-33	2.65623e-33	2.36767e-33	2.2704e-33	2.02807e-33	1.95489e-33	1.75399e-33	1.70278e-33	1.53244e-33	1.495e-33	1.35256e-33	1.3289e-33	1.2068e-33	1.19212e-33	1.09203e-33	1.09123e-33	1.01291e-33	1.03026e-33	9.87713e-34	1.04435e-33	1.06022e-33	1.19075e-33	1.31956e-33	1.5986e-33	1.93396e-33	2.48783e-33	3.20166e-33	4.25347e-33	
