NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	0.109599	0.110058	0.110274	0.109115	0.105416	0.0984204	0.0880542	0.0750131	0.0605598	0.0461716	0.0331573	0.0223821	0.0141789	0.00841752	0.00467742	0.00242996	0.00117904	0.000533766	0.000225264	8.85478e-05	3.2397e-05	1.1025e-05	3.48787e-06	1.02524e-06	2.79897e-07	7.09437e-08	1.66895e-08	3.64313e-09	7.37769e-10	1.38582e-10	2.41426e-11	3.90043e-12	5.84349e-13	1.06851e-16	3.83516e-17	1.32558e-17	4.4123e-18	1.41441e-18	4.36678e-19	1.29853e-19	3.71944e-20	1.0263e-20	2.72828e-21	6.98813e-22	1.72481e-22	4.10281e-23	9.40675e-24	2.0791e-24	4.43048e-25	9.10405e-26	1.80425e-26	3.44912e-27	6.36131e-28	1.13211e-28	1.94455e-29	3.22419e-30	5.16151e-31	7.97951e-32	1.19154e-32	1.71898e-33	2.39634e-34	3.22881e-35	4.20578e-36	5.29736e-37	6.45326e-38	7.60514e-39	8.67249e-40	9.57182e-41	1.02274e-41	1.05823e-42	1.06068e-43	1.03048e-44	9.72062e-46	8.97333e-47	8.49834e-48	1.16802e-48	
N2	0.105138	0.107442	0.10865	0.108602	0.105283	0.0991864	0.0884549	0.0757541	0.0612843	0.0470786	0.0340177	0.0235053	0.0151016	0.00929716	0.00536228	0.00294627	0.00151378	0.000759178	0.000349474	0.00015963	6.80644e-05	2.86959e-05	1.12203e-05	4.55998e-06	1.63983e-06	6.24984e-07	2.14303e-07	7.59278e-08	2.3738e-08	8.04814e-09	2.276e-09	7.06078e-10	1.86708e-10	5.25528e-11	1.25206e-11	3.3369e-12	7.11767e-13	1.7178e-13	3.44402e-14	7.56719e-15	1.36429e-15	2.8425e-16	4.62447e-17	8.80134e-18	1.35538e-18	2.33121e-19	3.26087e-20	5.43402e-21	6.81148e-22	1.02272e-22	1.23585e-23	1.69986e-24	1.84385e-25	2.42623e-26	2.3873e-27	2.8734e-28	2.68533e-29	2.89968e-30	2.47612e-31	2.61067e-32	1.9836e-33	1.87023e-34	1.38041e-35	1.20095e-36	7.91445e-38	6.54575e-39	3.96318e-40	3.04347e-41	1.76568e-42	1.24517e-43	7.15779e-45	5.45483e-46	3.5271e-47	3.01543e-48	2.62009e-49	3.63695e-50	
N3	0.135559	0.133877	0.127411	0.118006	0.105483	0.0918057	0.0762662	0.0614018	0.0472757	0.0349684	0.0246676	0.0168221	0.0108393	0.00676191	0.00401367	0.00229379	0.00124567	0.000664164	0.000331392	0.000164409	7.75059e-05	3.62082e-05	1.60045e-05	7.34047e-06	3.06013e-06	1.35246e-06	5.52729e-07	2.34642e-07	9.0364e-08	3.80531e-08	1.37059e-08	5.46898e-09	1.90559e-09	7.13589e-10	2.31134e-10	8.45744e-11	2.53124e-11	8.65722e-12	2.50613e-12	8.03776e-13	2.1578e-13	6.75206e-14	1.68509e-14	4.96176e-15	1.2053e-15	3.31247e-16	7.52967e-17	2.05983e-17	4.33517e-18	1.10549e-18	2.3081e-19	5.56181e-20	1.0775e-20	2.5703e-21	4.65756e-22	1.04858e-22	1.86804e-23	3.89937e-24	6.54088e-25	1.37845e-25	2.12129e-26	4.12344e-27	6.36802e-28	1.17504e-28	1.66758e-29	3.02268e-30	4.04835e-31	6.99666e-32	9.24814e-33	1.50717e-33	2.02428e-34	3.66913e-35	5.71934e-36	1.21411e-36	2.79788e-37	1.11697e-37	
N4	0.148954	0.145612	0.135883	0.122486	0.105951	0.0890321	0.071256	0.0553854	0.0412209	0.0295919	0.0203167	0.0135689	0.00858436	0.0052929	0.0031151	0.0017746	0.000963621	0.000514652	0.000258275	0.000128359	6.06833e-05	2.81844e-05	1.24204e-05	5.52768e-06	2.2754e-06	9.55392e-07	3.77095e-07	1.49407e-07	5.52223e-08	2.11771e-08	7.31385e-09	2.64052e-09	8.7461e-10	2.9597e-10	9.14227e-11	2.98826e-11	8.5766e-12	2.62242e-12	7.23007e-13	2.07067e-13	5.31484e-14	1.46989e-14	3.51592e-15	9.12524e-16	2.1037e-16	5.10629e-17	1.10097e-17	2.60314e-18	5.22943e-19	1.15741e-19	2.26005e-20	4.7043e-21	8.58113e-22	1.73991e-22	2.97158e-23	5.6691e-24	9.40971e-25	1.68019e-25	2.62109e-26	4.59743e-27	6.6824e-28	1.09644e-28	1.56377e-29	2.42263e-30	3.23255e-31	4.90924e-32	6.22191e-33	9.06387e-34	1.15804e-34	1.66338e-35	2.2239e-36	3.51381e-37	5.29904e-38	9.23131e-39	1.7143e-39	5.14351e-40	
N5	0.0263893	0.0325543	0.0434166	0.0576084	0.0723671	0.0859925	0.0946166	0.0986576	0.0964479	0.0893919	0.0779837	0.0652314	0.0508746	0.0380839	0.026757	0.0178921	0.0112029	0.00677159	0.00377878	0.00204577	0.0010345	0.000503085	0.000228243	0.000101855	4.15745e-05	1.68128e-05	6.31948e-06	2.32166e-06	7.90213e-07	2.69857e-07	8.32485e-08	2.59079e-08	7.41012e-09	2.09791e-09	5.44381e-10	1.43685e-10	3.3733e-11	8.08814e-12	1.76354e-12	3.84176e-13	7.57974e-14	1.53734e-14	2.74486e-15	5.05961e-16	8.39863e-17	1.40407e-17	2.11418e-18	3.3082e-19	4.51129e-20	6.41492e-21	8.18599e-22	1.06158e-22	1.2319e-23	1.50115e-24	1.59119e-25	1.78621e-26	1.81714e-27	1.9813e-28	2.17275e-29	3.19789e-30	5.52808e-31	1.28975e-31	3.03929e-32	7.80187e-33	1.83342e-33	4.69201e-34	1.06535e-34	2.65076e-35	6.13734e-36	1.53307e-36	3.71649e-37	9.96125e-38	2.62171e-38	7.60925e-39	2.44361e-39	1.20666e-39	
N6	0.00326914	0.00452218	0.00749922	0.013241	0.0227577	0.037025	0.0548063	0.0751106	0.0936359	0.107542	0.112635	0.110696	0.098139	0.0822881	0.0628361	0.045058	0.0292536	0.0184427	0.0102417	0.00566528	0.00282085	0.00139995	0.000621367	0.000294054	0.000117336	5.13786e-05	1.93381e-05	7.76594e-06	2.60339e-06	9.89277e-07	2.90944e-07	9.81936e-08	2.61511e-08	7.64965e-09	1.74709e-09	4.65502e-10	8.94559e-11	2.02552e-11	3.48215e-12	6.76225e-13	9.76165e-14	1.6959e-14	2.07309e-15	3.10398e-16	3.42401e-17	4.70538e-18	7.12054e-19	3.30829e-19	1.79576e-19	1.42503e-19	8.69845e-20	6.61676e-20	3.68629e-20	2.77847e-20	1.45912e-20	1.05508e-20	5.49663e-21	3.67142e-21	1.8399e-21	1.29306e-21	5.92023e-22	3.81609e-22	1.82421e-22	1.14863e-22	5.02402e-23	3.13995e-23	1.32481e-23	8.09302e-24	3.3913e-24	1.92151e-24	8.23314e-25	5.33095e-25	2.6308e-25	2.04253e-25	1.71463e-25	2.113e-25	
N7	0.00323926	0.00447758	0.00742298	0.0131129	0.0225782	0.0367872	0.0545981	0.0749292	0.0935994	0.107591	0.112893	0.110878	0.0984724	0.082448	0.0630092	0.0450869	0.0293113	0.0183974	0.0102411	0.00563297	0.00280886	0.0013846	0.000616057	0.000288413	0.000115544	4.99613e-05	1.88506e-05	7.46578e-06	2.51228e-06	9.37317e-07	2.77072e-07	9.16704e-08	2.44812e-08	7.01929e-09	1.60825e-09	4.18218e-10	8.06902e-11	1.78353e-11	3.06581e-12	5.81871e-13	8.38479e-14	1.42581e-14	1.73195e-15	2.54572e-16	2.74741e-17	3.43844e-18	3.12578e-19	3.77168e-20	2.77813e-21	2.9417e-22	2.00219e-23	1.99863e-24	1.02416e-25	1.22591e-26	4.53175e-28	6.78343e-29	2.66493e-30	5.70635e-31	2.20398e-32	1.74188e-32	5.38395e-34	6.22519e-34	2.8884e-35	2.80191e-35	6.30463e-37	1.05012e-36	1.80707e-38	3.58772e-38	7.37206e-40	9.63735e-40	1.34772e-41	2.89832e-41	2.91638e-43	5.95319e-43	1.73371e-44	1.15509e-43	
N8	0.00183314	0.00259273	0.00451952	0.00856902	0.0160182	0.0282731	0.0454851	0.066864	0.0891033	0.108013	0.118922	0.119905	0.109268	0.09137	0.0696085	0.0487009	0.0312483	0.0188514	0.0104051	0.00549638	0.00270799	0.00127839	0.000561314	0.000247128	9.69186e-05	3.90531e-05	1.41774e-05	5.18668e-06	1.65102e-06	5.70402e-07	1.56228e-07	4.77744e-08	1.17537e-08	3.1212e-09	6.48469e-10	1.57335e-10	2.73463e-11	5.67266e-12	8.74848e-13	1.54838e-13	2.00227e-14	3.17614e-15	3.45831e-16	4.72186e-17	4.72844e-18	6.49435e-19	1.07003e-19	4.78435e-20	2.05178e-20	1.28354e-20	6.03561e-21	3.65647e-21	1.60348e-21	9.81914e-22	4.05761e-22	2.37695e-22	9.84644e-23	5.35592e-23	2.11859e-23	1.22008e-23	4.38376e-24	2.31273e-24	8.75118e-25	4.49929e-25	1.54385e-25	8.00053e-26	2.63278e-26	1.33386e-26	4.37042e-27	2.02186e-27	6.67135e-28	3.56682e-28	1.32076e-28	8.43795e-29	5.72126e-29	5.97756e-29	
N9	9.27988e-32	1.64067e-27	9.73771e-24	1.55457e-20	7.62093e-17	8.98964e-17	5.11074e-13	1.33594e-14	1.36608e-12	2.51546e-09	5.37891e-11	1.51439e-12	5.63253e-09	1.08527e-05	8.48921e-06	2.67038e-09	6.04578e-11	5.47833e-09	1.05749e-05	0.0108103	0.0143365	5.72086e-06	1.09584e-09	1.88925e-13	9.30064e-12	6.39751e-08	0.000259143	0.355042	0.473558	0.145874	8.38783e-05	1.99375e-08	2.55109e-12	2.83782e-16	1.05858e-16	1.16656e-16	8.73706e-17	4.9073e-17	1.84458e-17	4.71619e-18	6.82543e-19	4.64966e-20	6.85635e-24	4.78443e-28	1.88111e-32	5.09109e-37	9.15065e-42	1.26399e-46	1.16753e-51	8.35054e-57	3.98328e-62	1.33898e-67	2.57747e-73	2.48381e-79	1.25308e-38	3.50893e-41	8.18011e-44	1.77492e-46	3.17043e-49	5.342e-52	6.98725e-55	8.33305e-58	7.52671e-61	5.51649e-64	2.60149e-67	7.05143e-71	1.13172e-27	1.16559e-27	1.15883e-27	1.2651e-27	1.38257e-27	1.69178e-27	2.07376e-27	2.76227e-27	3.72697e-27	5.20526e-27	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
