NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	0.0990868	0.100673	0.103102	0.105015	0.104775	0.100982	0.0929392	0.0809915	0.0664245	0.0510635	0.036699	0.024614	0.0153903	0.00896302	0.00485954	0.00245129	0.00115	0.000501489	0.000203206	7.64725e-05	2.67188e-05	8.66319e-06	2.60586e-06	7.26905e-07	1.87995e-07	4.5065e-08	1.00111e-08	2.06068e-09	3.92993e-10	6.94364e-11	1.13664e-11	1.72391e-12	2.42271e-13	6.69487e-17	2.32606e-17	7.78128e-18	2.50655e-18	7.77585e-19	2.32337e-19	6.68722e-20	1.85434e-20	4.95463e-21	1.27578e-21	3.16631e-22	7.57544e-23	1.74748e-23	3.88722e-24	8.33992e-25	1.72606e-25	3.44668e-26	6.64162e-27	1.23525e-27	2.21783e-28	3.8448e-29	6.43692e-30	1.04094e-30	1.62633e-31	2.45532e-32	3.58278e-33	5.05395e-34	6.89342e-35	9.09335e-36	1.16036e-36	1.43262e-37	1.71175e-38	1.97977e-39	2.21692e-40	2.40407e-41	2.5253e-42	2.57015e-43	2.53535e-44	2.42555e-45	2.2544e-46	2.05161e-47	1.91592e-48	2.59703e-49	
N2	0.0945599	0.0979867	0.101594	0.103956	0.104141	0.101122	0.092725	0.0811089	0.0671807	0.0520177	0.0379921	0.0263098	0.0168813	0.0102842	0.00592638	0.00317993	0.00161806	0.000793835	0.00035788	0.000157084	6.63588e-05	2.62197e-05	1.00002e-05	3.83072e-06	1.31497e-06	4.59266e-07	1.54768e-07	4.86566e-08	1.46825e-08	4.59047e-09	1.22855e-09	3.44898e-10	9.10073e-11	2.26912e-11	5.32334e-12	1.33417e-12	2.74381e-13	6.11243e-14	1.25977e-14	2.49132e-15	4.5405e-16	9.03407e-17	1.43995e-17	2.54925e-18	4.12371e-19	6.37783e-20	9.03655e-21	1.43504e-21	1.77728e-22	2.48126e-23	3.12329e-24	3.82313e-25	4.24188e-26	5.37693e-27	5.15534e-28	5.70033e-29	5.64151e-30	5.47653e-31	4.76875e-32	4.7923e-33	3.60454e-34	3.17986e-35	2.50533e-36	1.92587e-37	1.31451e-38	1.06065e-39	6.36076e-41	4.52458e-42	2.8217e-43	1.77882e-44	1.03473e-45	7.50311e-47	4.59777e-48	3.7199e-49	3.28775e-50	4.57052e-51	
N3	0.127344	0.126915	0.122743	0.115163	0.105236	0.0935248	0.0793086	0.0649265	0.0510433	0.0381123	0.0272513	0.0187358	0.0121487	0.00758017	0.00453936	0.00257298	0.00140247	0.000744658	0.000370567	0.000181002	8.61868e-05	3.89574e-05	1.72248e-05	7.69678e-06	3.15869e-06	1.32626e-06	5.47807e-07	2.14089e-07	8.19222e-08	3.27561e-08	1.14893e-08	4.25853e-09	1.51609e-09	5.1471e-10	1.67731e-10	5.87982e-11	1.73036e-11	5.55711e-12	1.68182e-12	4.93943e-13	1.36142e-13	4.13561e-14	1.02778e-14	2.86558e-15	7.42367e-16	1.86629e-16	4.36656e-17	1.15826e-17	2.444e-18	5.8818e-19	1.2972e-19	2.81974e-20	5.65016e-21	1.3095e-21	2.33618e-22	4.86593e-23	9.23125e-24	1.73856e-24	2.98567e-25	5.99328e-26	9.14982e-27	1.65977e-27	2.73086e-28	4.43629e-29	6.50186e-30	1.14125e-30	1.50817e-31	2.39509e-32	3.38167e-33	4.88276e-34	6.58376e-35	1.12276e-35	1.6417e-36	3.26432e-37	7.59528e-38	3.01823e-38	
N4	0.14344	0.14112	0.13318	0.120795	0.106069	0.0903601	0.0733292	0.057595	0.0435886	0.0314378	0.0218284	0.0146663	0.00933153	0.0057512	0.00341831	0.00193313	0.00105549	0.000562205	0.000282165	0.000138685	6.61927e-05	3.00724e-05	1.32857e-05	5.82162e-06	2.37928e-06	9.70206e-07	3.86281e-07	1.46095e-07	5.39173e-08	2.0087e-08	6.84498e-09	2.3668e-09	7.95e-10	2.5367e-10	7.86503e-11	2.49817e-11	7.09801e-12	2.07972e-12	5.88489e-13	1.58792e-13	4.13237e-14	1.11569e-14	2.65724e-15	6.62368e-16	1.58503e-16	3.61909e-17	7.93898e-18	1.83385e-18	3.68394e-19	7.82629e-20	1.58518e-20	3.08699e-21	5.75004e-22	1.14091e-22	1.93633e-23	3.52018e-24	6.08881e-25	1.01627e-25	1.61411e-26	2.74974e-27	3.98283e-28	6.24208e-29	9.28994e-30	1.33107e-30	1.81217e-31	2.68319e-32	3.36835e-33	4.63175e-34	6.08619e-35	7.99261e-36	1.04981e-36	1.57762e-37	2.27863e-38	3.8359e-39	7.20182e-40	2.1653e-40	
N5	0.0194055	0.0249937	0.0353664	0.0492903	0.0651856	0.080969	0.0926848	0.099734	0.100806	0.0949769	0.0845273	0.0716161	0.0565174	0.0425891	0.0304909	0.020453	0.0130393	0.00797665	0.00451957	0.00246222	0.00127717	0.00061921	0.000285972	0.000127917	5.25394e-05	2.09883e-05	8.00586e-06	2.85116e-06	9.70116e-07	3.2367e-07	9.81639e-08	2.9313e-08	8.3579e-09	2.22973e-09	5.68872e-10	1.43988e-10	3.27643e-11	7.43083e-12	1.60919e-12	3.2702e-13	6.34555e-14	1.2327e-14	2.1381e-15	3.73373e-16	6.21647e-17	9.71748e-18	1.44992e-18	2.18737e-19	2.92455e-20	3.966e-21	5.11564e-22	6.22867e-23	7.23412e-24	8.57154e-25	8.9426e-26	9.60517e-27	9.98729e-28	1.03243e-28	1.15209e-29	1.6888e-30	2.96626e-31	6.77698e-32	1.65558e-32	4.02667e-33	9.57988e-34	2.40007e-34	5.37498e-35	1.27568e-35	2.9729e-36	6.92252e-37	1.64203e-37	4.2526e-38	1.09156e-38	3.12227e-39	1.01881e-39	5.0801e-40	
N6	0.00152017	0.00224207	0.00410086	0.00796533	0.0151157	0.0269026	0.0432433	0.0636261	0.0852821	0.103022	0.113919	0.116713	0.107519	0.0925241	0.0738888	0.0537586	0.0364468	0.0236122	0.0136118	0.00758788	0.00398292	0.0019128	0.000865385	0.000391301	0.000151641	5.99902e-05	2.2335e-05	7.66127e-06	2.46517e-06	8.36269e-07	2.30517e-07	6.80224e-08	1.82237e-08	4.56656e-09	1.03611e-09	2.5525e-10	4.76095e-11	9.78532e-12	1.76482e-12	3.0172e-13	4.49117e-14	7.41745e-15	8.98153e-16	1.23953e-16	1.48683e-17	1.83405e-18	3.01601e-19	1.42298e-19	8.01828e-20	5.98107e-20	3.95482e-20	2.64521e-20	1.56619e-20	1.14904e-20	5.98256e-21	3.91866e-21	2.25337e-21	1.33534e-21	6.99622e-22	4.62652e-22	2.14273e-22	1.27923e-22	6.72301e-23	3.60627e-23	1.67832e-23	1.01817e-23	4.29533e-24	2.36525e-24	1.10246e-24	5.45837e-25	2.41883e-25	1.47137e-25	6.90026e-26	4.93098e-26	4.17375e-26	5.06132e-26	
N7	0.00150339	0.00221566	0.00405046	0.00787442	0.0149702	0.0266902	0.0430208	0.0634266	0.0851458	0.103043	0.114104	0.11688	0.10784	0.0927682	0.0740348	0.0538615	0.0365087	0.0235708	0.0136025	0.00755703	0.00395609	0.0018955	0.000856313	0.000384077	0.000149051	5.84924e-05	2.16868e-05	7.3934e-06	2.37323e-06	7.94284e-07	2.19068e-07	6.3778e-08	1.69984e-08	4.21146e-09	9.51696e-10	2.3038e-10	4.28991e-11	8.66903e-12	1.55377e-12	2.61715e-13	3.86494e-14	6.30774e-15	7.54451e-16	1.02918e-16	1.21342e-17	1.3467e-18	1.27547e-19	1.49456e-20	1.1128e-21	1.09501e-22	8.6769e-24	7.01508e-25	4.1962e-26	4.89026e-27	1.9316e-28	2.19494e-29	1.49642e-30	1.7448e-31	1.21372e-32	5.54405e-33	2.95085e-34	1.59184e-34	1.97582e-35	5.95698e-36	3.43624e-37	2.56244e-37	8.7329e-39	6.67472e-39	3.92461e-40	1.70095e-40	5.18258e-42	5.18911e-42	8.8526e-44	9.56574e-44	4.32886e-45	1.66449e-44	
N8	0.000729927	0.00110221	0.00213345	0.00451436	0.00944921	0.0185287	0.0328579	0.0527036	0.0761894	0.09871	0.115645	0.123234	0.118328	0.103959	0.0837343	0.0612779	0.0413136	0.0259228	0.0147479	0.00787018	0.00394012	0.001806	0.00078113	0.000328307	0.000123219	4.56244e-05	1.62314e-05	5.25388e-06	1.62288e-06	5.14763e-07	1.35162e-07	3.7011e-08	9.39743e-09	2.16118e-09	4.56294e-10	1.03317e-10	1.76741e-11	3.32199e-12	5.48501e-13	8.50338e-14	1.14598e-14	1.72738e-15	1.87938e-16	2.37607e-17	2.60961e-18	3.1656e-19	5.39172e-20	2.29987e-20	9.95462e-21	5.81364e-21	2.96609e-21	1.58132e-21	7.35788e-22	4.41431e-22	1.80654e-22	9.6559e-23	4.44242e-23	2.14203e-23	8.90829e-24	4.85735e-24	1.7643e-24	8.62747e-25	3.63319e-25	1.57367e-25	5.79312e-26	2.92116e-26	9.61003e-27	4.33356e-27	1.60588e-27	6.39638e-28	2.20394e-28	1.09729e-28	3.82871e-29	2.18442e-29	1.46994e-29	1.49627e-29	
N9	1.84503e-34	3.25364e-30	3.40412e-26	3.43947e-23	1.75258e-19	9.77496e-19	3.72081e-15	2.56934e-16	2.37783e-13	5.65595e-11	1.24344e-12	5.65375e-13	2.1366e-09	8.83602e-07	7.01259e-07	2.37227e-10	3.15368e-11	1.59787e-08	1.45687e-05	0.00321994	0.00434254	1.7323e-06	3.35561e-10	5.27167e-14	9.54735e-12	6.56214e-08	0.000268919	0.361661	0.483342	0.147063	8.38912e-05	1.94697e-08	2.50792e-12	2.3332e-16	4.71834e-17	5.11431e-17	3.80143e-17	2.08071e-17	7.93947e-18	1.95695e-18	2.85234e-19	1.91524e-20	2.81092e-24	1.91033e-28	7.67405e-33	1.9949e-37	3.61858e-42	4.92149e-47	4.53175e-52	3.15058e-57	1.53664e-62	4.94054e-68	9.60952e-74	9.11452e-80	4.41874e-39	1.19667e-41	2.85504e-44	5.90581e-47	1.06368e-49	1.75673e-52	2.28158e-55	2.63176e-58	2.43521e-61	1.69082e-64	8.02047e-68	2.12427e-71	3.23773e-28	3.17563e-28	3.15336e-28	3.20601e-28	3.41169e-28	4.02708e-28	4.80258e-28	6.29131e-28	8.58601e-28	1.2073e-27	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
