NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	2.85683e-09	6.13445e-09	2.12821e-08	9.01249e-08	3.96964e-07	1.6889e-06	6.72219e-06	2.46864e-05	8.31233e-05	0.000255841	0.000718549	0.00183955	0.00428937	0.00910419	0.0175807	0.0308744	0.0492917	0.0715214	0.0942936	0.112936	0.122864	0.121401	0.108945	0.0887921	0.0657274	0.0441935	0.0269938	0.0149808	0.00755537	0.00346362	0.00144369	0.000547298	0.000188765	5.92552e-05	1.6936e-05	4.40921e-06	1.04609e-06	2.26279e-07	4.4648e-08	8.0402e-09	1.32213e-09	1.9864e-10	2.72833e-11	3.42784e-12	3.94188e-13	8.19833e-17	2.54702e-17	7.57761e-18	2.15956e-18	5.89765e-19	1.54389e-19	3.87548e-20	9.33158e-21	2.15603e-21	4.78163e-22	1.01828e-22	2.08297e-23	4.09424e-24	7.73553e-25	1.40536e-25	2.45591e-26	4.12974e-27	6.68444e-28	1.04182e-28	1.56406e-29	2.26256e-30	3.15485e-31	4.24169e-32	5.5008e-33	6.88321e-34	8.31368e-35	9.69773e-36	1.09423e-36	1.20378e-37	1.3572e-38	2.22514e-39	
N2	3.41343e-08	7.8647e-08	2.63986e-07	9.63362e-07	3.45812e-06	1.18299e-05	3.80803e-05	0.000114535	0.00032033	0.000830092	0.00198764	0.00438845	0.00891933	0.0166661	0.0286003	0.045038	0.065039	0.0860843	0.104387	0.115931	0.11789	0.109749	0.0935241	0.0729493	0.0520829	0.0340383	0.0203649	0.0111559	0.00559648	0.00257167	0.00108273	0.0004178	0.000147811	4.79621e-05	1.42798e-05	3.90279e-06	9.79617e-07	2.25935e-07	4.79056e-08	9.34332e-09	1.67717e-09	2.77248e-10	4.2232e-11	5.93157e-12	7.68653e-13	9.19619e-14	1.01646e-14	1.03866e-15	9.81863e-17	8.59237e-18	6.96553e-19	5.23431e-20	3.64844e-21	2.3603e-22	1.41806e-23	7.91647e-25	4.10876e-26	1.98359e-27	8.91207e-29	3.72843e-30	1.45336e-31	5.28335e-33	1.79365e-34	5.70057e-36	1.7039e-37	4.83222e-39	1.32199e-40	3.59024e-42	1.00813e-43	3.04299e-45	9.99036e-47	3.48506e-48	1.24603e-49	4.48278e-51	1.71151e-52	1.13142e-53	
N3	3.38671e-05	5.55125e-05	0.000112923	0.000241712	0.000514981	0.00106934	0.00213922	0.00409049	0.00743261	0.0127785	0.0207202	0.0316121	0.0452989	0.0608865	0.0766864	0.0904378	0.0998081	0.103033	0.0994568	0.0897505	0.0757019	0.0596753	0.0439614	0.0302643	0.0194707	0.0117072	0.00657937	0.00345648	0.00169774	0.000779796	0.000335011	0.000134652	5.06481e-05	1.78336e-05	5.88007e-06	1.81611e-06	5.25625e-07	1.42611e-07	3.62868e-08	8.66251e-09	1.94102e-09	4.08413e-10	8.07337e-11	1.50004e-11	2.6209e-12	4.30837e-13	6.66667e-14	9.71534e-15	1.33408e-15	1.72706e-16	2.10892e-17	2.43034e-18	2.64458e-19	2.71869e-20	2.64182e-21	2.42784e-22	2.11123e-23	1.73813e-24	1.35545e-25	1.00178e-26	7.02048e-28	4.66763e-29	2.94566e-30	1.76542e-31	1.00533e-32	5.44233e-34	2.80215e-35	1.37291e-36	6.404e-38	2.84532e-39	1.20481e-40	4.86605e-42	1.87919e-43	7.02395e-45	2.74138e-46	1.89047e-47	
N4	0.00322771	0.00397057	0.00562915	0.00852838	0.0130839	0.0196974	0.0286055	0.0397085	0.0524281	0.0656622	0.0778893	0.0874327	0.0928287	0.09319	0.0884411	0.079339	0.0672728	0.0539135	0.0408374	0.0292366	0.0197842	0.0126547	0.00765162	0.00437381	0.0023638	0.00120795	0.000583755	0.000266816	0.00011536	4.71883e-05	1.8265e-05	6.69103e-06	2.32027e-06	7.61814e-07	2.36874e-07	6.97661e-08	1.94686e-08	5.14869e-09	1.29075e-09	3.06826e-10	6.91771e-11	1.47972e-11	3.00378e-12	5.78844e-13	1.05923e-13	1.84118e-14	3.04098e-15	4.77401e-16	7.12607e-17	1.01172e-17	1.36664e-18	1.75707e-19	2.15085e-20	2.50767e-21	2.78561e-22	2.94926e-23	2.97718e-24	2.86648e-25	2.63331e-26	2.30896e-27	1.93308e-28	1.54582e-29	1.18113e-30	8.62629e-32	6.0241e-33	4.024e-34	2.57202e-35	1.57362e-36	9.21902e-38	5.17354e-39	2.78215e-40	1.43462e-41	7.1086e-43	3.42686e-44	1.74973e-45	1.64417e-46	
N5	3.29884e-05	6.47534e-05	0.000152653	0.000358048	0.000805924	0.00172561	0.00349832	0.00668955	0.012026	0.0202677	0.0319445	0.0469907	0.0644035	0.0821229	0.0973092	0.107038	0.109209	0.103278	0.0904783	0.0733973	0.0551151	0.0383017	0.0246302	0.0146556	0.00806948	0.004112	0.00193963	0.000847158	0.000342724	0.000128481	4.46539e-05	1.43957e-05	4.30735e-06	1.19692e-06	3.09092e-07	7.42299e-08	1.65904e-08	3.45343e-09	6.70032e-10	1.21266e-10	2.04894e-11	3.23462e-12	4.77508e-13	6.59722e-14	8.53741e-15	1.03571e-15	1.17885e-16	1.25992e-17	1.26546e-18	1.19545e-19	1.06302e-20	8.90468e-22	7.03249e-23	5.24022e-24	3.68699e-25	2.45136e-26	1.54129e-27	9.17178e-29	5.17037e-30	2.76501e-31	1.40675e-32	6.8592e-34	3.27207e-35	1.61314e-36	9.19427e-38	6.79571e-39	6.37323e-40	6.69617e-41	7.18564e-42	7.57042e-43	7.72941e-44	7.62955e-45	7.31966e-46	7.00958e-47	7.54105e-48	1.47119e-48	
N6	5.36985e-09	1.56692e-08	6.83986e-08	3.20193e-07	1.45499e-06	6.20357e-06	2.44351e-05	8.81235e-05	0.000289279	0.000860728	0.00231402	0.00560722	0.0122219	0.0239242	0.0420002	0.0660533	0.0929744	0.117039	0.131683	0.132361	0.118817	0.0952328	0.0681462	0.0435357	0.0248338	0.012651	0.00575721	0.00234138	0.000851339	0.000276908	8.06174e-05	2.1022e-05	4.91343e-06	1.03015e-06	1.93899e-07	3.27938e-08	4.9882e-09	6.83033e-10	8.42771e-11	9.37954e-12	9.42546e-13	8.56104e-14	7.03578e-15	5.23751e-16	3.53538e-17	2.16631e-18	1.20642e-19	6.11911e-21	2.85787e-22	1.34559e-23	1.05749e-24	2.24144e-25	6.67901e-26	1.95484e-26	5.35959e-27	1.37698e-27	3.33322e-28	7.6454e-29	1.67009e-29	3.48902e-30	6.99347e-31	1.34806e-31	2.50284e-32	4.48031e-33	7.73802e-34	1.29006e-34	2.07686e-35	3.22978e-36	4.85331e-37	7.04932e-38	9.90108e-39	1.34592e-39	1.77575e-40	2.30117e-41	3.10197e-42	6.03765e-43	
N7	5.18887e-09	1.5101e-08	6.58947e-08	3.09134e-07	1.40987e-06	6.03727e-06	2.38863e-05	8.65136e-05	0.000285117	0.000851354	0.00229595	0.00557833	0.0121863	0.023898	0.0420136	0.066141	0.0931547	0.117291	0.131944	0.132549	0.118873	0.0951506	0.06797	0.0433313	0.0246552	0.0125234	0.00568029	0.00230151	0.000833384	0.000269834	7.81669e-05	2.02727e-05	4.71059e-06	9.81403e-07	1.83478e-07	3.08077e-08	4.65014e-09	6.31555e-10	7.72531e-11	8.51946e-12	8.47893e-13	7.62348e-14	6.19877e-15	4.56312e-16	3.0443e-17	1.84269e-18	1.01305e-19	5.06403e-21	2.30421e-22	9.55404e-24	3.61388e-25	1.24849e-26	3.94466e-28	1.14202e-29	3.04115e-31	7.52477e-33	1.78233e-34	4.3877e-36	1.32385e-37	5.844e-39	4.43683e-40	6.59033e-41	1.46525e-41	3.59304e-42	8.76175e-43	2.07851e-43	4.77973e-44	1.06541e-44	2.30301e-45	4.83017e-46	9.83477e-47	1.94616e-47	3.75661e-48	7.18596e-49	1.46815e-49	4.46813e-50	
N8	3.11552e-10	1.04024e-09	5.88414e-09	3.66097e-08	2.17062e-07	1.17752e-06	5.76942e-06	2.53893e-05	0.000100008	0.000351688	0.00110175	0.00306918	0.00759097	0.0166468	0.032332	0.0555641	0.0844267	0.113348	0.134396	0.140681	0.129973	0.105969	0.0762425	0.0484094	0.0271294	0.0134223	0.00586442	0.00226361	0.000772246	0.000232978	6.21921e-05	1.46994e-05	3.07833e-06	5.71629e-07	9.41996e-08	1.37877e-08	1.79407e-09	2.07728e-10	2.14236e-11	1.97e-12	1.61688e-13	1.18574e-14	7.77846e-16	4.57008e-17	2.40917e-18	1.14542e-19	5.03922e-21	2.3569e-22	1.82157e-23	2.80398e-24	5.4793e-25	1.07058e-25	1.99806e-26	3.54048e-27	5.95469e-28	9.51078e-29	1.44342e-29	2.08283e-30	2.85932e-31	3.73666e-32	4.65135e-33	5.51835e-34	6.24358e-35	6.74078e-36	6.94856e-37	6.84293e-38	6.44178e-39	5.80021e-40	4.99834e-41	4.12535e-42	3.2642e-43	2.48077e-44	1.81981e-45	1.31004e-46	9.89153e-48	1.11834e-48	
N9	1.41264e-10	1.51568e-10	1.71957e-10	2.02153e-10	2.41656e-10	1.60586e-53	7.10318e-50	1.62047e-46	2.49726e-43	2.88782e-40	2.64782e-37	1.98998e-34	1.25273e-31	6.70354e-29	3.08035e-26	1.22389e-23	4.22311e-21	7.03232e-62	6.83181e-56	3.01269e-50	7.89811e-45	1.36243e-39	1.62244e-34	1.36361e-29	8.13106e-25	3.40712e-20	9.76431e-16	1.81224e-11	1.94879e-07	0.000913256	0.00968147	0.0446941	0.119366	0.205967	0.242235	0.199246	0.115521	0.046852	0.0129566	0.00231629	0.000239751	1.08171e-05	1.10533e-09	4.92873e-14	1.27534e-18	2.14084e-23	2.46254e-28	1.99465e-33	1.14885e-38	4.68137e-44	1.32029e-49	2.45681e-55	2.72567e-61	1.3768e-67	4.14629e-27	5.93916e-30	7.41343e-33	8.02926e-36	7.49425e-39	5.9673e-42	3.99398e-45	2.19846e-48	9.6227e-52	3.16679e-55	7.04226e-59	8.05474e-63	6.1965e-20	2.55911e-20	1.04194e-20	4.18277e-21	1.65581e-21	6.465e-22	2.49135e-22	9.51668e-23	3.71575e-23	1.78871e-23	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
