NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	5.37112e-07	8.79479e-07	2.01081e-06	5.40832e-06	1.52211e-05	4.20226e-05	0.000110247	0.000270956	0.000620421	0.00132195	0.00262336	0.00485756	0.00841149	0.0136541	0.0208274	0.0299233	0.0405854	0.052078	0.0633511	0.0732011	0.0804909	0.084373	0.084452	0.0808443	0.0741263	0.0651922	0.0550687	0.044736	0.0349931	0.0263868	0.0192021	0.0134998	0.00917832	0.00604047	0.00385168	0.00238168	0.00142934	0.000833211	0.000472149	0.000260272	0.000139671	7.30155e-05	3.72079e-05	1.84944e-05	8.97205e-06	4.25052e-06	1.96759e-06	8.90436e-07	3.9416e-07	1.7075e-07	7.24228e-08	3.00899e-08	1.22516e-08	4.89081e-09	1.915e-09	7.35754e-10	2.77492e-10	1.02776e-10	3.73966e-11	1.33734e-11	4.70222e-12	1.62634e-12	5.53591e-13	2.09304e-16	1.20304e-16	6.86854e-17	3.89831e-17	2.20211e-17	1.24043e-17	6.98877e-18	3.95857e-18	2.27389e-18	1.34501e-18	8.41458e-19	5.81914e-19	4.72184e-19	
N2	3.84768e-06	6.57503e-06	1.51717e-05	3.79884e-05	9.3861e-05	0.000221262	0.000492064	0.00102877	0.00202077	0.00373124	0.00648349	0.0106168	0.0164098	0.0239807	0.0331909	0.0435844	0.0543931	0.0646234	0.073212	0.0792158	0.081987	0.0812874	0.0773144	0.0706393	0.0620791	0.0525408	0.0428761	0.0337749	0.0257101	0.018932	0.0134989	0.0093288	0.00625415	0.00407103	0.00257509	0.00158409	0.00094841	0.000553042	0.000314319	0.00017423	9.4254e-05	4.97928e-05	2.57029e-05	1.29717e-05	6.40401e-06	3.09439e-06	1.46416e-06	6.78749e-07	3.0842e-07	1.37433e-07	6.00818e-08	2.57804e-08	1.0862e-08	4.49555e-09	1.82842e-09	7.31062e-10	2.87462e-10	1.11202e-10	4.2335e-11	1.5867e-11	5.85659e-12	2.12958e-12	7.6311e-13	2.6957e-13	9.39083e-14	3.22748e-14	1.09493e-14	3.66967e-15	1.21684e-15	4.00382e-16	1.31528e-16	4.37077e-17	1.51026e-17	5.73257e-18	2.63406e-18	1.67541e-18	
N3	0.000460337	0.00063726	0.00104667	0.00178222	0.00299233	0.004872	0.00764398	0.0115238	0.0166695	0.0231225	0.0307552	0.0392401	0.0480563	0.0565391	0.0639661	0.0696653	0.0731187	0.0740416	0.072418	0.0684892	0.062701	0.0556238	0.0478656	0.0399934	0.0324763	0.0256538	0.0197296	0.0147852	0.0108051	0.00770629	0.00536782	0.00365416	0.00243278	0.00158497	0.00101112	0.000631989	0.000387238	0.000232725	0.000137254	7.94772e-05	4.52061e-05	2.5269e-05	1.38868e-05	7.50631e-06	3.99238e-06	2.0902e-06	1.0776e-06	5.47259e-07	2.73873e-07	1.35105e-07	6.57198e-08	3.15327e-08	1.49278e-08	6.97471e-09	3.21718e-09	1.46541e-09	6.59322e-10	2.93089e-10	1.28759e-10	5.59174e-11	2.40114e-11	1.01979e-11	4.28517e-12	1.78214e-12	7.33914e-13	2.99474e-13	1.21203e-13	4.87281e-14	1.95108e-14	7.81484e-15	3.1556e-15	1.30252e-15	5.63402e-16	2.66684e-16	1.48067e-16	1.05524e-16	
N4	0.0115894	0.012731	0.0154438	0.0196825	0.0253773	0.0323348	0.0401848	0.0483794	0.0562441	0.0630683	0.0682112	0.0711993	0.0717926	0.0700079	0.066098	0.0604946	0.0537326	0.0463703	0.0389217	0.0318083	0.0253343	0.0196835	0.0149313	0.0110678	0.00802288	0.00569155	0.0039543	0.00269239	0.00179768	0.00117776	0.000757563	0.000478673	0.000297264	0.000181529	0.000109058	6.44868e-05	3.75471e-05	2.15354e-05	1.21723e-05	6.78268e-06	3.72732e-06	2.02074e-06	1.08116e-06	5.71045e-07	2.97845e-07	1.53454e-07	7.81188e-08	3.93048e-08	1.95507e-08	9.61645e-09	4.67857e-09	2.25195e-09	1.07263e-09	5.05695e-10	2.36028e-10	1.09086e-10	4.99329e-11	2.26417e-11	1.01724e-11	4.52907e-12	1.99877e-12	8.74537e-13	3.79464e-13	1.63335e-13	6.97751e-14	2.96016e-14	1.24846e-14	5.24335e-15	2.19921e-15	9.25733e-16	3.9444e-16	1.72653e-16	7.96163e-17	4.02984e-17	2.37934e-17	1.76331e-17	
N5	0.000583858	0.000910471	0.00166751	0.00304316	0.00531173	0.00879506	0.0137983	0.0205201	0.0289513	0.0387931	0.0494265	0.0599583	0.0693449	0.0765717	0.0808406	0.0817177	0.0792028	0.0737061	0.0659464	0.0568031	0.0471624	0.0377914	0.02926	0.0219144	0.0158938	0.0111743	0.00762325	0.00505126	0.00325383	0.00203941	0.00124478	0.00074046	0.000429604	0.000243282	0.000134565	7.27485e-05	3.84653e-05	1.99037e-05	1.0085e-05	5.0066e-06	2.43653e-06	1.16303e-06	5.44778e-07	2.50534e-07	1.13171e-07	5.02367e-08	2.19235e-08	9.40985e-09	3.97387e-09	1.65184e-09	6.761e-10	2.72581e-10	1.08286e-10	4.24022e-11	1.63712e-11	6.23432e-12	2.3423e-12	8.68505e-13	3.17909e-13	1.14911e-13	4.10272e-14	1.44734e-14	5.04659e-15	1.7399e-15	5.93411e-16	2.00345e-16	6.70201e-17	2.22473e-17	7.34569e-18	2.42208e-18	8.02896e-19	2.70696e-19	9.47662e-20	3.58257e-20	1.58352e-20	9.53725e-21	
N6	2.96845e-06	5.88345e-06	1.60831e-05	4.69238e-05	0.000132704	0.000351568	0.000861646	0.00194528	0.00404245	0.00773978	0.0136778	0.0223601	0.033897	0.0477711	0.0627449	0.0769972	0.0884911	0.0954688	0.0969018	0.0927346	0.083846	0.0717637	0.0582536	0.0449273	0.0329768	0.023074	0.0154144	0.00984603	0.006022	0.00353142	0.00198813	0.00107588	0.000560292	0.000281116	0.000136032	6.35523e-05	2.86934e-05	1.25315e-05	5.29894e-06	2.17128e-06	8.62865e-07	3.32828e-07	1.24704e-07	4.54195e-08	1.60922e-08	5.55004e-09	1.86453e-09	6.10536e-10	1.94978e-10	6.07638e-11	1.84901e-11	5.49673e-12	1.59724e-12	4.53902e-13	1.2621e-13	3.43537e-14	9.1582e-15	2.39224e-15	6.12575e-16	1.53842e-16	3.79107e-17	9.17149e-18	2.17947e-18	5.09064e-19	1.16961e-19	2.64596e-20	5.90174e-21	1.30032e-21	2.83803e-22	6.16295e-23	1.3412e-23	2.96164e-24	6.78989e-25	1.69204e-25	5.07587e-26	2.31863e-26	
N7	2.89992e-06	5.74375e-06	1.57049e-05	4.5889e-05	0.000130086	0.000345602	0.000849494	0.00192323	0.00400701	0.00768974	0.0136169	0.022299	0.0338527	0.0477635	0.0627903	0.0771012	0.0886444	0.0956485	0.0970772	0.0928761	0.0839331	0.0717894	0.0582239	0.0448574	0.0328853	0.0229781	0.0153266	0.00977324	0.00596639	0.0034918	0.00196162	0.00105911	0.000550226	0.000275362	0.000132892	6.19118e-05	2.78713e-05	1.21356e-05	5.11537e-06	2.08923e-06	8.27465e-07	3.18066e-07	1.18747e-07	4.30909e-08	1.52096e-08	5.22535e-09	1.7485e-09	5.7022e-10	1.81348e-10	5.6277e-11	1.70508e-11	5.04655e-12	1.45985e-12	4.12964e-13	1.14293e-13	3.09631e-14	8.21468e-15	2.13531e-15	5.4407e-16	1.35949e-16	3.33298e-17	8.02125e-18	1.89602e-18	4.40461e-19	1.00639e-19	2.26381e-20	5.01998e-21	1.09945e-21	2.38508e-22	5.14833e-23	1.1142e-23	2.45015e-24	5.61214e-25	1.40716e-25	4.30117e-26	2.01846e-26	
N8	5.11857e-07	1.07929e-06	3.4269e-06	1.20812e-05	4.12565e-05	0.000129985	0.000372169	0.000965185	0.00226946	0.00485014	0.00944995	0.0168401	0.0275359	0.0414446	0.057595	0.0741193	0.0885809	0.0985797	0.102423	0.0995966	0.0908546	0.0779253	0.0629746	0.0480495	0.0346808	0.0237227	0.0154055	0.00951375	0.00559604	0.00313996	0.0016831	0.000863057	0.000423923	0.000199711	9.03454e-05	3.92919e-05	1.64465e-05	6.63248e-06	2.5796e-06	9.68553e-07	3.51396e-07	1.23299e-07	4.18783e-08	1.37797e-08	4.39604e-09	1.36077e-09	4.09002e-10	1.19452e-10	3.39225e-11	9.3733e-12	2.52163e-12	6.6088e-13	1.68838e-13	4.20703e-14	1.023e-14	2.42888e-15	5.63367e-16	1.27718e-16	2.83146e-17	6.14156e-18	1.30402e-18	2.71191e-19	5.52766e-20	1.10533e-20	2.17168e-21	4.20496e-22	8.07596e-23	1.56096e-23	3.13376e-24	6.93395e-25	1.82799e-25	5.99313e-26	2.37281e-26	1.07899e-26	5.64723e-27	3.75624e-27	
N9	1.24648e-138	6.6857e-133	3.15102e-127	1.28954e-121	4.54083e-116	1.36597e-110	3.4934e-105	7.57283e-100	1.38902e-94	2.1534e-89	2.81939e-84	3.11477e-79	2.90045e-74	2.2732e-69	1.49654e-64	8.25452e-60	3.80199e-55	1.45622e-50	4.61389e-46	1.20146e-41	2.55057e-37	4.36982e-33	5.9654e-29	6.38314e-25	5.23905e-21	3.20224e-17	1.39677e-13	4.0672e-10	7.01162e-07	0.000536805	0.005691	0.027591	0.0806122	0.15801	0.218911	0.219838	0.161265	0.0857802	0.0322747	0.0081569	0.00124485	8.72818e-05	1.35345e-07	1.00836e-10	4.80622e-14	1.65316e-17	4.38972e-21	9.39834e-25	1.67268e-28	2.53146e-32	3.31549e-36	3.8108e-40	3.88808e-44	3.55488e-48	2.93603e-52	2.20549e-56	1.51572e-60	9.57905e-65	5.59193e-69	3.02726e-73	1.52512e-77	7.17264e-82	3.15777e-86	1.30467e-90	5.07031e-95	1.85743e-99	6.42732e-104	2.10529e-108	6.54336e-113	1.93559e-117	5.47265e-122	1.48842e-126	3.93221e-131	1.02359e-135	2.67475e-140	7.23109e-145	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
