NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	6.60863e-10	7.33384e-10	8.82353e-10	1.1499e-09	1.64596e-09	2.5936e-09	4.73682e-09	9.72646e-09	2.09083e-08	4.41583e-08	8.81598e-08	1.64679e-07	3.03948e-07	7.42718e-07	1.28083e-06	1.80275e-06	2.19478e-06	2.32616e-06	1.768e-06	1.36397e-06	1.13749e-06	1.07078e-06	1.14239e-06	1.34031e-06	1.65644e-06	2.07304e-06	2.54929e-06	3.01661e-06	3.3887e-06	3.57767e-06	3.45081e-06	2.46789e-06	1.80957e-06	1.44439e-06	1.30841e-06	1.34953e-06	1.53724e-06	1.85184e-06	2.26749e-06	2.73794e-06	3.19237e-06	3.54592e-06	3.71469e-06	3.56852e-06	2.55487e-06	1.88566e-06	1.52511e-06	1.41114e-06	1.50179e-06	1.78967e-06	2.30145e-06	3.10201e-06	4.3248e-06	6.27323e-06	9.70589e-06	1.6614e-05	3.22175e-05	6.78839e-05	0.000170645	0.000465733	0.00127794	0.00335692	0.00819861	0.0182841	0.0367907	0.0662326	0.106032	0.150317	0.188326	0.209207	0.21112	
N2	2.69601e-10	1.6333e-10	2.47007e-10	4.84307e-10	1.02056e-09	2.17469e-09	4.55382e-09	9.12353e-09	1.71567e-08	2.98164e-08	4.72147e-08	6.73676e-08	8.7122e-08	1.16993e-07	1.29321e-07	1.27082e-07	1.17009e-07	1.04905e-07	8.07846e-08	7.89634e-08	9.14659e-08	1.14251e-07	1.44659e-07	1.78733e-07	2.10279e-07	2.31905e-07	2.37673e-07	2.26059e-07	2.01371e-07	1.71858e-07	1.44385e-07	1.05091e-07	9.77535e-08	1.08699e-07	1.31414e-07	1.62163e-07	1.96447e-07	2.27875e-07	2.492e-07	2.54886e-07	2.43888e-07	2.2093e-07	1.94686e-07	1.72563e-07	1.39235e-07	1.46454e-07	1.88905e-07	2.78418e-07	4.5249e-07	8.03727e-07	1.57145e-06	3.42323e-06	8.34311e-06	2.24515e-05	6.46859e-05	0.000191672	0.000561398	0.00157033	0.00411563	0.00991062	0.0216195	0.0422695	0.0733923	0.112107	0.148964	0.169651	0.162285	0.12685	0.0780826	0.0361339	0.0121886	
N3	1.5077e-10	8.35039e-11	1.12119e-10	1.9284e-10	3.56643e-10	6.73308e-10	1.26073e-09	2.28242e-09	3.91108e-09	6.23817e-09	9.15394e-09	1.23025e-08	1.53498e-08	1.95957e-08	2.2169e-08	2.3095e-08	2.29571e-08	2.23136e-08	1.99382e-08	1.95862e-08	2.11613e-08	2.44002e-08	2.88041e-08	3.35818e-08	3.77353e-08	4.03132e-08	4.07496e-08	3.91109e-08	3.60985e-08	3.26939e-08	2.95232e-08	2.49029e-08	2.33643e-08	2.43868e-08	2.74533e-08	3.19492e-08	3.70755e-08	4.19089e-08	4.56181e-08	4.77598e-08	4.85125e-08	4.87591e-08	4.99224e-08	5.35054e-08	5.7509e-08	7.3637e-08	1.1294e-07	2.03042e-07	4.16434e-07	9.55203e-07	2.41551e-06	6.63021e-06	1.93475e-05	5.84693e-05	0.000177699	0.000527524	0.00149098	0.00392929	0.00951718	0.0208731	0.0409698	0.0712677	0.108843	0.144465	0.164651	0.158783	0.127208	0.0827543	0.0425201	0.0167754	0.00515653	
N4	1.93543e-10	1.07767e-10	1.32012e-10	1.87809e-10	2.69876e-10	3.82777e-10	5.30902e-10	7.13794e-10	9.23648e-10	1.14521e-09	1.35919e-09	1.54948e-09	1.72191e-09	2.04199e-09	2.26314e-09	2.44773e-09	2.63222e-09	2.81337e-09	2.77975e-09	2.89362e-09	3.07051e-09	3.25119e-09	3.39752e-09	3.48535e-09	3.50651e-09	3.47126e-09	3.40559e-09	3.34181e-09	3.31285e-09	3.33824e-09	3.40493e-09	3.27145e-09	3.35023e-09	3.54562e-09	3.80367e-09	4.10614e-09	4.46744e-09	4.9512e-09	5.70975e-09	7.07196e-09	9.76062e-09	1.54802e-08	2.85131e-08	6.00216e-08	1.33439e-07	3.40792e-07	9.50194e-07	2.78861e-06	8.39777e-06	2.54364e-05	7.61816e-05	0.000222146	0.000621567	0.00164565	0.00406897	0.0092843	0.0193478	0.0365116	0.0618479	0.0933051	0.1244	0.14552	0.148292	0.130698	0.0989026	0.0638153	0.0349403	0.0162736	0.00660188	0.00251532	0.00107071	
N5	2.43549e-10	1.33048e-10	1.58025e-10	2.16574e-10	2.98126e-10	4.03534e-10	5.32854e-10	6.82116e-10	8.42575e-10	1.00215e-09	1.14898e-09	1.27657e-09	1.39211e-09	1.55177e-09	1.70233e-09	1.85351e-09	2.01093e-09	2.16537e-09	2.24466e-09	2.33832e-09	2.4359e-09	2.52044e-09	2.57605e-09	2.59382e-09	2.57576e-09	2.53507e-09	2.49226e-09	2.46763e-09	2.47918e-09	2.53326e-09	2.61796e-09	2.65199e-09	2.74126e-09	2.88009e-09	3.06511e-09	3.30904e-09	3.66e-09	4.23863e-09	5.32172e-09	7.55335e-09	1.25093e-08	2.42632e-08	5.37731e-08	1.31088e-07	3.33427e-07	9.01107e-07	2.54104e-06	7.34866e-06	2.14437e-05	6.21738e-05	0.000176525	0.000484007	0.00126461	0.00310927	0.00711121	0.0149744	0.0287727	0.0500295	0.0780764	0.10866	0.133933	0.145251	0.137722	0.113459	0.0807342	0.0493867	0.025946	0.0118332	0.00493253	0.00229093	0.0017574	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	5.32082e-10	1.72612e-10	1.20304e-10	1.17197e-10	1.209e-10	1.2505e-10	1.29476e-10	1.35101e-10	1.42813e-10	1.52994e-10	1.65304e-10	1.78735e-10	1.92169e-10	2.06522e-10	2.16571e-10	2.23656e-10	2.28402e-10	2.32974e-10	2.40183e-10	2.61991e-10	3.172e-10	4.47255e-10	7.49048e-10	1.44849e-09	3.05599e-09	6.67202e-09	1.45473e-08	3.1054e-08	6.43604e-08	1.29409e-07	2.53639e-07	4.86644e-07	9.36565e-07	1.83464e-06	3.68931e-06	7.6216e-06	1.60804e-05	3.43436e-05	7.36181e-05	0.000157298	0.000333152	0.000695816	0.00142495	0.00284158	0.00546555	0.0100707	0.0176325	0.0290826	0.0448385	0.0641919	0.0848633	0.103146	0.114876	0.11697	0.108759	0.0923332	0.0716616	0.0510575	0.0334037	0.0202915	0.0116241	0.00641376	0.00349227	0.00191432	0.00106363	0.00059392	0.000327734	0.000175893	9.08817e-05	4.5154e-05	2.27551e-05	
N7	6.68179e-10	2.00051e-10	1.25611e-10	1.17083e-10	1.1973e-10	1.24898e-10	1.31506e-10	1.39439e-10	1.484e-10	1.57771e-10	1.66775e-10	1.7481e-10	1.8206e-10	1.91154e-10	2.00923e-10	2.18904e-10	2.56924e-10	3.41783e-10	5.29793e-10	9.51376e-10	1.88109e-09	3.88639e-09	8.10859e-09	1.67897e-08	3.42743e-08	6.89789e-08	1.37424e-07	2.72752e-07	5.42988e-07	1.08981e-06	2.20764e-06	4.47962e-06	9.13169e-06	1.86305e-05	3.78691e-05	7.64121e-05	0.000152663	0.000301417	0.000587024	0.00112503	0.00211462	0.00388041	0.00691157	0.0118595	0.0193591	0.0299855	0.0438546	0.0602395	0.0773615	0.0925459	0.102848	0.105989	0.101204	0.0895481	0.0735128	0.0561198	0.0399667	0.0266127	0.0167864	0.0102392	0.00621839	0.00390025	0.00261036	0.00188735	0.00146475	0.00122953	0.00117992	0.00136891	0.00180608	0.00234664	0.0027319	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
