NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.471732	0.311512	0.147086	0.051999	0.0141222	0.00298034	0.000495084	6.53571e-05	6.92688e-06	5.94571e-07	4.16951e-08	2.40735e-09	1.15271e-10	4.6033e-12	1.54029e-13	1.35819e-17	2.08962e-18	2.95054e-19	3.82365e-20	4.54529e-21	4.95393e-22	4.94746e-23	4.52613e-24	3.79252e-25	2.91127e-26	2.04832e-27	1.3219e-28	7.83259e-30	4.2659e-31	2.13828e-32	9.87778e-34	4.21133e-35	1.65953e-36	6.05362e-38	2.04723e-39	6.42841e-41	1.87707e-42	5.10448e-44	1.29467e-45	3.06714e-47	6.79668e-49	1.41077e-50	2.74663e-52	5.02243e-54	8.63689e-56	1.39856e-57	2.1351e-59	3.07673e-61	4.18984e-63	5.39801e-65	6.58677e-67	7.62037e-69	8.36742e-71	8.72878e-73	8.65932e-75	8.17693e-77	7.35648e-79	6.31113e-81	5.16744e-83	4.04143e-85	3.02161e-87	2.16135e-89	1.48023e-91	9.71332e-94	6.1117e-96	3.69008e-98	2.13979e-100	1.19355e-102	6.43688e-105	3.4631e-107	2.43605e-109	
N2	0.392929	0.329946	0.17763	0.0714391	0.0210753	0.00570971	0.00102476	0.000209779	3.01415e-05	5.21947e-06	5.34532e-07	1.1447e-07	7.9316e-09	1.30228e-09	9.02873e-11	1.24227e-11	5.51652e-13	7.63775e-14	2.47219e-15	2.95977e-16	9.45639e-18	5.9584e-19	1.54661e-20	1.79754e-21	2.40032e-23	1.12099e-24	2.32293e-26	1.22965e-27	1.17793e-29	5.21137e-31	4.61523e-33	2.30007e-34	1.60859e-36	3.03336e-38	2.26694e-40	1.09492e-41	3.87692e-44	5.84502e-46	3.87566e-48	1.00558e-49	3.05849e-52	5.15556e-54	1.36913e-56	2.54347e-58	7.90235e-61	6.35012e-63	2.44975e-65	6.34196e-67	8.79837e-70	5.38646e-72	1.25555e-74	1.31353e-76	1.83865e-79	2.19099e-81	3.29278e-84	4.09972e-86	4.42295e-89	1.73065e-91	2.57914e-94	3.25267e-96	2.23662e-99	9.48863e-102	1.95319e-104	1.49449e-106	8.99982e-110	3.69562e-112	2.43768e-115	1.47559e-117	1.29651e-120	8.73729e-123	1.29234e-124	
N3	0.385603	0.329659	0.181113	0.0739795	0.0221975	0.00606604	0.00111534	0.000226991	3.30802e-05	5.57385e-06	5.64003e-07	1.14383e-07	7.45839e-09	1.18911e-09	7.27964e-11	9.66243e-12	3.5137e-13	4.97744e-14	1.1887e-15	1.48986e-16	3.45683e-18	2.31323e-19	3.78108e-21	5.03042e-22	3.86862e-24	2.33555e-25	3.14736e-27	1.89679e-28	9.43589e-31	5.72385e-32	2.61734e-34	1.89411e-35	7.46884e-38	1.65325e-39	6.42544e-42	4.68483e-43	7.50355e-46	1.46957e-47	6.15684e-50	2.07878e-51	2.73119e-54	5.90027e-56	7.67908e-59	2.4794e-60	3.94298e-63	2.77373e-65	5.37679e-68	2.3824e-69	1.28021e-72	8.23518e-75	1.48157e-77	2.22517e-79	1.15062e-82	1.6602e-84	1.0852e-87	2.46408e-89	1.13549e-92	3.53385e-95	3.25197e-98	7.63508e-100	1.84333e-103	6.8574e-106	1.11747e-108	1.28612e-110	2.63926e-114	1.30605e-116	4.19656e-120	4.70046e-122	1.39247e-125	6.15238e-128	9.94247e-130	
N4	0.304414	0.305157	0.211773	0.11226	0.0441093	0.0164916	0.00413869	0.00128235	0.00027816	7.77694e-05	1.23776e-05	4.45025e-06	4.8181e-07	1.31039e-07	1.46868e-08	3.48078e-09	2.47322e-10	5.91055e-11	3.09324e-12	6.53983e-13	3.34219e-14	3.56424e-15	1.50957e-16	3.10889e-17	6.54761e-19	5.05691e-20	1.67866e-21	1.48564e-22	2.19529e-24	1.62926e-25	2.23241e-27	1.86752e-28	1.95808e-30	5.73648e-32	6.46403e-34	5.05784e-35	2.56013e-37	5.78385e-39	5.6231e-41	2.2566e-42	9.27716e-45	2.22672e-46	7.94665e-49	2.17136e-50	8.8928e-53	9.78933e-55	5.05182e-57	1.85089e-58	3.18499e-61	2.52059e-63	7.2577e-66	1.00485e-67	1.67882e-70	2.57257e-72	4.54506e-75	7.27211e-77	9.00685e-80	4.23647e-82	7.47817e-85	1.18989e-86	9.10754e-90	4.5189e-92	1.07546e-94	1.00372e-96	6.4992e-100	3.08145e-102	2.18882e-105	1.54157e-107	1.43108e-110	1.03977e-112	1.47843e-114	
N5	0.275934	0.290732	0.21778	0.126887	0.0548119	0.0236944	0.00645256	0.00268609	0.00063303	0.000295611	4.5199e-05	4.1e-05	3.56366e-06	3.18663e-06	3.5606e-07	3.10251e-07	1.80991e-08	1.8864e-08	8.86016e-10	1.17562e-09	6.97557e-11	2.46686e-11	1.30486e-12	2.35012e-12	4.44242e-14	1.41131e-14	1.23743e-15	7.99901e-16	1.15077e-17	5.21855e-18	1.15192e-19	1.3538e-19	1.84287e-21	1.98821e-22	5.15233e-24	6.62419e-24	4.0635e-26	4.31896e-27	1.57238e-28	1.05192e-28	5.59272e-31	1.04894e-31	6.66329e-34	3.21764e-34	2.58137e-36	1.34833e-37	3.03219e-39	2.50786e-39	6.45265e-42	2.73437e-43	2.5806e-45	6.06e-46	1.88343e-48	4.91941e-49	2.41242e-51	1.04062e-51	2.02466e-54	5.86683e-56	3.78807e-58	1.56879e-58	2.21308e-61	9.61692e-63	1.87826e-64	4.63872e-65	5.36234e-68	2.56012e-69	4.20215e-72	5.81938e-73	1.20266e-75	1.01869e-76	3.94184e-77	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0537918	0.0902458	0.135589	0.170212	0.168089	0.14911	0.0998805	0.0654208	0.0354977	0.0184593	0.00772067	0.00392239	0.00127617	0.000538387	0.0001658	5.95772e-05	1.43315e-05	5.06455e-06	9.23984e-07	2.56636e-07	4.32853e-08	9.03459e-09	1.19942e-09	2.6591e-10	2.4686e-11	3.69874e-12	3.41133e-13	4.05557e-14	2.54498e-15	2.93924e-16	1.56441e-17	1.63445e-18	8.83603e-20	6.83679e-21	3.20626e-22	3.04471e-23	9.49874e-25	5.42417e-26	1.82223e-27	9.16392e-29	2.03976e-30	8.88269e-32	1.52009e-33	5.4349e-35	8.92958e-37	2.06032e-38	2.7751e-40	8.26522e-42	7.12705e-44	1.20536e-45	1.15679e-47	1.80854e-49	1.22554e-51	1.89915e-53	1.0492e-55	1.33081e-57	6.84096e-60	5.59238e-62	2.59363e-64	2.87576e-66	8.82208e-69	6.00393e-71	2.42788e-73	1.6047e-75	4.08687e-78	2.49646e-80	5.79561e-83	3.4344e-85	1.26228e-87	1.07035e-89	1.25604e-91	
N7	0.040777	0.0667524	0.102151	0.136795	0.149926	0.149199	0.115407	0.0880605	0.0571873	0.0373014	0.0193134	0.0156315	0.00647076	0.00581868	0.00276931	0.00269334	0.00103792	0.00135265	0.000411232	0.000492159	0.000170086	0.000147416	4.36942e-05	6.23226e-05	1.19908e-05	9.74297e-06	3.19647e-06	2.66569e-06	4.34439e-07	4.22385e-07	7.70227e-08	1.04029e-07	2.13329e-08	1.2116e-08	2.77313e-09	4.92809e-09	5.10895e-10	2.67657e-10	5.81077e-11	5.50404e-11	4.89945e-12	2.7804e-12	2.4168e-13	1.94964e-13	1.66203e-14	4.1319e-15	4.25985e-16	3.9259e-16	1.53485e-17	3.14104e-18	2.37988e-19	9.46717e-20	3.65795e-21	1.41015e-21	5.38313e-23	2.24087e-23	6.44687e-25	7.65203e-26	3.39126e-27	1.53118e-27	2.64302e-29	3.2093e-30	1.87581e-31	4.74283e-32	7.3325e-34	1.10463e-34	1.82616e-36	3.38485e-37	7.38619e-39	1.52141e-39	9.62886e-40	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
