NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.00485525	0.0053626	0.00645063	0.00826424	0.0110082	0.014922	0.0202355	0.027101	0.0355078	0.0451954	0.0555945	0.065828	0.074797	0.0813554	0.0845388	0.0837897	0.0791067	0.0710633	0.060686	0.0492281	0.037909	0.0276979	0.0191927	0.0126083	0.00785008	0.00463114	0.0025883	0.00137021	0.000687005	0.00032621	0.000146682	6.24579e-05	2.51843e-05	9.61639e-06	3.47738e-06	1.1909e-06	3.86288e-07	1.18687e-07	3.45453e-08	9.52633e-09	2.48924e-09	6.16412e-10	1.44679e-10	3.21916e-11	6.79131e-12	1.35868e-12	2.45231e-16	1.04048e-16	4.30029e-17	1.73146e-17	6.79243e-18	2.5965e-18	9.67278e-19	3.51213e-19	1.2431e-19	4.2896e-20	1.44338e-20	4.73671e-21	1.5164e-21	4.73725e-22	1.44479e-22	4.30459e-23	1.25408e-23	3.57796e-24	1.00203e-24	2.76458e-25	7.55565e-26	2.06213e-26	5.69084e-27	1.64125e-27	6.05555e-28	
N2	0.00456878	0.00509574	0.00620626	0.00805679	0.0108661	0.0148885	0.0203643	0.0274458	0.0361053	0.0460463	0.0566482	0.0669793	0.0759003	0.0822537	0.0851014	0.0839446	0.0788569	0.0704822	0.0598933	0.0483568	0.0370751	0.0269806	0.0186294	0.0122005	0.00757652	0.00446041	0.00248891	0.00131615	0.000659492	0.000313099	0.000140829	6.00096e-05	2.42249e-05	9.26434e-06	3.35651e-06	1.15213e-06	3.74692e-07	1.15463e-07	3.37164e-08	9.33071e-09	2.44744e-09	6.08534e-10	1.43444e-10	3.2059e-11	6.79372e-12	1.36501e-12	2.59977e-13	4.69144e-14	8.01487e-15	1.29478e-15	1.97484e-16	2.83871e-17	3.83826e-18	4.87308e-19	5.80186e-20	6.47616e-21	6.79069e-22	6.73589e-23	6.4389e-24	6.191e-25	6.47899e-26	8.05688e-27	1.21103e-27	2.05901e-28	3.68578e-29	6.69798e-30	1.22527e-30	2.27138e-31	4.33182e-32	8.74315e-33	2.25905e-33	
N3	0.00454955	0.00511767	0.00631877	0.00832274	0.0113621	0.015698	0.0215623	0.029076	0.0381544	0.0484222	0.0591719	0.0693984	0.0779255	0.083614	0.0856029	0.0835162	0.077568	0.0685252	0.0575384	0.0458917	0.0347494	0.0249687	0.017018	0.0109985	0.00673816	0.00391223	0.00215223	0.00112164	0.000553677	0.000258847	0.000114597	4.80416e-05	1.90701e-05	7.16749e-06	2.5507e-06	8.59473e-07	2.74219e-07	8.2847e-08	2.37024e-08	6.42211e-09	1.64804e-09	4.00595e-10	9.2243e-11	2.01233e-11	4.15951e-12	8.14703e-13	1.51212e-13	2.65947e-14	4.43174e-15	6.9955e-16	1.04559e-16	1.47899e-17	1.97848e-18	2.50096e-19	2.98482e-20	3.36058e-21	3.56718e-22	3.56929e-23	3.36927e-24	3.00907e-25	2.56126e-26	2.11293e-27	1.74922e-28	1.54266e-29	1.55237e-30	1.83496e-31	2.4717e-32	3.63378e-33	5.79384e-34	1.0808e-34	3.24023e-35	
N4	0.00350093	0.00401225	0.00509584	0.0069032	0.00964266	0.0135516	0.0188499	0.0256738	0.0339969	0.043555	0.0537997	0.0639064	0.0728568	0.0795921	0.0832114	0.083165	0.0793863	0.0723203	0.0628336	0.0520342	0.0410519	0.0308415	0.0220564	0.0150103	0.00971812	0.00598426	0.00350421	0.00195097	0.00103261	0.000519524	0.00024844	0.000112918	4.87777e-05	2.00257e-05	7.81389e-06	2.89782e-06	1.02146e-06	3.42246e-07	1.09008e-07	3.30074e-08	9.50264e-09	2.60138e-09	6.77234e-10	1.6769e-10	3.94974e-11	8.85088e-12	1.88724e-12	3.82967e-13	7.3971e-14	1.3602e-14	2.38159e-15	3.97128e-16	6.30777e-17	9.54524e-18	1.37641e-18	1.89168e-19	2.4784e-20	3.09608e-21	3.68865e-22	4.19221e-23	4.54638e-24	4.70648e-25	4.65326e-26	4.39739e-27	3.97739e-28	3.45218e-29	2.89133e-30	2.36873e-31	1.97079e-32	1.87195e-33	3.12594e-34	
N5	0.00312033	0.00358738	0.00457677	0.0062262	0.00872747	0.0123042	0.0171728	0.0234858	0.0312605	0.0403072	0.050178	0.0601588	0.0693264	0.0766723	0.0812771	0.0824952	0.0801001	0.0743452	0.0659184	0.0558023	0.0450799	0.0347394	0.0255281	0.017883	0.0119395	0.00759554	0.00460351	0.00265777	0.0014615	0.000765414	0.000381761	0.000181331	8.20226e-05	3.53331e-05	1.44954e-05	5.66374e-06	2.10778e-06	7.47189e-07	2.52325e-07	8.11821e-08	2.48875e-08	7.27073e-09	2.02447e-09	5.37335e-10	1.35971e-10	3.28089e-11	7.55006e-12	1.65731e-12	3.47084e-13	6.93626e-14	1.32301e-14	2.40901e-15	4.18836e-16	6.95461e-17	1.10312e-17	1.67186e-18	2.42164e-19	3.35326e-20	4.44023e-21	5.62447e-22	6.8186e-23	7.91625e-24	8.80963e-25	9.41109e-26	9.67372e-27	9.6065e-28	9.28222e-29	8.84559e-30	8.55363e-31	9.00289e-32	1.37427e-32	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	6.90274e-05	8.70346e-05	0.000129833	0.000213726	0.000368529	0.000644349	0.00112053	0.00191564	0.00319583	0.00517709	0.0081154	0.0122785	0.0178954	0.0250867	0.0337852	0.0436687	0.0541299	0.0643057	0.0731781	0.0797343	0.0831552	0.0829827	0.0792201	0.0723349	0.0631618	0.0527351	0.0420957	0.0321243	0.0234347	0.0163417	0.0108927	0.00694012	0.0042266	0.00246043	0.00136911	0.000728259	0.000370314	0.000180017	8.36645e-05	3.71776e-05	1.57967e-05	6.41844e-06	2.49408e-06	9.26933e-07	3.29525e-07	1.12066e-07	3.64636e-08	1.13525e-08	3.38238e-09	9.64525e-10	2.63282e-10	6.8803e-11	1.72162e-11	4.12556e-12	9.46922e-13	2.08216e-13	4.387e-14	8.85883e-15	1.71497e-15	3.18385e-16	5.67078e-17	9.69552e-18	1.59251e-18	2.5159e-19	3.83043e-20	5.63912e-21	8.08028e-22	1.14331e-22	1.65929e-23	2.78617e-24	8.00556e-25	
N7	9.5609e-05	0.000116433	0.000164695	0.000256225	0.000418984	0.000698205	0.00116286	0.00191244	0.00308221	0.00484373	0.00739712	0.0109511	0.0156888	0.0217203	0.029029	0.037422	0.0465009	0.0556682	0.0641766	0.0712229	0.07607	0.0781737	0.0772825	0.0734873	0.0672055	0.0591045	0.0499842	0.0406463	0.0317815	0.0238939	0.0172728	0.0120062	0.00802468	0.00515759	0.00318774	0.00189479	0.0010832	0.000595602	0.000315022	0.000160288	7.84649e-05	3.69581e-05	1.67514e-05	7.30715e-06	3.06798e-06	1.23999e-06	4.82505e-07	1.80785e-07	6.52321e-08	2.26706e-08	7.58984e-09	2.44817e-09	7.60965e-10	2.27971e-10	6.5838e-11	1.83337e-11	4.924e-12	1.2759e-12	3.19093e-13	7.70653e-14	1.79871e-14	4.06154e-15	8.88685e-16	1.88887e-16	3.91505e-17	7.96206e-18	1.60453e-18	3.25482e-19	6.81493e-20	1.54771e-20	4.7692e-21	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
