NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.107693	0.105632	0.101813	0.0964843	0.089883	0.0822688	0.073933	0.0651936	0.0563756	0.0477874	0.0396961	0.0323097	0.0257665	0.0201351	0.0154206	0.0115772	0.0085228	0.00615447	0.004361	0.00303346	0.00207216	0.00139067	0.000917312	0.00059496	0.000379592	0.000238333	0.000147321	8.96875e-05	5.37969e-05	3.18059e-05	1.85415e-05	1.06618e-05	6.04951e-06	3.38818e-06	1.87379e-06	1.0236e-06	5.52512e-07	2.9478e-07	1.55504e-07	8.11362e-08	4.18851e-08	2.14002e-08	1.08252e-08	5.4232e-09	2.69171e-09	1.32405e-09	6.4572e-10	3.12327e-10	1.49889e-10	7.14006e-11	3.3775e-11	1.58725e-11	7.41417e-12	3.44402e-12	1.5918e-12	7.32453e-13	3.35736e-13	1.677e-16	1.13212e-16	7.63579e-17	5.14743e-17	3.46972e-17	2.33999e-17	1.58017e-17	1.06992e-17	7.2819e-18	5.00643e-18	3.51102e-18	2.55823e-18	1.99688e-18	1.73752e-18	
N2	0.0918386	0.0954362	0.0962621	0.094509	0.0904872	0.0845932	0.0772788	0.069019	0.0602815	0.0514976	0.0430374	0.0351911	0.0281607	0.0220591	0.0169203	0.0127132	0.00936067	0.00675685	0.00478367	0.0033232	0.00226636	0.00151804	0.000999114	0.000646434	0.000411344	0.000257541	0.000158722	9.63285e-05	5.75941e-05	3.39374e-05	1.97162e-05	1.12973e-05	6.38692e-06	3.56392e-06	1.96351e-06	1.06845e-06	5.74424e-07	3.05219e-07	1.60335e-07	8.32943e-08	4.28064e-08	2.1769e-08	1.09581e-08	5.46171e-09	2.69617e-09	1.31862e-09	6.39108e-10	3.07072e-10	1.463e-10	6.91379e-11	3.24179e-11	1.50861e-11	6.96974e-12	3.19765e-12	1.45726e-12	6.59861e-13	2.96952e-13	1.32845e-13	5.9092e-14	2.61423e-14	1.15055e-14	5.03928e-15	2.19771e-15	9.55312e-16	4.14711e-16	1.80534e-16	7.95101e-17	3.6105e-17	1.75755e-17	9.85063e-18	7.03831e-18	
N3	0.0904591	0.0942698	0.0955344	0.0943123	0.0907824	0.0852495	0.0781266	0.0698965	0.0610647	0.0521118	0.0434545	0.0354193	0.0282304	0.0220114	0.0167965	0.0125496	0.00918514	0.00658871	0.00463431	0.00319783	0.00216583	0.00144046	0.000941225	0.000604513	0.0003818	0.000237234	0.000145083	8.73655e-05	5.18229e-05	3.02924e-05	1.74559e-05	9.91998e-06	5.56152e-06	3.07712e-06	1.68077e-06	9.0663e-07	4.83113e-07	2.5439e-07	1.32409e-07	6.81438e-08	3.46863e-08	1.74676e-08	8.70513e-09	4.29442e-09	2.09768e-09	1.01484e-09	4.86399e-10	2.31018e-10	1.08761e-10	5.0768e-11	2.35026e-11	1.07938e-11	4.91909e-12	2.22527e-12	9.99552e-13	4.45969e-13	1.97721e-13	8.7146e-14	3.82065e-14	1.6674e-14	7.25081e-15	3.14622e-15	1.36508e-15	5.94152e-16	2.60761e-16	1.16375e-16	5.35633e-17	2.60298e-17	1.38722e-17	8.57013e-18	6.55079e-18	
N4	0.0740224	0.0784069	0.0817281	0.0836108	0.0837266	0.0819013	0.0781637	0.0727391	0.0660031	0.0584156	0.0504532	0.0425522	0.0350698	0.0282637	0.0222904	0.0172146	0.0130272	0.00966624	0.00703679	0.00502867	0.00352964	0.00243463	0.00165113	0.00110149	0.000723153	0.000467437	0.000297607	0.00018671	0.000115469	7.0421e-05	4.23678e-05	2.51547e-05	1.47434e-05	8.53331e-06	4.87883e-06	2.75629e-06	1.53913e-06	8.49762e-07	4.63992e-07	2.50632e-07	1.33966e-07	7.08758e-08	3.71249e-08	1.92578e-08	9.89551e-09	5.03816e-09	2.54227e-09	1.27176e-09	6.30868e-10	3.10419e-10	1.51553e-10	7.34393e-11	3.53337e-11	1.68856e-11	8.01866e-12	3.7859e-12	1.77822e-12	8.31537e-13	3.87496e-13	1.80166e-13	8.37132e-14	3.89539e-14	1.82049e-14	8.57812e-15	4.09732e-15	1.99898e-15	1.00728e-15	5.33381e-16	3.05332e-16	1.97842e-16	1.545e-16	
N5	0.0683488	0.0727391	0.0764506	0.0790603	0.0801638	0.0794895	0.0769585	0.0726915	0.0669765	0.0602116	0.052841	0.0452971	0.0379564	0.031112	0.024964	0.0196222	0.0151189	0.0114266	0.00847609	0.00617469	0.00441992	0.00311044	0.00215306	0.00146664	0.000983615	0.000649754	0.000422939	0.000271385	0.000171728	0.000107203	6.60441e-05	4.01676e-05	2.41255e-05	1.43145e-05	8.39286e-06	4.86418e-06	2.78741e-06	1.57983e-06	8.85851e-07	4.9155e-07	2.69992e-07	1.46833e-07	7.9086e-08	4.21983e-08	2.23112e-08	1.16922e-08	6.07483e-09	3.13006e-09	1.59984e-09	8.11394e-10	4.08464e-10	2.04167e-10	1.01363e-10	5.00042e-11	2.45218e-11	1.19599e-11	5.80469e-12	2.80536e-12	1.35113e-12	6.49117e-13	3.11445e-13	1.49462e-13	7.1881e-14	3.47328e-14	1.69196e-14	8.34911e-15	4.20355e-15	2.18617e-15	1.20338e-15	7.37302e-16	5.4944e-16	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0148616	0.0168139	0.0196881	0.0234528	0.0280132	0.0331948	0.0387417	0.0443298	0.0495961	0.0541761	0.0577445	0.0600511	0.0609466	0.0603945	0.058468	0.0553343	0.0512301	0.0464313	0.0412243	0.0358795	0.030632	0.0256695	0.021127	0.0170881	0.0135902	0.0106334	0.00818946	0.0062114	0.00464174	0.0034192	0.00248377	0.00178	0.001259	0.000879221	0.00060645	0.000413308	0.000278411	0.000185429	0.000122149	7.96097e-05	5.13498e-05	3.27902e-05	2.07354e-05	1.2989e-05	8.06244e-06	4.96038e-06	3.0259e-06	1.83071e-06	1.09887e-06	6.54613e-07	3.87148e-07	2.27397e-07	1.327e-07	7.69699e-08	4.43943e-08	2.54747e-08	1.45516e-08	8.27962e-09	4.69617e-09	2.65775e-09	1.50258e-09	8.49977e-10	4.82153e-10	2.75157e-10	1.58754e-10	9.33023e-11	5.65059e-11	3.58739e-11	2.44499e-11	1.84172e-11	1.57745e-11	
N7	0.0140479	0.0157163	0.0180831	0.0211367	0.0248254	0.0290447	0.0336326	0.0383745	0.0430178	0.0472937	0.0509431	0.0537415	0.0555207	0.0561835	0.0557091	0.0541513	0.0516276	0.0483044	0.0443781	0.0400566	0.0355424	0.0310188	0.0266403	0.0225275	0.0187656	0.0154061	0.0124711	0.00995847	0.00784758	0.00610539	0.00469131	0.00356157	0.00267248	0.00198274	0.00145492	0.00105629	0.000758978	0.000539907	0.000380349	0.00026543	0.000183548	0.000125808	8.54967e-05	5.76238e-05	3.85294e-05	2.55651e-05	1.68384e-05	1.10124e-05	7.15376e-06	4.61742e-06	2.9623e-06	1.88965e-06	1.19903e-06	7.57099e-07	4.75935e-07	2.98008e-07	1.85961e-07	1.15712e-07	7.18415e-08	4.45357e-08	2.7587e-08	1.70895e-08	1.05974e-08	6.58598e-09	4.10854e-09	2.57939e-09	1.63749e-09	1.06142e-09	7.16516e-10	5.22597e-10	4.3443e-10	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
