NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	3.46183e-010	3.79071e-010	4.36602e-010	5.34488e-010	7.3307e-010	1.16321e-009	2.33144e-009	5.5408e-009	1.38291e-008	3.31119e-008	7.24841e-008	1.42218e-007	2.56318e-007	5.92984e-007	9.71391e-007	1.29043e-006	1.4722e-006	1.46782e-006	1.00056e-006	7.06667e-007	5.65138e-007	5.41059e-007	6.14686e-007	7.8272e-007	1.04504e-006	1.38606e-006	1.75937e-006	2.0881e-006	2.28851e-006	2.30548e-006	2.10815e-006	1.35466e-006	9.09435e-007	6.95715e-007	6.40636e-007	7.03583e-007	8.70209e-007	1.1335e-006	1.47284e-006	1.8389e-006	2.15502e-006	2.34071e-006	2.34504e-006	2.13942e-006	1.37645e-006	9.28723e-007	7.17131e-007	6.69837e-007	7.50732e-007	9.55517e-007	1.29725e-006	1.79359e-006	2.46818e-006	3.39201e-006	4.82007e-006	7.57909e-006	1.42088e-005	3.08626e-005	8.80167e-005	0.000282785	0.000911407	0.00276076	0.0075891	0.0185472	0.0397619	0.0740804	0.119162	0.164764	0.195339	0.198739	0.177861	
N2	1.12497e-010	6.12549e-011	1.05148e-010	2.31348e-010	5.50869e-010	1.31802e-009	3.03228e-009	6.49662e-009	1.27259e-008	2.25061e-008	3.55113e-008	4.941e-008	6.0373e-008	7.17434e-008	7.13751e-008	6.30142e-008	5.22788e-008	4.36141e-008	3.33532e-008	3.54046e-008	4.57959e-008	6.30479e-008	8.5483e-008	1.09395e-007	1.29005e-007	1.38345e-007	1.34135e-007	1.1781e-007	9.51426e-008	7.33078e-008	5.72369e-008	4.12689e-008	4.17184e-008	5.19342e-008	6.93975e-008	9.19338e-008	1.15575e-007	1.34531e-007	1.43064e-007	1.38227e-007	1.21696e-007	9.93077e-008	7.8224e-008	6.34837e-008	4.92253e-008	5.40335e-008	7.4382e-008	1.1465e-007	1.87872e-007	3.24879e-007	6.07382e-007	1.28003e-006	3.15068e-006	9.08447e-006	2.95454e-005	0.000101877	0.000350066	0.0011406	0.00341935	0.00920695	0.0219014	0.0454898	0.0817284	0.125886	0.164515	0.179842	0.161039	0.114465	0.0616118	0.0234214	0.005833	
N3	6.23386e-011	3.1562e-011	4.81884e-011	9.09407e-011	1.84118e-010	3.78428e-010	7.60335e-010	1.44839e-009	2.55779e-009	4.11986e-009	5.98514e-009	7.80075e-009	9.18196e-009	1.06749e-008	1.10182e-008	1.05149e-008	9.71324e-009	9.0664e-009	8.05629e-009	8.27869e-009	9.62883e-009	1.19276e-008	1.47969e-008	1.76219e-008	1.96818e-008	2.04088e-008	1.9635e-008	1.76754e-008	1.5195e-008	1.29029e-008	1.12372e-008	9.4469e-009	9.30183e-009	1.04894e-008	1.27178e-008	1.55601e-008	1.84027e-008	2.05651e-008	2.15337e-008	2.11782e-008	1.98209e-008	1.8137e-008	1.69335e-008	1.69377e-008	1.74302e-008	2.24188e-008	3.54885e-008	6.58493e-008	1.37777e-007	3.21145e-007	8.37126e-007	2.44081e-006	7.84011e-006	2.69071e-005	9.47555e-005	0.000328012	0.00107455	0.00323829	0.00878104	0.0210451	0.0440054	0.0794745	0.122833	0.160873	0.17641	0.159451	0.116304	0.0665116	0.0286814	0.00888577	0.00196936	
N4	8.85941e-011	4.7377e-011	6.45776e-011	9.57177e-011	1.411e-010	2.04037e-010	2.86494e-010	3.86353e-010	4.95991e-010	6.0324e-010	6.95147e-010	7.63114e-010	8.0941e-010	9.09151e-010	9.7033e-010	1.02675e-009	1.09549e-009	1.17693e-009	1.17345e-009	1.24253e-009	1.33617e-009	1.42019e-009	1.4724e-009	1.4816e-009	1.44941e-009	1.38939e-009	1.32228e-009	1.26868e-009	1.24497e-009	1.2578e-009	1.30135e-009	1.26877e-009	1.3258e-009	1.42007e-009	1.51825e-009	1.60271e-009	1.67087e-009	1.73983e-009	1.85337e-009	2.09685e-009	2.63937e-009	3.86299e-009	6.74282e-009	1.40163e-008	3.20027e-008	8.84115e-008	2.75554e-007	9.19469e-007	3.16713e-006	1.09744e-005	3.75401e-005	0.000124809	0.000397171	0.00119016	0.00330239	0.00835019	0.0189738	0.0383573	0.0681389	0.105404	0.140739	0.16088	0.156137	0.127517	0.0867903	0.0487299	0.0223905	0.00845812	0.00276436	0.000916505	0.000385644	
N5	1.14059e-010	5.95786e-011	7.83092e-011	1.11055e-010	1.55562e-010	2.12718e-010	2.816e-010	3.58105e-010	4.35054e-010	5.0406e-010	5.58591e-010	5.96811e-010	6.23864e-010	6.67938e-010	7.12531e-010	7.64611e-010	8.2733e-010	8.97327e-010	9.399e-010	9.89578e-010	1.03668e-009	1.06881e-009	1.07669e-009	1.05821e-009	1.01955e-009	9.73047e-010	9.32915e-010	9.1043e-010	9.12986e-010	9.41135e-010	9.88521e-010	1.01685e-009	1.06248e-009	1.11589e-009	1.16728e-009	1.2134e-009	1.26382e-009	1.34867e-009	1.53337e-009	1.95955e-009	2.96608e-009	5.46205e-009	1.20899e-008	3.09485e-008	8.57398e-008	2.59261e-007	8.29264e-007	2.73142e-006	9.07024e-006	2.98655e-005	9.61302e-005	0.000298274	0.00087901	0.00242255	0.00614984	0.0141823	0.0293601	0.0540311	0.087398	0.123304	0.150495	0.157669	0.140684	0.106039	0.0669468	0.0351348	0.0152969	0.00564326	0.00197441	0.000970042	0.000982252	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	2.46212e-010	6.10161e-011	4.73472e-011	4.7932e-011	4.92282e-011	5.04897e-011	5.21877e-011	5.4868e-011	5.88665e-011	6.41342e-011	7.01755e-011	7.61517e-011	8.12e-011	8.55084e-011	8.71367e-011	8.72064e-011	8.60843e-011	8.47373e-011	8.39082e-011	8.63157e-011	9.52139e-011	1.17483e-010	1.70668e-010	3.00564e-010	6.22497e-010	1.41049e-009	3.27517e-009	7.49687e-009	1.66442e-008	3.57549e-008	7.48393e-008	1.53908e-007	3.1903e-007	6.77458e-007	1.48458e-006	3.34965e-006	7.71347e-006	1.79392e-005	4.17535e-005	9.65628e-005	0.000220628	0.000495472	0.00108796	0.00232156	0.00477164	0.00936674	0.0173936	0.0302268	0.0486609	0.0719032	0.0967412	0.11773	0.128921	0.126567	0.111147	0.0872432	0.0612739	0.0387144	0.0220431	0.0115312	0.00571382	0.00279786	0.00140924	0.000740165	0.000397377	0.00021089	0.000107777	5.23637e-005	2.41152e-005	1.05538e-005	4.54464e-006	
N7	3.06588e-010	6.71882e-011	4.71804e-011	4.68472e-011	4.85694e-011	5.10527e-011	5.43104e-011	5.82506e-011	6.25435e-011	6.66802e-011	7.01127e-011	7.24364e-011	7.36316e-011	7.49069e-011	7.51808e-011	7.67802e-011	8.15678e-011	9.41198e-011	1.24028e-010	1.96507e-010	3.69066e-010	7.7151e-010	1.68806e-009	3.72343e-009	8.14191e-009	1.75829e-008	3.76395e-008	8.04737e-008	1.73261e-007	3.77843e-007	8.35235e-007	1.85099e-006	4.11592e-006	9.13059e-006	2.00855e-005	4.36181e-005	9.3242e-005	0.000195917	0.00040435	0.000819255	0.00162731	0.00315959	0.00596596	0.0108687	0.0187921	0.0306951	0.0470009	0.0669091	0.0879212	0.106024	0.116817	0.117241	0.106998	0.0887592	0.0669912	0.0461343	0.029142	0.0169686	0.00934958	0.00511129	0.00296309	0.00193369	0.00143023	0.00114464	0.00094537	0.000806985	0.000773378	0.000921036	0.00128064	0.00172841	0.00200221	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
