NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	1.40454e-006	1.70739e-006	2.38812e-006	3.63659e-006	5.78517e-006	9.35717e-006	1.51398e-005	2.42701e-005	3.83422e-005	5.95162e-005	9.06389e-005	0.000135345	0.000198155	0.000284521	0.000400851	0.000554463	0.000753487	0.0010067	0.00132327	0.00171253	0.00218354	0.00274478	0.0034037	0.00416636	0.005037	0.00601782	0.00710861	0.00830671	0.00960687	0.0110014	0.0124799	0.0140297	0.0156359	0.0172816	0.0189487	0.0206186	0.0222723	0.0238913	0.0254579	0.0269558	0.0283699	0.0296864	0.0308922	0.0319758	0.0329278	0.0337411	0.0344109	0.0349351	0.0353137	0.0355496	0.0356477	0.0356157	0.0354638	0.035205	0.0348553	0.034434	0.033964	0.0334723	0.0329907	0.0325563	0.0322125	0.0320104	
N2	1.40253e-006	1.85473e-006	2.80918e-006	4.5838e-006	7.72118e-006	1.30825e-005	2.19055e-005	3.60699e-005	5.81537e-005	9.15588e-005	0.000140868	0.000211908	0.000311399	0.000447992	0.000631337	0.000871675	0.00118105	0.00157203	0.00205516	0.00264381	0.00334865	0.00417658	0.00513645	0.00623369	0.00746337	0.0088283	0.010321	0.0119242	0.0136292	0.0154204	0.0172633	0.0191501	0.0210564	0.022946	0.0248073	0.0266205	0.0283357	0.0299564	0.0314557	0.0327941	0.0339767	0.0349978	0.035812	0.0364527	0.0369037	0.0371298	0.0371477	0.0369502	0.0364736	0.0357505	0.0347527	0.033442	0.0318511	0.0300033	0.0278796	0.0255859	0.0231726	0.0206898	0.0182507	0.0159425	0.0137828	0.0118787	
N3	0.0176188	0.0204253	0.0247569	0.0306053	0.0378123	0.0460128	0.0543877	0.0623081	0.0689021	0.0733491	0.0752492	0.0744715	0.0709677	0.0653439	0.0581555	0.0500232	0.0416813	0.033698	0.0264003	0.0201107	0.0149013	0.0107375	0.00754061	0.00516879	0.0034524	0.00225493	0.00144032	0.000899225	0.000549936	0.000329952	0.000193745	0.000111795	6.33677e-005	3.52531e-005	1.92934e-005	1.04049e-005	5.50999e-006	2.87968e-006	1.48379e-006	7.52893e-007	3.77112e-007	1.86848e-007	9.11124e-008	4.40107e-008	2.10169e-008	9.90837e-009	4.62293e-009	2.14035e-009	9.7644e-010	4.42628e-010	1.98721e-010	8.82448e-011	3.88474e-011	1.70173e-011	7.34991e-012	3.16513e-012	1.35367e-012	5.75855e-013	2.45621e-013	1.074e-013	4.99801e-014	2.87697e-014	
N4	0.0465628	0.0542506	0.0656889	0.0795812	0.0935272	0.104394	0.108753	0.105352	0.0945004	0.0783163	0.0600981	0.0428061	0.0282813	0.0174247	0.0100308	0.00540195	0.00273276	0.00130316	0.000585356	0.000249135	0.000100616	3.85796e-005	1.4101e-005	4.93006e-006	1.64416e-006	5.26843e-007	1.62239e-007	4.79902e-008	1.36942e-008	3.78626e-009	1.00751e-009	2.609e-010	6.56143e-011	1.60052e-011	3.80466e-012	8.8762e-013	2.00399e-013	4.46265e-014	9.73323e-015	2.07748e-015	4.35575e-016	9.08231e-017	1.83588e-017	3.71137e-018	7.38363e-019	1.45017e-019	2.81029e-020	5.48069e-021	1.03627e-021	1.98202e-022	3.73576e-023	7.0101e-024	1.29923e-024	2.43653e-025	4.43576e-026	8.18633e-027	1.48627e-027	2.69351e-028	4.81882e-029	8.77699e-030	1.63987e-030	4.19601e-031	
Carex_lingii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0512576	0.0618982	0.0787199	0.0991362	0.117962	0.128786	0.126283	0.110832	0.0867595	0.0605172	0.0377827	0.0212205	0.0107141	0.00490926	0.00204755	0.000778779	0.00027199	8.78994e-005	2.61271e-005	7.25771e-006	1.88382e-006	4.5691e-007	1.04404e-007	2.28548e-008	4.66459e-009	9.2708e-010	1.76529e-010	3.23733e-011	5.72543e-012	1.02748e-012	1.7015e-013	2.92884e-014	4.81834e-015	7.92721e-016	1.23954e-016	2.06187e-017	3.02939e-018	4.82075e-019	7.03642e-020	1.06051e-020	1.46256e-021	2.19578e-022	2.84762e-023	4.08102e-024	5.23633e-025	7.1199e-026	8.69893e-027	1.17847e-027	1.36749e-028	1.77728e-029	2.057e-030	2.5645e-031	2.87067e-032	3.62091e-033	3.95465e-034	4.9435e-035	5.7099e-036	7.28155e-037	8.94998e-038	1.24719e-038	1.71514e-039	3.4952e-040	
N6	0.0517619	0.0635298	0.0825147	0.105475	0.12583	0.135798	0.129791	0.109651	0.0817123	0.0537057	0.0313194	0.0163253	0.00758233	0.0031846	0.00121281	0.000419209	0.000132834	3.94247e-005	1.06123e-005	2.75171e-006	6.73732e-007	1.58197e-007	3.53972e-008	8.58749e-009	1.78432e-009	4.35833e-010	9.54623e-011	2.28069e-011	4.67475e-012	1.20569e-012	2.25315e-013	5.54967e-014	1.04247e-014	2.39119e-015	4.17455e-016	9.74744e-017	1.56359e-017	3.43737e-018	5.55886e-019	1.15186e-019	1.75842e-020	3.69404e-021	5.29369e-022	1.06395e-022	1.58018e-023	2.97239e-024	4.26596e-025	8.64822e-026	1.15084e-026	2.18655e-027	3.19558e-028	5.89241e-029	8.12129e-030	1.59899e-030	2.10502e-031	4.054e-032	5.79193e-033	1.08518e-033	1.76445e-034	4.18557e-035	8.88536e-036	3.43206e-036	
Carex_grandiligulata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_pachygyna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_siderosticta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
