NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	1.68475e-022	3.71635e-020	2.3428e-018	4.70965e-017	1.23653e-011	1.00924e-010	3.64369e-009	1.82911e-008	5.88412e-007	9.88835e-006	1.57634e-005	2.09002e-005	0.000135027	0.000594495	0.000960409	0.000863644	0.00229889	0.0257406	0.169038	0.365847	0.29849	0.111207	0.0219454	0.00260412	0.000212976	1.42241e-005	9.44102e-007	7.22578e-008	6.43537e-009	5.99447e-010	5.18951e-011	3.88149e-012	2.43717e-013	2.75918e-017	5.91027e-018	1.23699e-018	2.83083e-019	8.24513e-020	3.0367e-020	1.18263e-020	4.2493e-021	1.33908e-021	3.66793e-022	8.78227e-023	1.85617e-023	3.49805e-024	5.93058e-025	9.11211e-026	1.27623e-026	1.63704e-027	1.93057e-028	2.10031e-029	2.11453e-030	1.97605e-031	1.71926e-032	1.39681e-033	1.06285e-034	7.59651e-036	5.11469e-037	3.2532e-038	1.96016e-039	1.12189e-040	6.1161e-042	3.18471e-043	1.58853e-044	7.61393e-046	3.51901e-047	1.57455e-048	6.85195e-050	2.91539e-051	1.22e-052	5.052e-054	2.08198e-055	8.57618e-057	3.53905e-058	1.46266e-059	6.03929e-061	2.48147e-062	1.01011e-063	4.05627e-065	1.60111e-066	6.19517e-068	2.34517e-069	8.67416e-071	3.1325e-072	1.10412e-073	3.79831e-075	1.2755e-076	4.1824e-078	1.3397e-079	4.19449e-081	1.285e-082	3.86663e-084	
N2	3.34927e-026	9.74967e-022	3.70238e-018	1.29462e-015	9.96513e-013	1.70984e-011	4.22376e-010	4.02032e-009	3.18181e-007	6.31762e-006	1.41266e-005	4.75217e-005	0.000360235	0.000877152	0.000879595	0.00129224	0.00795716	0.0790835	0.327026	0.39587	0.158001	0.0257831	0.00238217	0.00024403	6.24155e-005	4.54437e-005	4.07821e-005	1.80427e-005	6.80359e-006	1.95216e-006	2.52171e-007	6.76468e-008	2.00088e-008	1.19111e-008	7.98791e-009	1.32978e-008	1.22534e-008	1.89166e-008	9.74352e-009	8.41005e-009	2.09703e-009	1.06626e-009	1.40007e-010	4.56851e-011	3.94263e-012	7.87907e-013	5.18283e-014	9.76043e-015	6.26784e-016	1.15316e-016	1.38916e-017	2.10087e-018	2.42846e-019	3.95684e-020	2.6837e-021	3.63619e-022	3.02204e-023	2.58931e-024	1.70374e-025	1.65976e-026	5.46904e-028	4.91905e-029	2.57378e-030	1.46714e-031	5.83598e-033	4.45464e-034	1.40148e-035	1.16657e-036	4.41204e-038	3.2813e-039	1.38842e-040	9.87046e-042	2.83948e-043	1.88325e-044	6.41952e-046	3.60215e-047	7.78744e-049	4.21551e-050	1.15575e-051	5.41305e-053	9.05281e-055	4.26929e-056	1.07137e-057	4.79297e-059	7.14785e-061	3.6007e-062	1.02372e-063	4.91245e-065	1.11934e-066	6.5163e-068	2.77552e-069	1.57434e-070	7.47186e-072	
N3	3.78909e-027	1.39237e-022	7.0102e-019	3.20246e-016	3.24469e-013	7.07272e-012	3.69395e-010	5.01316e-009	5.37605e-007	1.27765e-005	3.33317e-005	0.000102619	0.000714671	0.00155033	0.00199548	0.00374016	0.024433	0.165244	0.420901	0.303701	0.0701484	0.00680394	0.000444383	6.31542e-005	4.2348e-005	3.7548e-005	2.21773e-005	6.7022e-006	1.53877e-006	2.91497e-007	3.31997e-008	8.96434e-009	5.12392e-009	7.24393e-009	1.21474e-008	1.65775e-008	1.51131e-008	9.90432e-009	4.1585e-009	1.357e-009	2.80628e-010	5.2746e-011	6.06611e-012	7.67117e-013	5.79438e-014	5.42128e-015	3.65937e-016	4.21771e-017	4.22472e-018	9.05716e-019	1.9755e-019	4.21491e-020	8.04904e-021	1.819e-021	2.17912e-022	3.39574e-023	4.47457e-024	3.61945e-025	3.57638e-026	3.39684e-027	1.55924e-028	1.31187e-029	9.12971e-031	3.7598e-032	2.98293e-033	2.89901e-034	1.83773e-035	3.69981e-036	4.65842e-037	1.1885e-037	1.69882e-038	4.67685e-039	6.07827e-040	1.56088e-040	1.77059e-041	3.76583e-042	3.26144e-043	6.10904e-044	4.56804e-045	6.85286e-046	3.62846e-047	4.94119e-048	2.50506e-049	2.75924e-050	9.13843e-052	9.51848e-053	3.61762e-054	3.06616e-055	9.4552e-057	9.39828e-058	6.30881e-059	6.74476e-060	6.00535e-061	
N4	3.49269e-029	1.08429e-024	5.124e-021	3.66499e-018	1.99244e-015	1.44968e-013	5.38546e-012	2.25734e-010	1.75366e-008	2.19944e-007	8.14305e-007	5.35012e-006	2.77722e-005	6.51299e-005	0.000141247	0.000647856	0.0056774	0.0299831	0.0525921	0.0296649	0.00681118	0.00096791	0.000321103	0.000839738	0.00132827	0.00234587	0.00338659	0.00150941	0.00095195	0.000785444	0.000279637	0.000966711	0.00128706	0.0120842	0.0170537	0.121309	0.0774615	0.303731	0.0809873	0.180782	0.0234422	0.0338685	0.00299912	0.00340946	0.000874897	0.00045163	0.000242051	0.000393719	8.38551e-005	0.000115022	6.84748e-005	3.18149e-005	1.17471e-005	1.0921e-005	8.58114e-007	6.20173e-007	1.74395e-007	3.87677e-008	7.03897e-009	4.92078e-009	2.43324e-010	2.46665e-010	1.11982e-010	1.06168e-010	1.28415e-011	2.06944e-011	1.24237e-011	1.8514e-011	2.32703e-012	4.35593e-012	2.88663e-012	3.90276e-012	3.11005e-013	4.4376e-013	2.14829e-013	2.01534e-013	8.8216e-015	8.6077e-015	2.85091e-015	1.9366e-015	6.61721e-017	3.25733e-017	7.96227e-018	4.16756e-018	1.03926e-019	4.45333e-020	8.5688e-021	2.87191e-021	2.49581e-022	1.21937e-022	3.42181e-023	1.74946e-023	7.26703e-024	
N5	1.27231e-027	1.18084e-023	2.20186e-020	6.49451e-018	1.34624e-015	9.94179e-014	1.53486e-012	6.78511e-011	3.90778e-009	2.30646e-008	6.28056e-008	8.47132e-007	4.73847e-006	1.18567e-005	3.36415e-005	0.000242339	0.00171698	0.00578527	0.00627016	0.00245722	0.00046804	0.000112473	0.000179516	0.000530512	0.000825638	0.000909488	0.000770536	0.000479216	0.000431928	0.000570554	0.00117202	0.00419006	0.0154878	0.054457	0.129026	0.222473	0.227338	0.178565	0.0859697	0.0399552	0.0119823	0.00474457	0.0014256	0.000730951	0.000359835	0.000183423	8.30291e-005	3.73418e-005	1.23855e-005	4.43072e-006	1.42848e-006	4.2912e-007	1.34851e-007	4.68294e-008	1.22115e-008	4.63955e-009	1.68405e-009	6.24944e-010	2.76399e-010	1.45687e-010	5.74568e-011	3.52691e-011	1.57115e-011	8.44243e-012	3.27933e-012	1.48596e-012	4.84712e-013	1.76765e-013	4.68907e-014	1.36651e-014	2.98332e-015	7.09483e-016	1.24625e-016	2.39675e-017	3.4799e-018	5.71778e-019	7.05396e-020	1.0103e-020	1.04605e-021	1.36524e-022	1.33905e-023	1.71295e-024	1.83118e-025	2.84805e-026	4.1194e-027	8.78612e-028	1.80128e-028	3.74807e-029	7.15721e-030	1.28886e-030	2.09101e-031	3.23338e-032	4.67227e-033	
Cyperus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.10403e-033	9.83202e-029	7.41483e-025	1.04871e-021	1.4772e-019	4.37974e-017	1.40258e-015	1.52204e-013	8.25479e-012	2.43053e-011	3.2103e-010	9.70662e-009	7.82581e-008	2.39882e-007	1.19626e-006	1.07479e-005	7.63455e-005	0.000166226	8.9779e-005	1.91049e-005	5.44135e-006	6.22568e-006	2.25167e-005	8.61159e-005	0.000192504	0.000310091	0.000390148	0.000459921	0.000709876	0.00155536	0.00438973	0.0142877	0.0465064	0.127182	0.233688	0.269251	0.184431	0.0833996	0.0249252	0.00610382	0.0012899	0.000323509	8.2925e-005	2.40207e-005	7.33864e-006	2.65158e-006	1.41363e-006	9.20924e-007	4.68399e-007	2.14784e-007	7.82766e-008	1.98251e-008	4.90024e-009	1.07837e-009	1.71907e-010	3.64076e-011	6.96233e-012	1.45211e-012	2.96471e-013	6.26013e-014	1.1806e-014	2.44479e-015	5.27721e-016	1.32986e-016	3.22804e-017	7.54236e-018	1.47745e-018	2.59926e-019	3.7539e-020	4.85387e-021	5.16608e-022	5.01152e-023	4.00779e-024	3.01779e-025	1.88112e-026	1.13769e-027	5.69933e-029	3.03907e-030	1.33726e-031	7.27927e-033	3.48742e-034	2.13085e-035	1.29805e-036	1.0413e-037	8.28977e-039	8.0732e-040	7.51298e-041	6.6697e-042	5.21132e-043	3.61696e-044	2.14722e-045	1.14321e-046	5.4994e-048	
N7	1.45943e-033	5.12133e-029	2.04407e-025	2.61e-022	4.09371e-020	6.9405e-018	3.63047e-016	4.34661e-014	8.80362e-013	1.11001e-011	2.68366e-010	3.838e-009	1.82574e-008	7.39871e-008	6.58286e-007	5.95979e-006	2.42124e-005	3.22464e-005	1.60619e-005	5.70846e-006	3.57795e-006	8.35127e-006	3.37114e-005	0.00010904	0.000228208	0.00033894	0.000418545	0.000563041	0.00115376	0.00346662	0.0121858	0.0417503	0.11564	0.222353	0.270913	0.202608	0.0932623	0.027912	0.00579297	0.000977672	0.000157915	2.93561e-005	6.03295e-006	1.59882e-006	5.35755e-007	1.92574e-007	6.80766e-008	2.14455e-008	5.72461e-009	1.337e-009	2.73524e-010	4.93572e-011	8.29231e-012	1.27972e-012	1.8573e-013	2.76327e-014	3.87743e-015	5.18952e-016	6.62114e-017	8.24641e-018	1.02017e-018	1.27708e-019	1.51684e-020	1.65274e-021	1.56777e-022	1.2976e-023	9.11663e-025	5.61704e-026	2.94114e-027	1.41037e-028	5.80988e-030	2.478e-031	9.13404e-033	4.61178e-034	2.18444e-035	1.70395e-036	1.30054e-037	1.71104e-038	1.43341e-039	1.9554e-040	2.23667e-041	2.08394e-042	2.4482e-043	2.96624e-044	2.56002e-045	3.22683e-046	4.36027e-047	6.20274e-048	1.06062e-048	1.68572e-049	2.23304e-050	2.50296e-051	2.28716e-052	
N8	2.33875e-028	8.55811e-025	6.70546e-022	1.88316e-019	1.59864e-017	1.07461e-015	4.88113e-014	1.3841e-012	2.21431e-011	1.65536e-010	1.41773e-009	1.32065e-008	8.68691e-008	3.77595e-007	1.66733e-006	4.70998e-006	7.60977e-006	8.13263e-006	7.99696e-006	1.10387e-005	1.96803e-005	4.3527e-005	8.78843e-005	0.000187105	0.000635185	0.00231676	0.00621908	0.0120736	0.0222511	0.0495566	0.109747	0.192182	0.240793	0.203224	0.110977	0.0388159	0.00887793	0.00146619	0.000265365	8.93271e-005	4.77008e-005	2.79043e-005	1.50067e-005	1.13629e-005	1.04513e-005	7.55649e-006	5.13553e-006	2.89663e-006	1.08439e-006	3.99434e-007	1.17739e-007	2.42117e-008	5.63522e-009	1.30964e-009	2.74995e-010	9.57659e-011	2.5262e-011	8.41899e-012	1.9626e-012	5.6321e-013	1.25043e-013	5.92799e-014	3.93689e-014	3.9585e-014	2.45163e-014	1.77671e-014	7.34531e-015	3.82461e-015	1.11327e-015	4.38952e-016	9.53775e-017	3.1256e-017	5.34463e-018	1.51517e-018	2.74985e-019	5.92692e-020	1.10304e-020	2.48811e-021	4.17779e-022	1.06425e-022	2.5614e-023	7.14163e-024	2.1558e-024	7.26346e-025	2.03082e-025	6.12891e-026	1.61456e-026	4.07005e-027	9.22517e-028	2.04996e-028	3.94206e-029	7.66122e-030	1.3555e-030	
Cyperus_longus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
