NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.00324441	0.00376889	0.00433634	0.00491679	0.00550013	0.00608181	0.00665703	0.00722313	0.00777698	0.00831689	0.00884083	0.00934781	0.00983655	0.0103066	0.0107573	0.0111885	0.0115999	0.0119917	0.0123641	0.0127173	0.0130517	0.0133679	0.0136661	0.013947	0.0142111	0.0144591	0.0146916	0.0149091	0.0151123	0.0153019	0.0154783	0.0156422	0.0157941	0.0159346	0.0160642	0.0161836	0.0162937	0.0163949	0.0164879	0.0165731	0.016651	0.0167221	0.0167866	0.016845	0.0168977	0.0169448	0.0169868	0.0170241	0.017057	0.017086	0.0171112	0.0171329	0.0171513	0.0171668	0.0171795	0.0171895	0.0171971	0.0172025	0.0172058	0.0172071	0.0172066	0.0172044	0.0172006	0.0171953	0.0171885	0.0171805	0.0171712	0.0171608	0.0171493	0.0171368	0.0171235	
N2	0.00124117	0.00307616	0.0043643	0.00540585	0.00612538	0.00727906	0.00779766	0.00882689	0.00956383	0.0103664	0.0109834	0.0119925	0.0123473	0.0132171	0.0137615	0.0143787	0.014801	0.0155727	0.0157404	0.0164019	0.0167312	0.0171424	0.0173846	0.0179394	0.0179457	0.0184168	0.0185808	0.0188278	0.0189235	0.0193106	0.0192088	0.0195344	0.0195742	0.0197089	0.0197103	0.0199762	0.019803	0.0200292	0.0199996	0.0200592	0.0199933	0.0201631	0.0199285	0.0200256	0.0198426	0.0196832	0.0193267	0.0190766	0.0183427	0.0178026	0.0169261	0.0160428	0.0150132	0.0141949	0.013119	0.0124421	0.0116863	0.01113	0.0105858	0.0103058	0.00979366	0.00959336	0.00923602	0.00896748	0.00862286	0.00845438	0.00802853	0.00785929	0.00752861	0.00727865	0.00695626	
N3	0.00101374	0.0028056	0.00428791	0.00550479	0.00638099	0.00764679	0.00828366	0.00941104	0.0102545	0.0111451	0.0118546	0.0129404	0.0133726	0.0143047	0.0149141	0.015576	0.0160483	0.0168523	0.0170554	0.0177354	0.0180898	0.018507	0.0187622	0.0193135	0.0193246	0.0197835	0.0199446	0.0201731	0.0202607	0.0206242	0.0205103	0.0208074	0.0208302	0.0209318	0.0209081	0.0211305	0.0209201	0.0210784	0.020969	0.0208987	0.0206602	0.0205732	0.0200114	0.0196779	0.0189975	0.0182777	0.0173653	0.0166007	0.0154805	0.0147048	0.0137945	0.0130526	0.0123231	0.0118852	0.0112292	0.01093	0.0104948	0.0101664	0.0097769	0.00957412	0.00910208	0.00889608	0.00851953	0.008212	0.00782596	0.0076041	0.00714667	0.00694444	0.00660346	0.00636009	0.00605436	
N4	0.000572325	0.00203694	0.00378983	0.0054822	0.00686773	0.00856153	0.00957825	0.0110804	0.0122586	0.0134608	0.0144196	0.0158441	0.0164056	0.0176125	0.018369	0.019197	0.019744	0.0207549	0.0209111	0.0217447	0.0220974	0.0225595	0.0227669	0.0234112	0.0232595	0.0237544	0.0237744	0.023883	0.023707	0.0238766	0.0232519	0.0231337	0.0224859	0.0218834	0.0209913	0.0204227	0.0192069	0.0185728	0.0176137	0.0168671	0.016015	0.0155918	0.0147021	0.0143759	0.0137612	0.0133285	0.0127615	0.0125252	0.0118368	0.0116163	0.0111178	0.0107896	0.0103226	0.0101501	0.00959508	0.0094358	0.00901583	0.00875838	0.0083537	0.00819982	0.00772207	0.00757806	0.00721162	0.00700248	0.00665817	0.00653699	0.00615014	0.00604022	0.00574209	0.00558398	0.00531089	
N5	0.000506145	0.00188153	0.00363153	0.00538839	0.00686307	0.00864553	0.00972633	0.0113066	0.0125366	0.0137972	0.0147752	0.0162884	0.0168191	0.0181005	0.0188517	0.0197182	0.0202334	0.0213339	0.0214007	0.0223132	0.022622	0.0231083	0.0232472	0.0239593	0.0236458	0.0241574	0.0240194	0.0240182	0.0235944	0.0236467	0.022669	0.0224175	0.0215111	0.0208073	0.0197842	0.0193209	0.0180581	0.0176445	0.0167809	0.016237	0.0154673	0.0152559	0.0143505	0.0141781	0.0135453	0.0131895	0.0125915	0.0124613	0.0117029	0.0115835	0.0110455	0.010778	0.0102574	0.0101501	0.00951083	0.00940726	0.00892583	0.00870644	0.00825361	0.00816028	0.00762925	0.00755448	0.00717878	0.00705444	0.00675888	0.00680704	0.00653246	0.00662799	0.00643915	0.00639354	0.00613654	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.000145544	0.000779628	0.0021025	0.00404932	0.00630072	0.00897882	0.0111632	0.0136728	0.0157785	0.0176855	0.0191043	0.0209957	0.0213958	0.0226621	0.0230391	0.0234953	0.0233732	0.0241082	0.0232674	0.0237512	0.0232809	0.0231896	0.022549	0.0228444	0.0216916	0.0218668	0.0211428	0.0208731	0.0200799	0.0201657	0.0190389	0.0190635	0.0182966	0.0180005	0.0172585	0.0172519	0.016245	0.016212	0.0155386	0.0152586	0.014591	0.014539	0.0137081	0.0136482	0.0130552	0.0128061	0.0122527	0.0121896	0.0114919	0.0114235	0.0109338	0.010726	0.010255	0.0101888	0.00962462	0.00956065	0.0091484	0.00897439	0.00859236	0.00853111	0.00806711	0.00800927	0.00767551	0.00753168	0.00721304	0.00716034	0.00678697	0.00673706	0.00645738	0.00634099	0.00608307	
N7	0.000148098	0.000801733	0.00219771	0.00429806	0.00679216	0.0097089	0.0121788	0.0148292	0.0170462	0.0189182	0.0202842	0.0219507	0.0222884	0.0233246	0.0236277	0.0239371	0.023795	0.02435	0.023559	0.0238689	0.023393	0.023186	0.0225488	0.0226826	0.0216028	0.0216333	0.0209332	0.0205827	0.019833	0.0198133	0.0187739	0.0187113	0.0179999	0.0176597	0.0169668	0.0168936	0.015966	0.015874	0.0152415	0.0149324	0.0143088	0.014214	0.0134407	0.0133443	0.0127906	0.0125266	0.0120074	0.0119186	0.0112683	0.0111776	0.0107154	0.0104963	0.0100504	0.00996288	0.00942396	0.00933627	0.00893587	0.00874396	0.00836901	0.00828627	0.00783734	0.00776342	0.00744005	0.00728979	0.00698429	0.00692397	0.00656572	0.00650958	0.00624108	0.00612201	0.00587307	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.00012079	0.00071336	0.00211139	0.00439291	0.00727181	0.0107392	0.0137373	0.0169118	0.0195192	0.0216794	0.023207	0.0251378	0.0254392	0.0266429	0.0269188	0.0272322	0.0269547	0.0275195	0.0264559	0.0267016	0.0259991	0.0256327	0.0247552	0.0247553	0.0233989	0.0232756	0.0223494	0.0218117	0.0208456	0.0206505	0.0194002	0.0191552	0.0182508	0.017723	0.0168476	0.0165787	0.0154921	0.0152088	0.0144237	0.0139476	0.0131954	0.0129354	0.0120803	0.011842	0.0112162	0.010854	0.0102873	0.010097	0.00944408	0.00926869	0.00879543	0.00852705	0.00808519	0.00793764	0.00743815	0.00730286	0.00692968	0.00672331	0.00638259	0.00626793	0.00587966	0.00577591	0.00548861	0.00533202	0.00506467	0.00497818	0.00468024	0.00460149	0.00437439	0.0042561	0.00404946	
Morelotia_affinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.000121311	0.000722279	0.00215422	0.00450865	0.00750209	0.0110916	0.0142285	0.017499	0.0201995	0.02241	0.0240051	0.0259118	0.0262787	0.0274266	0.027714	0.027967	0.0276989	0.0281391	0.0271166	0.0272351	0.0265265	0.0260662	0.0251862	0.0250485	0.023732	0.0234801	0.0225485	0.0219217	0.0209559	0.0206378	0.0194152	0.0190526	0.0181411	0.0175286	0.0166444	0.0162739	0.0152201	0.0148576	0.0140893	0.0135774	0.0128582	0.0125556	0.0117548	0.0114796	0.0108866	0.0105052	0.00996355	0.00973686	0.00912292	0.00891386	0.00846039	0.00817457	0.00775401	0.00758065	0.00711343	0.0069561	0.00660423	0.00638941	0.00606858	0.00593776	0.00557751	0.00545621	0.00517961	0.00500423	0.00473253	0.00460396	0.00429311	0.00417003	0.00393354	0.00379784	0.00360132	
