NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.014042	0.0178759	0.0257295	0.0376883	0.0530191	0.0698238	0.085366	0.0968154	0.102102	0.100495	0.0926677	0.0803555	0.0657454	0.0509102	0.0374116	0.0261521	0.0174276	0.0110922	0.0067547	0.00394153	0.00220715	0.00118758	0.000614766	0.000306519	0.000147363	6.83815e-005	3.0658e-005	1.32924e-005	5.57843e-006	2.26798e-006	8.94022e-007	3.41966e-007	1.27022e-007	4.58518e-008	1.60964e-008	5.49911e-009	1.82953e-009	5.93133e-010	1.87499e-010	5.78294e-011	1.74122e-011	5.12115e-012	1.47208e-012	4.1379e-013	1.45331e-016	7.54073e-017	3.87212e-017	1.9682e-017	9.9056e-018	4.93721e-018	2.43766e-018	1.19249e-018	5.78123e-019	2.77828e-019	1.32381e-019	6.2559e-020	2.93295e-020	1.36475e-020	6.30692e-021	2.89797e-021	1.32713e-021	6.08978e-022	2.83571e-022	1.38077e-022	7.51302e-023	5.15917e-023	
N2	0.0415754	0.0488678	0.0587077	0.0696401	0.0799983	0.0881124	0.0918225	0.0911695	0.0861879	0.0773625	0.0663396	0.054576	0.042812	0.0323573	0.0235805	0.0165085	0.0111878	0.00738366	0.00468845	0.00291438	0.00177157	0.0010455	0.000606022	0.000349345	0.000194546	0.000108651	6.02477e-005	3.27967e-005	1.77741e-005	9.83375e-006	5.21289e-006	2.84203e-006	1.53773e-006	8.22454e-007	4.35912e-007	2.39208e-007	1.23374e-007	6.63163e-008	3.48922e-008	1.82951e-008	9.38362e-009	5.02763e-009	2.50525e-009	1.31381e-009	6.67819e-010	3.41334e-010	1.69385e-010	8.8629e-011	4.28576e-011	2.19633e-011	1.08581e-011	5.43934e-012	2.63872e-012	1.35939e-012	6.46472e-013	3.2889e-013	1.62653e-013	8.26414e-014	4.1481e-014	2.25448e-014	1.18582e-014	6.88323e-015	4.15068e-015	2.75688e-015	2.05698e-015	1.9072e-015	
N3	0.0843439	0.0911064	0.0959368	0.0982413	0.0977739	0.0943876	0.0870849	0.077554	0.0664751	0.0545886	0.0432251	0.0331507	0.0243984	0.0174536	0.0121251	0.00814667	0.00533372	0.00342277	0.00212495	0.00129818	0.00077827	0.000455176	0.000261993	0.000149698	8.30872e-005	4.59755e-005	2.51686e-005	1.35287e-005	7.20802e-006	3.85831e-006	2.00362e-006	1.04929e-006	5.45075e-007	2.79207e-007	1.41983e-007	7.31385e-008	3.63473e-008	1.83607e-008	9.18105e-009	4.54141e-009	2.22469e-009	1.10975e-009	5.31633e-010	2.60299e-010	1.25781e-010	6.03278e-011	2.85954e-011	1.38694e-011	6.44497e-012	3.0754e-012	1.447e-012	6.7977e-013	3.16015e-013	1.5129e-013	6.97466e-014	3.33068e-014	1.58241e-014	7.60998e-015	3.67526e-015	1.84881e-015	9.21708e-016	4.8337e-016	2.61473e-016	1.51131e-016	9.77392e-017	7.90518e-017	
N4	0.00833325	0.0126792	0.0207524	0.0322065	0.0462331	0.0614885	0.0751042	0.0860033	0.0925448	0.0934886	0.0896263	0.0822307	0.0713162	0.0595662	0.0477956	0.0366741	0.0271425	0.019531	0.0134141	0.0089948	0.0058538	0.00367644	0.00224723	0.00135116	0.000778689	0.000443232	0.000246507	0.000133204	7.04787e-005	3.70446e-005	1.86843e-005	9.39427e-006	4.62954e-006	2.22871e-006	1.05347e-006	4.9818e-007	2.25869e-007	1.02776e-007	4.58856e-008	2.00971e-008	8.64846e-009	3.74159e-009	1.55179e-009	6.49071e-010	2.66495e-010	1.07739e-010	4.2845e-011	1.72068e-011	6.63397e-012	2.59112e-012	9.9569e-013	3.79079e-013	1.42537e-013	5.44306e-014	2.01096e-014	7.57736e-015	2.83261e-015	1.06008e-015	3.95931e-016	1.51e-016	5.67894e-017	2.19301e-017	8.59088e-018	3.51181e-018	1.59383e-018	9.69055e-019	
N5	0.000462229	0.000837087	0.0018623	0.00417583	0.00874195	0.0166773	0.0283763	0.0438762	0.0617301	0.0789491	0.0930378	0.102321	0.103278	0.0983947	0.0881615	0.07393	0.0587327	0.0449618	0.0320107	0.0221771	0.0147211	0.00930955	0.00566422	0.00342049	0.00191577	0.00107725	0.000584369	0.000306369	0.000155108	8.01722e-005	3.78455e-005	1.84321e-005	8.58851e-006	3.92418e-006	1.71677e-006	7.82078e-007	3.19117e-007	1.36859e-007	5.54967e-008	2.23485e-008	8.51043e-009	3.41419e-009	1.21583e-009	4.6037e-010	1.63297e-010	5.79953e-011	1.93654e-011	6.88018e-012	2.15578e-012	7.22965e-013	2.26226e-013	7.15757e-014	2.12195e-014	6.74389e-015	1.88963e-015	5.72454e-016	1.62789e-016	4.75389e-017	1.32948e-017	4.09063e-018	1.18465e-018	4.00697e-019	1.54461e-019	8.34431e-020	6.60417e-020	7.34746e-020	
N6	0.000455923	0.000824884	0.00183508	0.00412111	0.00864742	0.0165317	0.028206	0.0437009	0.0615849	0.0788932	0.0931043	0.102406	0.103509	0.0986081	0.0883405	0.0740818	0.0588628	0.0449617	0.0320425	0.022152	0.0146855	0.00927341	0.00564039	0.00338863	0.00190101	0.00106371	0.000576003	0.000300899	0.000152329	7.80512e-005	3.69462e-005	1.78457e-005	8.30469e-006	3.77016e-006	1.6502e-006	7.43069e-007	3.04214e-007	1.29067e-007	5.23052e-008	2.08768e-008	7.95338e-009	3.15311e-009	1.12476e-009	4.21192e-010	1.49328e-010	5.25319e-011	1.75126e-011	6.17511e-012	1.92757e-012	6.42182e-013	2.00587e-013	6.30454e-014	1.8547e-014	5.93796e-015	1.63358e-015	4.98858e-016	1.40865e-016	4.12807e-017	1.12602e-017	3.57513e-018	9.69995e-019	3.19148e-019	1.01936e-019	3.72835e-020	1.5099e-020	1.0752e-020	
N7	0.000204722	0.000383247	0.000919486	0.00228384	0.00532806	0.0112529	0.0211311	0.0355657	0.0538569	0.0735288	0.0914561	0.10449	0.109426	0.10643	0.0964919	0.0814493	0.0646272	0.0485744	0.0342291	0.0230283	0.0147913	0.00901122	0.00526936	0.00299407	0.00160659	0.000844455	0.000430558	0.000210431	0.000100002	4.74632e-005	2.10441e-005	9.41274e-006	4.09277e-006	1.72174e-006	7.03503e-007	2.95176e-007	1.12684e-007	4.4703e-008	1.6997e-008	6.34493e-009	2.26489e-009	8.48405e-010	2.82846e-010	1.00179e-010	3.33798e-011	1.11012e-011	3.47625e-012	1.16162e-012	3.41079e-013	1.07788e-013	3.16454e-014	9.43102e-015	2.62103e-015	7.86429e-016	2.0611e-016	5.88754e-017	1.56485e-017	4.30423e-018	1.12635e-018	3.32467e-019	9.47142e-020	3.45946e-020	1.58912e-020	1.05332e-020	9.11402e-021	1.00397e-020	
N8	1.34636e-035	4.02543e-031	6.06665e-027	9.45971e-024	7.16639e-020	2.85282e-019	1.50066e-015	9.79587e-017	5.75017e-014	2.9855e-011	8.31698e-013	2.14431e-013	6.51277e-010	3.93062e-007	3.37891e-007	1.98414e-010	3.43916e-011	1.02322e-008	5.66569e-006	0.00159146	0.00238133	2.32047e-006	1.08135e-009	6.36427e-013	1.47577e-010	4.16947e-007	0.000668095	0.316181	0.508415	0.170414	0.000339567	2.81715e-007	1.35516e-010	8.10496e-014	5.922e-014	6.87013e-014	5.7332e-014	3.54308e-014	1.55404e-014	4.57356e-015	8.14192e-016	6.76334e-017	6.30388e-020	2.86758e-023	8.30678e-027	1.72723e-030	2.75846e-034	3.60708e-038	3.80038e-042	3.45595e-046	2.68683e-050	1.81526e-054	1.07482e-058	5.75733e-063	2.68503e-067	1.14907e-071	4.41752e-076	1.53973e-080	4.86386e-085	1.42142e-089	3.71587e-094	8.98269e-099	1.96678e-103	3.90629e-108	6.99415e-113	1.14204e-117	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
