NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	8.59834e-022	3.37341e-021	1.94332e-020	1.08942e-019	5.45492e-019	2.37835e-018	9.11747e-018	3.08894e-017	9.4072e-017	2.59766e-016	1.46254e-012	8.10058e-012	3.93372e-011	1.69462e-010	6.57358e-010	2.31884e-009	7.52313e-009	2.26164e-008	6.34957e-008	1.67398e-007	4.1681e-007	9.84745e-007	2.21763e-006	4.77631e-006	9.86533e-006	1.95755e-005	3.73646e-005	6.86895e-005	0.000121799	0.00020872	0.000346401	0.000558123	0.000875004	0.00133769	0.00199766	0.00291834	0.00417498	0.00585367	0.00804413	0.0108227	0.0142454	0.0183388	0.0230882	0.0284325	0.0342541	0.0403771	0.046564	0.0525207	0.05791	0.062372	0.0655544	0.067119	0.0668042	0.0645096	0.0603305	0.0545597	0.0476496	0.0401452	0.0326006	0.0255008	0.0192051	0.0139215	0.0097116	0.00651967	0.00421247	0.00262012	0.00156941	0.000905766	0.000504081	0.000270852	0.000140815	7.11332e-005	3.52294e-005	1.74732e-005	9.15591e-006	5.78912e-006	
N2	1.54934e-018	9.86506e-018	9.99697e-017	9.84027e-016	8.55021e-015	6.44461e-014	4.23602e-013	2.45056e-012	1.26374e-011	5.85744e-011	2.46203e-010	9.43359e-010	3.31525e-009	1.07587e-008	3.25215e-008	9.22415e-008	2.4725e-007	6.29609e-007	1.52965e-006	3.55794e-006	7.93912e-006	1.70031e-005	3.49396e-005	6.88166e-005	0.000129796	0.00023443	0.000405795	0.00067423	0.00107808	0.00166364	0.00248465	0.00360155	0.00507847	0.00697718	0.00935325	0.0122471	0.0156735	0.01963	0.0240776	0.0289213	0.0340444	0.0392931	0.044445	0.04928	0.053517	0.0568094	0.0589133	0.0596167	0.0587058	0.0563174	0.0526236	0.0477825	0.042323	0.036676	0.0309935	0.0258454	0.0213715	0.0174753	0.0143669	0.0119668	0.00992879	0.00839443	0.0071583	0.00604137	0.00509889	0.00428839	0.00349279	0.0028227	0.00223188	0.00171305	0.00128875	0.00095718	0.000689459	0.000500167	0.000369193	0.000292777	
N3	5.51652e-022	1.08236e-020	2.98121e-019	6.74615e-018	1.17832e-016	1.53341e-015	1.61556e-014	1.44086e-013	1.11437e-012	7.24814e-012	3.83785e-011	1.68593e-010	6.61847e-010	2.43332e-009	8.47328e-009	2.79725e-008	8.91976e-008	2.77032e-007	8.22714e-007	2.2671e-006	5.67775e-006	1.28113e-005	2.61412e-005	4.87677e-005	8.4784e-005	0.000140493	0.000227067	0.000362469	0.000572948	0.000891189	0.00135431	0.00201009	0.00292537	0.00420722	0.0060193	0.00858604	0.0121523	0.0169586	0.023137	0.0305896	0.0390264	0.0479005	0.0563213	0.0635964	0.0689815	0.0717395	0.0719239	0.0697738	0.0651645	0.0593104	0.0526614	0.0453836	0.0383794	0.0320147	0.0258617	0.0207149	0.0163101	0.0124994	0.00942759	0.00703993	0.00504977	0.00359463	0.00249197	0.00167636	0.00109803	0.000707403	0.0004344	0.000262831	0.000153225	8.66903e-005	4.73652e-005	2.54468e-005	1.30784e-005	6.69629e-006	3.41908e-006	1.98359e-006	
N4	5.2007e-017	2.73134e-016	2.14835e-015	1.70596e-014	1.25057e-013	8.24132e-013	4.85508e-012	2.55824e-011	1.21182e-010	5.1825e-010	2.01371e-009	7.14411e-009	2.32545e-008	6.97248e-008	1.93447e-007	4.99146e-007	1.20624e-006	2.74931e-006	5.95083e-006	1.23075e-005	2.4456e-005	4.69183e-005	8.73325e-005	0.000158356	0.000280428	0.000485565	0.000821497	0.00135521	0.00217517	0.00338904	0.00511523	0.0074711	0.0105527	0.0144116	0.0190428	0.0243661	0.0302174	0.0363675	0.0425018	0.048196	0.0530257	0.0565977	0.0585838	0.0588887	0.0575596	0.0547508	0.0508513	0.0462626	0.0412473	0.0362636	0.0315486	0.0271084	0.023189	0.0198446	0.0168241	0.0143922	0.0124482	0.0107146	0.00939608	0.0084425	0.00747447	0.00682346	0.00631645	0.00577148	0.00534702	0.00502737	0.00456904	0.00420953	0.00381856	0.00338277	0.00294778	0.0025539	0.00213016	0.00179033	0.00150062	0.00130827	
Carex_microglochin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	3.24258e-015	1.24726e-014	7.74752e-014	5.01298e-013	2.99565e-012	1.60761e-011	7.73016e-011	3.3524e-010	1.32268e-009	4.77704e-009	1.59084e-008	4.90437e-008	1.40498e-007	3.76078e-007	9.46791e-007	2.25411e-006	5.10591e-006	1.10581e-005	2.29942e-005	4.60969e-005	8.92469e-005	0.000166705	0.000299674	0.000516477	0.000850088	0.00133413	0.00199619	0.00285115	0.00390143	0.00513412	0.00651868	0.00801713	0.00957619	0.0111233	0.012597	0.0139428	0.0151036	0.0161056	0.0169835	0.0177635	0.0185583	0.0194743	0.0205061	0.0218149	0.0234248	0.025223	0.027313	0.0297255	0.032003	0.034519	0.0370446	0.0390996	0.0409431	0.0426993	0.0431302	0.0434609	0.0430182	0.0415252	0.0394019	0.0371192	0.0335568	0.0302265	0.0265031	0.0227021	0.0189541	0.0156742	0.0124104	0.00976183	0.0074319	0.00555328	0.0040303	0.00291038	0.00203276	0.00144077	0.0010345	0.000813067	
Carex_baldensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_curvula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	6.82597e-025	2.88788e-023	1.40934e-021	5.2275e-020	1.40533e-018	2.50723e-017	3.62344e-016	4.40203e-015	4.59317e-014	3.7664e-013	2.35347e-012	1.20373e-011	5.70147e-011	2.55834e-010	1.07716e-009	4.30981e-009	1.66734e-008	6.11931e-008	2.05697e-007	6.15671e-007	1.62615e-006	3.80215e-006	8.01268e-006	1.56145e-005	2.91386e-005	5.34225e-005	9.7382e-005	0.000175335	0.000308554	0.000528456	0.000882231	0.00144772	0.0023485	0.00377328	0.00598121	0.00928569	0.0140015	0.0203714	0.0284568	0.0380124	0.0484811	0.0589885	0.0683996	0.0756981	0.0800409	0.0808667	0.078325	0.0729065	0.0651844	0.0562875	0.04703	0.0379542	0.0297379	0.0226534	0.0166741	0.011947	0.00831297	0.00558377	0.00363935	0.00230153	0.00139707	0.000822442	0.0004671	0.000254626	0.000133891	6.808e-005	3.30712e-005	1.55899e-005	7.09238e-006	3.11784e-006	1.33318e-006	5.608e-007	2.29275e-007	9.36601e-008	3.85658e-008	1.82708e-008	
N7	3.33919e-026	1.43344e-024	7.67497e-023	3.19549e-021	9.75385e-020	2.12636e-018	3.70741e-017	5.28375e-016	6.17565e-015	5.66561e-014	4.11685e-013	2.51692e-012	1.40013e-011	7.23322e-011	3.48293e-010	1.5741e-009	6.68523e-009	2.62096e-008	9.27891e-008	2.92139e-007	8.16502e-007	2.04e-006	4.63619e-006	9.796e-006	1.97511e-005	3.87327e-005	7.46035e-005	0.00014104	0.000260588	0.000469895	0.000827766	0.00143021	0.00242748	0.00404262	0.00657596	0.0103836	0.0158145	0.0231118	0.0322843	0.0429765	0.0544469	0.0655998	0.075127	0.081861	0.0849524	0.0840194	0.0793896	0.0718145	0.0622373	0.0518531	0.0416019	0.0321313	0.0239605	0.0172634	0.011984	0.00804072	0.00520846	0.0032451	0.00194971	0.00112895	0.000626219	0.000334502	0.000171677	8.42844e-005	3.97703e-005	1.80682e-005	7.83757e-006	3.28825e-006	1.33223e-006	5.20468e-007	1.9845e-007	7.49602e-008	2.79771e-008	1.0873e-008	4.56199e-009	2.38307e-009	
