NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	4.71615e-024	1.20942e-022	3.03209e-021	5.29601e-020	6.49253e-019	5.74357e-018	4.02098e-017	4.01898e-013	8.02155e-012	1.06159e-010	1.01656e-009	7.71515e-009	5.1704e-008	3.22414e-007	1.89151e-006	1.01281e-005	4.82142e-005	0.000202497	0.000742767	0.00234468	0.00628809	0.0143557	0.0283766	0.049815	0.0791557	0.113954	0.146037	0.161963	0.151124	0.116039	0.0722907	0.0362798	0.0146398	0.00475813	0.00125069	0.000267402	4.68268e-005	6.76988e-006	8.15103e-007	8.24999e-008	7.0884e-009	5.22161e-010	3.33008e-011	1.85565e-012	1.06783e-016	2.22883e-017	4.39498e-018	8.20528e-019	1.45267e-019	2.44138e-020	3.89774e-021	5.91462e-022	8.53454e-023	1.17163e-023	1.53116e-024	1.90622e-025	2.26264e-026	2.56301e-027	2.77346e-028	2.87011e-029	2.84357e-030	2.70028e-031	2.46048e-032	2.15367e-033	1.81281e-034	1.4689e-035	1.14692e-036	8.63748e-038	6.27991e-039	4.41171e-040	2.99714e-041	1.97058e-042	1.25485e-043	7.74484e-045	4.63603e-046	2.69325e-047	1.5194e-048	8.32891e-050	4.43888e-051	2.30125e-052	1.16115e-053	5.70511e-055	2.73089e-056	1.27412e-057	5.79679e-059	2.5729e-060	1.11456e-061	4.71428e-063	1.94776e-064	7.86397e-066	3.10429e-067	1.20325e-068	5.43237e-070	
N2	1.97848e-026	4.98875e-024	1.15093e-021	1.57389e-019	1.28831e-017	7.20678e-016	2.83992e-014	6.94469e-013	1.13063e-011	1.49455e-010	1.83914e-009	2.23062e-008	2.60705e-007	2.60974e-006	1.98946e-005	0.00010965	0.000444527	0.00140143	0.00366072	0.00818936	0.0158664	0.0269681	0.0412828	0.0589317	0.0801434	0.104019	0.126574	0.139806	0.135024	0.110379	0.0746494	0.0415086	0.0192082	0.00750133	0.0026755	0.001	0.000370171	0.000156522	6.97024e-005	2.48323e-005	8.76084e-006	3.0223e-006	7.74589e-007	2.10071e-007	5.13083e-008	1.11061e-008	2.22258e-009	5.03525e-010	8.56633e-011	1.84088e-011	3.02318e-012	5.99823e-013	8.81737e-014	1.62587e-014	2.1137e-015	3.46664e-016	4.03151e-017	5.81954e-018	5.93665e-019	7.61552e-020	6.76935e-021	7.62932e-022	6.07534e-023	5.94793e-024	4.15615e-025	3.76813e-026	2.33197e-027	1.90895e-028	1.17034e-029	8.7266e-031	5.2456e-032	4.29315e-033	2.43398e-034	1.91796e-035	1.27746e-036	9.19337e-038	5.68588e-039	4.41061e-040	2.31105e-041	1.58181e-042	8.91048e-044	5.23807e-045	2.61122e-046	1.6096e-047	6.73798e-049	3.70982e-050	1.7393e-051	9.06702e-053	4.39322e-054	2.6371e-055	1.37859e-056	8.26094e-058	5.4949e-059	
N3	5.17796e-026	1.43409e-023	3.74286e-021	6.14142e-019	5.3269e-017	3.25904e-015	1.74995e-013	6.22166e-012	1.22851e-010	1.6862e-009	1.79249e-008	1.63262e-007	1.48155e-006	1.2679e-005	8.63677e-005	0.000420142	0.00147439	0.00402121	0.00916323	0.0178005	0.0298916	0.0440587	0.058989	0.0742512	0.0900807	0.106417	0.120626	0.126388	0.116303	0.0902934	0.0578805	0.0305717	0.0134985	0.00512554	0.00175902	0.000583878	0.000195222	6.86728e-005	2.53751e-005	8.66109e-006	2.93947e-006	1.02254e-006	2.87642e-007	8.69176e-008	2.73316e-008	6.65924e-009	1.78337e-009	5.42967e-010	1.15746e-010	3.4656e-011	8.9771e-012	2.69831e-012	6.5124e-013	2.39252e-013	5.15251e-014	1.79236e-014	3.59609e-015	1.08646e-015	1.85176e-016	4.94476e-017	7.08711e-018	1.61361e-018	2.02068e-019	3.88967e-020	4.15886e-021	7.13795e-022	6.63082e-023	1.00099e-023	8.58162e-025	1.1572e-025	9.26333e-027	1.22044e-027	9.08941e-029	1.12588e-029	8.78089e-031	1.01493e-031	7.54348e-033	8.72872e-034	5.80636e-035	6.13601e-036	4.25488e-037	3.95243e-038	2.50863e-039	2.46624e-040	1.30972e-041	1.12476e-042	6.9074e-044	5.20986e-045	3.1755e-046	3.0823e-047	2.25049e-048	2.43515e-049	3.00696e-050	
N4	3.49843e-028	7.73707e-026	1.93391e-023	3.34155e-021	3.82008e-019	3.01091e-017	1.66876e-015	5.73006e-014	1.30285e-012	2.25277e-011	3.22398e-010	4.0896e-009	4.69762e-008	4.40934e-007	3.0478e-006	1.50916e-005	5.67302e-005	0.000174827	0.000468947	0.00111177	0.00235185	0.00450404	0.00805083	0.0139728	0.0240617	0.0406252	0.0641621	0.0893323	0.105156	0.103297	0.083359	0.0595988	0.0447904	0.032139	0.0297253	0.0374363	0.0305866	0.0340029	0.0361058	0.0295934	0.0235224	0.0250495	0.0143864	0.014945	0.00935544	0.00956791	0.00549177	0.00644704	0.00354581	0.00417459	0.00226005	0.00251439	0.00126187	0.00128696	0.00056912	0.000501869	0.000196353	0.000145986	4.86287e-005	3.13551e-005	8.7639e-006	4.82441e-006	1.31399e-006	5.85999e-007	1.43659e-007	7.21558e-008	1.52856e-008	6.74297e-009	1.99425e-009	7.06957e-010	1.89604e-010	9.32772e-011	1.6379e-011	6.06394e-012	1.58562e-012	4.45821e-013	8.88777e-014	3.23877e-014	4.46434e-015	1.27797e-015	2.29929e-016	4.93319e-017	7.69064e-018	2.2076e-018	2.22256e-019	4.92378e-020	7.26463e-021	1.55566e-021	1.78887e-022	4.66318e-023	9.12953e-024	2.95082e-024	9.70858e-025	
N5	2.79538e-025	2.58497e-023	2.66548e-021	1.98234e-019	1.02912e-017	4.08695e-016	1.22401e-014	2.23892e-013	2.87082e-012	3.22597e-011	3.14941e-010	3.03439e-009	2.85334e-008	2.1678e-007	1.20194e-006	4.82301e-006	1.49498e-005	4.00626e-005	0.000103027	0.00025377	0.000573105	0.00117744	0.00230372	0.0046577	0.00993456	0.0208754	0.0395857	0.0641984	0.0874018	0.10028	0.0987423	0.0868891	0.0725422	0.0604623	0.0530942	0.0491385	0.0447351	0.0405285	0.0356891	0.0294987	0.0237815	0.0188809	0.0142966	0.0109992	0.00840872	0.00638476	0.00477295	0.00351837	0.00244265	0.00162878	0.00100502	0.00058114	0.000307743	0.000151921	6.82983e-005	2.86038e-005	1.09542e-005	3.90511e-006	1.27809e-006	3.92658e-007	1.10926e-007	2.97248e-008	7.43953e-009	1.77831e-009	4.03542e-010	9.01825e-011	1.90914e-011	4.05906e-012	8.40624e-013	1.70231e-013	3.36229e-014	6.79244e-015	1.2558e-015	2.42387e-016	4.58016e-017	8.27753e-018	1.47652e-018	2.76495e-019	4.47323e-020	7.72157e-021	1.28031e-021	1.96111e-022	2.96087e-023	4.67619e-024	6.42154e-025	9.74458e-026	1.47851e-026	2.2534e-027	3.53452e-028	5.73709e-029	8.69828e-030	1.34445e-030	2.34178e-031	
Cyperus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	4.28097e-032	2.62673e-029	1.4774e-026	4.46784e-024	7.91153e-022	8.5577e-020	5.55525e-018	1.51997e-016	3.35143e-015	7.60639e-014	1.33525e-012	2.12262e-011	3.06473e-010	3.17549e-009	2.02975e-008	8.21237e-008	2.68841e-007	9.73631e-007	4.27994e-006	1.85161e-005	6.68522e-005	0.000204376	0.000586302	0.00169262	0.00481627	0.0127265	0.0293309	0.0560494	0.0873357	0.111381	0.118421	0.109053	0.0916178	0.0738463	0.0598078	0.0497231	0.0421129	0.0363013	0.0310234	0.0253588	0.0196881	0.014414	0.00985163	0.00636445	0.00385656	0.00217979	0.00114925	0.000566532	0.000261651	0.000114095	4.68407e-005	1.79829e-005	6.37398e-006	2.06295e-006	6.03072e-007	1.5871e-007	3.7501e-008	7.97536e-009	1.53131e-009	2.67315e-010	4.25875e-011	6.25679e-012	8.5259e-013	1.08688e-013	1.3072e-014	1.5064e-015	1.65762e-016	1.79339e-017	1.92796e-018	2.04521e-019	2.21936e-020	2.56148e-021	2.81532e-022	3.31735e-023	4.04206e-024	4.46556e-025	5.06999e-026	5.89668e-027	5.7776e-028	5.89098e-029	5.88737e-030	4.99969e-031	4.3014e-032	3.71513e-033	2.69533e-034	2.10285e-035	1.66691e-036	1.26335e-037	1.03569e-038	8.7775e-040	6.88762e-041	5.32662e-042	4.60432e-043	
N7	1.73069e-031	5.20931e-029	1.50889e-026	2.74416e-024	3.2898e-022	2.59585e-020	1.24909e-018	3.71521e-017	9.25103e-016	1.97949e-014	3.79939e-013	6.32434e-012	8.03894e-011	7.17545e-010	4.58915e-009	2.35383e-008	1.13278e-007	5.38751e-007	2.42255e-006	9.86545e-006	3.69046e-005	0.000133555	0.000474001	0.00161111	0.00504139	0.0139047	0.0324744	0.0624063	0.09748	0.124265	0.131854	0.120682	0.100038	0.0790864	0.0620198	0.0488101	0.038025	0.0286917	0.0205475	0.0137848	0.00861454	0.00499732	0.00268241	0.00132776	0.000603546	0.000251129	9.54976e-005	3.31662e-005	1.05128e-005	3.0373e-006	7.98127e-007	1.90382e-007	4.12015e-008	8.10321e-009	1.45414e-009	2.39556e-010	3.64972e-011	5.1841e-012	6.9248e-013	8.7783e-014	1.06521e-014	1.24735e-015	1.41724e-016	1.56232e-017	1.67477e-018	1.76022e-019	1.80295e-020	1.89189e-021	2.19561e-022	2.59221e-023	3.60049e-024	5.86307e-025	8.02886e-026	1.22472e-026	1.96935e-027	2.44608e-028	3.29086e-029	4.5724e-030	4.818e-031	5.52013e-032	6.41203e-033	5.69438e-034	5.45842e-035	5.34664e-036	3.97355e-037	3.30822e-038	2.80501e-039	2.07331e-040	1.89195e-041	2.07256e-042	2.24183e-043	2.55985e-044	3.24753e-045	
N8	3.52049e-024	1.15477e-022	5.17625e-021	1.91573e-019	5.60424e-018	1.29402e-016	2.40824e-015	3.6397e-014	4.63973e-013	5.10251e-012	4.82756e-011	3.99912e-010	2.9557e-009	1.90161e-008	1.04289e-007	4.91157e-007	2.06626e-006	8.20802e-006	3.1816e-005	0.000117414	0.000390616	0.00112362	0.00278166	0.00617031	0.0129648	0.0262209	0.0492347	0.0817124	0.116353	0.140779	0.145106	0.128935	0.100571	0.0704247	0.0455596	0.0281541	0.017175	0.0106331	0.0066782	0.00410048	0.00239306	0.00129491	0.000628354	0.000278741	0.000113595	4.15096e-005	1.4395e-005	4.93498e-006	1.55327e-006	5.30428e-007	1.93163e-007	7.73255e-008	3.64774e-008	2.15944e-008	1.20748e-008	7.64582e-009	4.41943e-009	2.49456e-009	1.25917e-009	6.6587e-010	2.86341e-010	1.3264e-010	5.27478e-011	2.13578e-011	7.50564e-012	2.88259e-012	9.03318e-013	3.19009e-013	9.5132e-014	3.10309e-014	8.58877e-015	2.69266e-015	6.89942e-016	2.01769e-016	4.90794e-017	1.32743e-017	2.99222e-018	7.60606e-019	1.58026e-019	3.71388e-020	7.27871e-021	1.57555e-021	2.87276e-022	5.94254e-023	1.01941e-023	2.01146e-024	3.49308e-025	6.80054e-026	1.22805e-026	2.51071e-027	4.76112e-028	1.00408e-028	2.55099e-029	
Cyperus_longus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
