NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	1.09985e-005	2.8203e-005	6.61064e-005	0.0001361	0.000252276	0.000427842	0.000676046	0.0010068	0.00142813	0.00194297	0.00255269	0.00325379	0.00404083	0.00490571	0.0058404	0.00683423	0.00787384	0.00894151	0.0100229	0.0111057	0.0121804	0.0132378	0.0142663	0.0152555	0.016198	0.0170885	0.0179238	0.0187021	0.019423	0.0200862	0.0206915	0.0212395	0.021727	0.0221255	0.0224432	0.0226882	0.022868	0.0229898	0.0230602	0.0230853	0.023071	0.0230223	0.0229438	0.0228388	0.0227036	0.0225434	0.0223627	0.0221654	0.0219547	0.0217337	0.0215049	0.0212704	0.0210322	0.0207919	0.0205509	0.0203104	0.0200716	0.0198352	0.019602	0.0193726	0.0191475	0.0189271	0.0187117	0.0185016	0.0182973	0.0181066	
N2	1.19892e-005	6.47593e-005	0.000202311	0.000484347	0.000969908	0.00173208	0.00276653	0.00412785	0.00578631	0.00768966	0.00979812	0.0121198	0.0144142	0.0168214	0.0191676	0.0213807	0.0234554	0.0254729	0.0270694	0.0286324	0.0298959	0.0308741	0.0316163	0.0322829	0.0324555	0.0326897	0.0326518	0.0324326	0.0320744	0.0317572	0.0310297	0.0304609	0.0296562	0.028729	0.0276542	0.0265857	0.0250836	0.0236812	0.0220216	0.0202766	0.0184661	0.0168169	0.0150146	0.0135685	0.0121796	0.0109939	0.00995494	0.0091903	0.00835626	0.00780781	0.00723388	0.00674199	0.00626007	0.00590967	0.0054258	0.00511655	0.00474117	0.00441769	0.00408131	0.00384599	0.00350675	0.00330493	0.00304658	0.00284272	0.00261882	0.00248049	
N3	0.000134471	0.000854498	0.00281745	0.00659986	0.0123546	0.0200244	0.0284198	0.0372097	0.0453226	0.0519433	0.0567639	0.0602031	0.0607641	0.0603418	0.0581449	0.0546787	0.0503757	0.0462773	0.0410665	0.0368976	0.032627	0.0287851	0.0252372	0.0225318	0.0194776	0.017361	0.0151865	0.0133635	0.0116361	0.0103749	0.00889747	0.00791498	0.00686659	0.00603387	0.00522489	0.00465646	0.00398104	0.0035485	0.00307759	0.00271401	0.00235289	0.00210536	0.00180587	0.00161754	0.00140768	0.00124848	0.00108787	0.000979393	0.000844448	0.000761197	0.000665978	0.000594612	0.000520531	0.000471263	0.000408538	0.000370429	0.000325551	0.000292446	0.000257368	0.000234372	0.000204291	0.000186375	0.000164761	0.000149017	0.000131907	0.000121328	
N4	0.000175743	0.00155714	0.00617624	0.0153808	0.0279627	0.0424265	0.0529441	0.0617166	0.0657446	0.0666733	0.0642305	0.063459	0.0568183	0.0541392	0.0486407	0.0444817	0.0390066	0.0363966	0.0307198	0.0283426	0.0244632	0.021888	0.0187336	0.017147	0.0142505	0.0129632	0.0110575	0.00980148	0.00830512	0.00751853	0.0062362	0.0056189	0.00475476	0.00419351	0.00355007	0.00319042	0.00264266	0.0023669	0.0020053	0.00176135	0.00148511	0.001324	0.00109911	0.000976815	0.000823534	0.000719356	0.000606782	0.000537851	0.000446016	0.000394274	0.000332649	0.000289656	0.000243669	0.000214775	0.000178455	0.000157016	0.000132158	0.000114689	9.659e-005	8.4817e-005	7.05113e-005	6.18614e-005	5.21981e-005	4.52746e-005	3.81821e-005	3.37087e-005	
N5	2.97181e-005	0.000356427	0.00183383	0.00567534	0.0123369	0.0219526	0.0310592	0.0409319	0.0481999	0.0537825	0.0558637	0.0604583	0.0567016	0.0584108	0.0546881	0.0530498	0.0476535	0.0472802	0.0398848	0.038821	0.0335644	0.031109	0.0264341	0.0252585	0.0203394	0.019218	0.016078	0.0145595	0.0119588	0.0111736	0.00884302	0.00819311	0.00665281	0.00592871	0.00480201	0.00440119	0.00339813	0.00309132	0.0024884	0.00218762	0.00173524	0.00156728	0.00121679	0.00109936	0.00087959	0.000773938	0.000626591	0.000567888	0.000447536	0.000403917	0.000330455	0.000290496	0.00023579	0.000210086	0.000168059	0.000148951	0.000121319	0.000105351	8.63739e-005	7.60682e-005	6.13832e-005	5.39588e-005	4.46311e-005	3.87057e-005	3.20058e-005	2.82617e-005	
N6	2.94088e-005	0.000353338	0.00182097	0.00564366	0.0122903	0.0218814	0.0310199	0.0408899	0.0482141	0.0537955	0.0559986	0.0604636	0.0569057	0.0584634	0.0548663	0.0530838	0.0478618	0.0472298	0.0400629	0.0387816	0.0336575	0.0310531	0.0265213	0.025147	0.0203972	0.019137	0.0160855	0.0144764	0.0119681	0.0110821	0.00884147	0.0081206	0.00663281	0.0058692	0.00478629	0.00434097	0.00338283	0.00304948	0.00246945	0.00215345	0.00172191	0.00153951	0.00120648	0.00107971	0.000870111	0.000760026	0.000619859	0.000555995	0.000442007	0.000395412	0.000325086	0.000283565	0.000231495	0.000204459	0.00016456	0.000144713	0.00011839	0.000102194	8.41367e-005	7.35544e-005	5.96585e-005	5.21237e-005	4.3233e-005	3.72781e-005	3.07869e-005	2.61577e-005	
N7	1.95561e-005	0.000253806	0.00141884	0.00474227	0.0111218	0.0208164	0.0315301	0.0429472	0.0527109	0.0601255	0.0644777	0.068531	0.0666767	0.0663487	0.0625824	0.0585789	0.0527891	0.0491384	0.0420575	0.038158	0.0327566	0.0286007	0.0240343	0.0212091	0.0171469	0.0149095	0.0121968	0.0102564	0.00825343	0.0070402	0.00548692	0.00463314	0.00366226	0.00300938	0.00236352	0.00197641	0.00150999	0.00125533	0.000979034	0.000794278	0.000614509	0.000505287	0.000382727	0.000312588	0.000239954	0.000191555	0.000146526	0.000118334	8.85661e-005	7.10121e-005	5.38735e-005	4.2321e-005	3.18768e-005	2.5243e-005	1.87003e-005	1.47246e-005	1.10194e-005	8.5267e-006	6.36803e-006	4.97191e-006	3.65686e-006	2.84562e-006	2.12203e-006	1.62991e-006	1.21452e-006	9.536e-007	
N8	9.28314e-032	7.30274e-026	2.44184e-021	6.89172e-019	1.68754e-014	6.9764e-016	3.57992e-011	1.24348e-012	3.52882e-011	3.4067e-008	3.76048e-009	2.78193e-012	1.48864e-008	2.82979e-005	0.000105212	4.15813e-008	4.06505e-011	5.46317e-010	6.10281e-006	0.00641598	0.061846	6.9201e-005	3.48867e-008	1.23026e-011	3.82545e-015	8.44424e-012	6.20625e-007	0.0159951	0.223705	0.689855	0.00197038	2.58561e-006	1.86711e-009	9.72478e-013	3.57972e-016	1.26488e-018	9.81559e-018	6.85363e-017	3.26279e-016	1.12199e-015	2.27304e-015	2.30357e-015	3.89698e-018	3.45633e-021	1.8639e-024	7.655e-028	2.35035e-031	6.20952e-035	1.2711e-038	2.3888e-042	3.68996e-046	5.18666e-050	6.19839e-054	6.96112e-058	6.56515e-062	5.9364e-066	4.61305e-070	3.35907e-074	2.14372e-078	1.29839e-082	6.72256e-087	3.34177e-091	1.44158e-095	5.78495e-100	2.02615e-104	6.64717e-109	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
