NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	2.00747e-008	2.6016e-008	4.1056e-008	7.3068e-008	1.38196e-007	2.67159e-007	5.16191e-007	9.83743e-007	1.83634e-006	3.34406e-006	5.93057e-006	1.0235e-005	1.71918e-005	2.81198e-005	4.48272e-005	6.97154e-005	0.00010589	0.000157251	0.00022858	0.00032558	0.000454894	0.000624073	0.000841485	0.00111618	0.00145769	0.00187576	0.00238005	0.00297982	0.00368358	0.00449875	0.00543131	0.00648564	0.00766418	0.00896726	0.0103928	0.0119364	0.013591	0.0153474	0.0171936	0.0191161	0.021099	0.0231256	0.0251787	0.0272407	0.0292937	0.0313203	0.0333035	0.0352274	0.0370776	0.0388408	0.0405057	0.0420622	0.0435023	0.0448196	0.0460097	0.0470699	0.0479993	0.0487983	0.0494669	0.0500028	0.0503962	0.0506213	
N2	2.992e-008	4.18928e-008	7.38922e-008	1.45508e-007	2.97079e-007	6.05281e-007	1.20522e-006	2.33449e-006	4.38403e-006	7.96466e-006	1.4025e-005	2.3964e-005	3.97217e-005	6.40486e-005	0.000100584	0.000153913	0.000230002	0.000336116	0.00048042	0.000673071	0.000925164	0.00124804	0.00165517	0.00216015	0.00277409	0.00351129	0.00438279	0.00539447	0.00655561	0.00787063	0.00933265	0.010946	0.0127061	0.0145962	0.0166141	0.0187471	0.0209593	0.0232463	0.0255801	0.0279126	0.0302326	0.0325136	0.0346954	0.0367854	0.0387449	0.0405018	0.0420415	0.0433097	0.0441868	0.0446559	0.0446349	0.0440189	0.0428199	0.0410398	0.0386483	0.0358064	0.0326225	0.0291965	0.025756	0.0224662	0.0193809	0.0166914	
N3	0.0105962	0.0117963	0.0143874	0.0185115	0.0243143	0.031796	0.0404645	0.0499148	0.0592777	0.067446	0.0736531	0.0772753	0.0776324	0.0750677	0.0698795	0.0625653	0.0540702	0.0451941	0.0364364	0.0284857	0.0215978	0.015863	0.0113266	0.00787727	0.00531762	0.00350464	0.00225422	0.00141273	0.000865914	0.000520104	0.000304682	0.000175285	9.89233e-005	5.46443e-005	2.96663e-005	1.58636e-005	8.30068e-006	4.28665e-006	2.18003e-006	1.08882e-006	5.36414e-007	2.61361e-007	1.24851e-007	5.9097e-008	2.76193e-008	1.27066e-008	5.78057e-009	2.60918e-009	1.15559e-009	5.08779e-010	2.21533e-010	9.51272e-011	4.04603e-011	1.71225e-011	7.11234e-012	2.94669e-012	1.20995e-012	4.91996e-013	1.99798e-013	8.26316e-014	3.5814e-014	1.92147e-014	
N4	0.0280681	0.0324974	0.0417906	0.0558169	0.0734197	0.0918338	0.106393	0.113631	0.11124	0.0994713	0.081536	0.0614409	0.0424866	0.0271596	0.0160826	0.00882609	0.00451526	0.00216213	0.000966886	0.000407242	0.000161775	6.05735e-005	2.15106e-005	7.27616e-006	2.3313e-006	7.15563e-007	2.10321e-007	5.90516e-008	1.59556e-008	4.17254e-009	1.04347e-009	2.54065e-010	5.99858e-011	1.36756e-011	3.0372e-012	6.6308e-013	1.39049e-013	2.88536e-014	5.85617e-015	1.15767e-015	2.24711e-016	4.34684e-017	8.07409e-018	1.50522e-018	2.75358e-019	4.9459e-020	8.75412e-021	1.56105e-021	2.67352e-022	4.64315e-023	7.92037e-024	1.33816e-024	2.2295e-025	3.75689e-026	6.09766e-027	1.00383e-027	1.62087e-028	2.59876e-029	4.10348e-030	6.56604e-031	1.05806e-031	2.28047e-032	
Carex_lingii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0304309	0.0370975	0.0513643	0.0731308	0.0994432	0.123526	0.136005	0.1322	0.112946	0.0846355	0.0559838	0.0328825	0.0171103	0.00798785	0.00335681	0.00127016	0.000437187	0.0001382	3.96812e-005	1.06003e-005	2.63236e-006	6.05128e-007	1.30782e-007	2.71919e-008	5.19549e-009	9.77552e-010	1.76326e-010	3.0413e-011	5.06765e-012	8.68545e-013	1.33353e-013	2.16367e-014	3.31177e-015	5.01099e-016	7.14817e-017	1.09198e-017	1.42912e-018	2.0527e-019	2.67441e-020	3.5763e-021	4.35202e-022	5.82389e-023	6.57416e-024	8.33509e-025	9.40078e-026	1.11617e-026	1.19002e-027	1.42563e-028	1.42676e-029	1.62704e-030	1.64764e-031	1.78188e-032	1.73559e-033	1.93018e-034	1.8128e-035	1.98741e-036	2.01665e-037	2.24078e-038	2.41386e-039	2.94442e-040	3.45237e-041	5.80135e-042	
N6	0.0314984	0.0392156	0.0557763	0.0808499	0.110118	0.134605	0.143462	0.133053	0.107127	0.0747895	0.0456557	0.024581	0.0116074	0.00490224	0.00185868	0.000630753	0.000194945	5.64681e-005	1.45658e-005	3.66694e-006	8.76643e-007	1.99348e-007	4.35615e-008	1.06912e-008	2.11542e-009	5.1359e-010	1.08555e-010	2.45449e-011	4.68518e-012	1.14976e-012	1.93711e-013	4.45815e-014	7.61879e-015	1.59961e-015	2.51733e-016	5.49183e-017	7.75747e-018	1.57137e-018	2.30806e-019	4.33898e-020	5.95447e-021	1.16594e-021	1.46798e-022	2.72446e-023	3.71269e-024	6.26357e-025	8.14835e-026	1.55419e-026	1.80201e-027	3.1378e-028	4.18091e-029	6.92598e-030	8.48183e-031	1.54158e-031	1.74439e-032	3.03782e-033	3.81348e-034	6.29957e-035	8.96375e-036	1.91615e-036	3.47847e-037	1.15036e-037	
Carex_grandiligulata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_pachygyna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_siderosticta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
