NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	1.55818e-017	5.94846e-017	4.95667e-013	1.09416e-011	1.78388e-010	2.12325e-009	1.91563e-008	1.34728e-007	7.65548e-007	3.6047e-006	1.44191e-005	4.99135e-005	0.000151935	0.000411891	0.0010048	0.00222583	0.00451131	0.00842478	0.0145778	0.0234833	0.0353317	0.0497634	0.0656891	0.0813076	0.094342	0.102538	0.10426	0.0990148	0.0876662	0.0722213	0.0552593	0.0392033	0.0257534	0.0156492	0.00879051	0.00456312	0.00218899	0.000970696	0.000398121	0.000151132	5.31485e-005	1.73327e-005	5.24761e-006	1.47671e-006	3.86729e-007	9.43732e-008	2.14874e-008	4.5707e-009	9.0952e-010	1.69527e-010	2.96364e-011	4.86551e-012	7.51094e-013	1.43628e-016	5.31603e-017	1.91144e-017	6.68056e-018	2.27087e-018	7.51172e-019	2.41932e-019	7.59075e-020	2.32135e-020	6.92277e-021	2.01429e-021	5.72105e-022	1.58691e-022	4.30091e-023	1.13948e-023	2.95266e-024	7.48733e-025	1.85945e-025	4.52918e-026	1.08621e-026	2.59931e-027	6.55761e-028	2.24581e-028	
N2	1.30653e-012	8.90987e-012	8.88147e-011	7.96684e-010	5.97604e-009	3.73636e-008	1.97214e-007	8.92214e-007	3.51754e-006	1.22359e-005	3.80773e-005	0.000107	0.000273118	0.000636874	0.00136214	0.00268013	0.00487977	0.0082718	0.0131204	0.0196116	0.0277632	0.0373175	0.0478143	0.0585555	0.0684186	0.0765268	0.081926	0.0835973	0.0815343	0.0761763	0.0675655	0.05759	0.0472946	0.0371319	0.0283417	0.0213606	0.0153879	0.0110866	0.00789377	0.0054327	0.00368076	0.00250927	0.00159183	0.0010197	0.00062974	0.000375307	0.000215393	0.000124974	6.65672e-005	3.62302e-005	1.87036e-005	9.55364e-006	4.63275e-006	2.30675e-006	1.05028e-006	4.94848e-007	2.18832e-007	9.74174e-008	4.07419e-008	1.76596e-008	6.98051e-009	2.8774e-009	1.11386e-009	4.37333e-010	1.62661e-010	6.36101e-011	2.30706e-011	8.8889e-012	3.32439e-012	1.28621e-012	4.92233e-013	1.98661e-013	7.82466e-014	3.27921e-014	1.48599e-014	9.02008e-015	
N3	7.29133e-017	1.58555e-015	4.28679e-014	8.71274e-013	1.30317e-011	1.45501e-010	1.23758e-009	8.04749e-009	4.36004e-008	2.06399e-007	8.74993e-007	3.34423e-006	1.13914e-005	3.37542e-005	8.63359e-005	0.000192653	0.000388366	0.00073245	0.00132615	0.0023279	0.00395573	0.00650064	0.010377	0.0161564	0.0243328	0.0352869	0.0487558	0.063391	0.0774681	0.0890261	0.0951803	0.0959179	0.0911516	0.0811693	0.0685794	0.0556307	0.042185	0.0309843	0.0218169	0.0145521	0.00931007	0.00582953	0.00337151	0.00191821	0.00103715	0.000532774	0.000259804	0.000124974	5.478e-005	2.3861e-005	9.75766e-006	3.84291e-006	1.42286e-006	5.25579e-007	1.76126e-007	5.93234e-008	1.86523e-008	5.73238e-009	1.64898e-009	4.78502e-010	1.26215e-010	3.38412e-011	8.50271e-012	2.11704e-012	4.98437e-013	1.2028e-013	2.69189e-014	6.22645e-015	1.38524e-015	3.11023e-016	6.80341e-017	1.52575e-017	3.29874e-018	7.36157e-019	1.69068e-019	5.00225e-020	
N4	8.52374e-014	5.41405e-013	4.89435e-012	4.12418e-011	3.00254e-010	1.86439e-009	9.9299e-009	4.58401e-008	1.85755e-007	6.67038e-007	2.14704e-006	6.25705e-006	1.66854e-005	4.11665e-005	9.4906e-005	0.000205995	0.000424143	0.000833042	0.00156471	0.00281427	0.00484007	0.00793644	0.0123861	0.0183767	0.0258949	0.034706	0.044303	0.0538885	0.0625858	0.0694879	0.0736863	0.0748369	0.0729292	0.0681726	0.061505	0.0539025	0.0457641	0.0381908	0.0315607	0.0256232	0.0208525	0.0172694	0.0140174	0.0116869	0.00990882	0.00818603	0.00680843	0.0057887	0.00457701	0.00370302	0.00292441	0.00221516	0.00163503	0.00123267	0.000846979	0.000603334	0.000409081	0.000275534	0.000176538	0.000117931	7.14703e-005	4.56991e-005	2.72377e-005	1.66488e-005	9.50423e-006	5.75402e-006	3.17696e-006	1.87971e-006	1.0512e-006	6.20543e-007	3.55033e-007	2.19674e-007	1.33088e-007	8.87629e-008	6.34734e-008	5.51581e-008	
Carex_microglochin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	9.85315e-014	4.97998e-013	3.84519e-012	2.84225e-011	1.83298e-010	1.01976e-009	4.93356e-009	2.10457e-008	8.01996e-008	2.74824e-007	8.54767e-007	2.4321e-006	6.38182e-006	1.55761e-005	3.56228e-005	7.68534e-005	0.000157717	0.000309301	0.000578726	0.00102992	0.0017346	0.00275453	0.00413162	0.00587795	0.00796336	0.0103428	0.0129284	0.015552	0.0180465	0.0202329	0.0218884	0.0230571	0.023836	0.0243425	0.0249346	0.0259373	0.0272855	0.029399	0.0322894	0.0355537	0.0393257	0.0436537	0.0469907	0.0502707	0.0526864	0.0531462	0.052193	0.0505598	0.0459778	0.0413477	0.0358097	0.0297437	0.0238018	0.0188827	0.013947	0.0102879	0.00726246	0.00498782	0.00328611	0.00217308	0.00134066	0.000836957	0.000500331	0.000296436	0.000169303	9.84803e-005	5.42965e-005	3.06595e-005	1.68248e-005	9.28296e-006	5.01916e-006	2.76778e-006	1.49586e-006	8.46944e-007	5.1584e-007	3.86945e-007	
Carex_baldensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_curvula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.23297e-019	5.55336e-018	2.73399e-016	9.27597e-015	2.18584e-013	3.66147e-012	4.41496e-011	3.79013e-010	2.67999e-009	1.64332e-008	8.90479e-008	4.27766e-007	1.78489e-006	6.2542e-006	1.8429e-005	4.68312e-005	0.00010826	0.00023713	0.000502013	0.00102358	0.00199879	0.00375198	0.00679349	0.0118603	0.0197725	0.0311776	0.046082	0.0633462	0.0808449	0.0957384	0.104862	0.106699	0.101022	0.0887757	0.0728708	0.0561077	0.0402006	0.0271365	0.0172553	0.0102461	0.005739	0.00304972	0.00150243	0.00070409	0.00031134	0.000128379	4.99742e-005	1.8651e-005	6.38159e-006	2.11043e-006	6.58488e-007	1.93162e-007	5.35308e-008	1.46545e-008	3.60681e-009	8.93901e-010	2.08319e-010	4.68657e-011	9.89662e-012	2.19437e-012	4.19036e-013	8.64644e-014	1.6411e-014	3.1183e-015	5.42853e-016	1.05058e-016	1.6658e-017	3.00495e-018	4.8777e-019	8.34644e-020	1.35669e-020	2.64164e-021	4.83294e-022	1.04247e-022	2.2629e-023	5.98735e-024	
N7	7.55337e-021	3.88315e-019	2.26582e-017	9.20553e-016	2.59661e-014	5.15367e-013	7.3515e-012	7.65358e-011	6.47552e-010	4.65986e-009	2.90679e-008	1.57146e-007	7.26203e-007	2.8141e-006	9.19944e-006	2.59789e-005	6.61386e-005	0.000157237	0.000356616	0.000774636	0.00160805	0.00319491	0.00607724	0.0110453	0.019027	0.0308057	0.0465079	0.0650328	0.0840166	0.100145	0.109911	0.111313	0.104154	0.0899429	0.0719811	0.0535272	0.0368638	0.023675	0.0141958	0.0079062	0.00411873	0.00201378	0.000911942	0.000388467	0.000155386	5.76414e-005	2.01039e-005	6.67359e-006	2.0273e-006	5.91586e-007	1.63804e-007	4.20674e-008	1.02745e-008	2.52862e-009	5.41439e-010	1.2129e-010	2.60101e-011	5.26614e-012	1.0079e-012	2.25368e-013	3.72872e-014	7.72533e-015	1.40754e-015	2.56461e-016	4.02726e-017	8.44361e-018	1.11652e-018	2.10672e-019	3.05518e-020	5.01329e-021	6.39904e-022	1.22239e-022	1.64612e-023	3.89883e-024	9.57577e-025	3.53382e-025	
