NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	1.45689e-022	4.99512e-021	1.48006e-019	2.76084e-018	3.45595e-017	8.48536e-013	3.55036e-011	7.92979e-010	1.14451e-008	1.25553e-007	1.23548e-006	1.11556e-005	8.59364e-005	0.000525233	0.0024711	0.00894837	0.0249899	0.0543532	0.0942787	0.135041	0.164395	0.170935	0.148704	0.104504	0.0573098	0.0238994	0.00746533	0.00173635	0.000300967	3.90948e-005	3.83995e-006	2.88469e-007	1.67954e-008	7.68983e-010	2.81154e-011	8.33812e-013	4.74304e-017	6.77731e-018	8.91154e-019	1.08435e-019	1.22644e-020	1.29372e-021	1.27581e-022	1.17814e-023	1.01994e-024	8.28589e-026	6.32253e-027	4.536e-028	3.06331e-029	1.94993e-030	1.17163e-031	6.65557e-033	3.5803e-034	1.82692e-035	8.85769e-037	4.08741e-038	1.79811e-039	7.5529e-041	3.03395e-042	1.16719e-043	4.30648e-045	1.52593e-046	5.19915e-048	1.70546e-049	5.39214e-051	1.64501e-052	4.84743e-054	1.38109e-055	3.80809e-057	1.01708e-058	2.63352e-060	6.61614e-062	1.61398e-063	3.82593e-065	8.81924e-067	1.97823e-068	4.3207e-070	9.19466e-072	1.90758e-073	3.86048e-075	7.62527e-077	1.4708e-078	2.77178e-080	5.10605e-082	9.19898e-084	1.62152e-085	2.79785e-087	4.72754e-089	7.82589e-091	1.26969e-092	2.01984e-094	3.15887e-096	5.75229e-098	
N2	8.62482e-024	3.50142e-021	1.12501e-018	1.90025e-016	1.91554e-014	1.18394e-012	4.21322e-011	9.49643e-010	1.77144e-008	2.91206e-007	4.28761e-006	4.98402e-005	0.000393534	0.00200728	0.00702296	0.0184464	0.0385853	0.0653289	0.0920455	0.113926	0.129269	0.136176	0.130877	0.110593	0.0781785	0.0446476	0.0206215	0.00771308	0.00263136	0.000987357	0.000325255	0.000116109	4.04841e-005	1.02433e-005	2.43634e-006	5.88269e-007	9.5009e-008	1.78353e-008	2.66369e-009	4.18193e-010	4.98249e-011	7.65632e-012	7.48352e-013	9.91682e-014	8.41179e-015	9.32033e-016	6.61434e-017	6.3779e-018	3.84183e-019	3.14445e-020	1.67298e-021	1.15619e-022	5.31696e-024	3.40393e-025	1.33158e-026	7.37532e-028	3.0087e-029	1.48677e-030	5.79323e-032	3.26016e-033	1.12307e-034	5.64334e-036	2.30225e-037	9.9039e-039	3.47472e-040	1.66344e-041	4.6599e-043	1.82435e-044	5.58651e-046	1.8288e-047	4.80981e-049	1.73039e-050	3.61343e-052	1.07366e-053	2.48089e-055	6.62166e-057	1.29509e-058	3.64364e-060	6.40894e-062	1.69339e-063	2.96886e-065	6.94848e-067	1.192e-068	3.06244e-070	4.5181e-072	1.03983e-073	1.75258e-075	4.60054e-077	9.22466e-079	3.53945e-080	1.42355e-081	9.07495e-083	6.93158e-084	
N3	2.04226e-023	9.60004e-021	3.67577e-018	7.2405e-016	7.95245e-014	6.28433e-012	3.03245e-010	7.05443e-009	1.1389e-007	1.358e-006	1.44825e-005	0.00014123	0.00102433	0.0047305	0.0144013	0.0323113	0.0580363	0.0850931	0.106497	0.118381	0.121347	0.118259	0.109694	0.0933455	0.0678125	0.0398625	0.0186555	0.0070777	0.00231305	0.000707866	0.000207675	6.08387e-005	1.78954e-005	4.53071e-006	1.09618e-006	2.76717e-007	5.18714e-008	1.08116e-008	2.32472e-009	3.8721e-010	6.73014e-011	1.56917e-011	2.26086e-012	5.71911e-013	9.83923e-014	2.47094e-014	3.6856e-015	9.70163e-016	1.19811e-016	2.64645e-017	2.8448e-018	5.02343e-019	4.33959e-020	6.63265e-021	4.61886e-022	5.79474e-023	3.64581e-024	3.88202e-025	2.15903e-026	2.15364e-027	1.06209e-028	9.57208e-030	4.77027e-031	3.75103e-032	1.67757e-033	1.33228e-034	5.12174e-036	3.45926e-037	1.38331e-038	7.90808e-040	2.84487e-041	1.8317e-042	5.21738e-044	2.68181e-045	9.50293e-047	4.04019e-048	1.19233e-049	6.25304e-051	1.40257e-052	5.81842e-054	1.66048e-055	5.49178e-057	1.34262e-058	5.9972e-060	1.06538e-061	3.69163e-063	9.09204e-065	3.16369e-066	6.46958e-068	2.7714e-069	9.14739e-071	5.06857e-072	3.01082e-073	
N4	1.07204e-025	4.33532e-023	1.64536e-020	3.68251e-018	5.0678e-016	4.32555e-014	2.14568e-012	6.35129e-011	1.3812e-009	2.29013e-008	3.25201e-007	3.68914e-006	2.87015e-005	0.00014554	0.000524129	0.00149137	0.00359876	0.0073351	0.012678	0.0194915	0.0285998	0.0418057	0.0592956	0.076475	0.0818126	0.0748124	0.0691557	0.0549124	0.0523105	0.0709153	0.0518814	0.0592687	0.0559923	0.0484831	0.0313512	0.0357552	0.0162791	0.0178981	0.00796454	0.00828208	0.0033619	0.00361693	0.00141707	0.00148047	0.000583764	0.000542768	0.000190701	0.000161336	4.83459e-005	3.28277e-005	9.16547e-006	4.74932e-006	1.14994e-006	6.68935e-007	1.23727e-007	5.52859e-008	1.57835e-008	5.08185e-009	1.14145e-009	5.87978e-010	7.73883e-011	2.48656e-011	5.52329e-012	1.32225e-012	1.84057e-013	6.08316e-014	6.04278e-015	1.50037e-015	1.80339e-016	3.00039e-017	3.27307e-018	8.57481e-019	5.36545e-020	8.79489e-021	8.84001e-022	1.72686e-022	9.74352e-024	1.48941e-024	1.08626e-025	2.08752e-026	1.01007e-027	1.18064e-028	7.81067e-030	1.31431e-030	5.11025e-032	5.23935e-033	2.98577e-034	4.09695e-035	1.45675e-036	1.3899e-037	8.42806e-039	1.28973e-039	1.85814e-040	
N5	1.27481e-023	1.93658e-021	2.8992e-019	2.73005e-017	1.76412e-015	8.00766e-014	2.12998e-012	3.52124e-011	5.10179e-010	5.8204e-009	6.6583e-008	6.65798e-007	4.59378e-006	2.03808e-005	6.2998e-005	0.000166612	0.000437261	0.00103842	0.00206155	0.00360835	0.00637592	0.0125169	0.0251147	0.0451977	0.0681965	0.0862	0.0948962	0.0948477	0.092104	0.0893839	0.0818934	0.0728353	0.0618003	0.048521	0.036525	0.026651	0.0179827	0.0119799	0.00771954	0.00489708	0.00301866	0.00184249	0.00104253	0.000566555	0.000279838	0.000128083	5.25477e-005	1.99625e-005	6.72433e-006	2.10448e-006	5.96504e-007	1.57107e-007	3.81081e-008	8.84699e-009	1.87784e-009	3.87245e-010	7.54959e-011	1.39859e-011	2.44372e-012	4.18851e-013	6.40032e-014	9.7213e-015	1.39275e-015	1.90224e-016	2.47262e-017	3.4292e-018	4.04441e-019	5.22655e-020	6.36887e-021	7.44005e-022	8.16894e-023	9.82851e-024	9.41264e-025	1.00442e-025	9.75582e-027	9.142e-028	7.87737e-029	7.54378e-030	5.76585e-031	5.05431e-032	3.93007e-033	3.14324e-034	2.25082e-035	1.86616e-036	1.24425e-037	9.96172e-039	7.09851e-040	5.8203e-041	4.53234e-042	4.19521e-043	3.62451e-044	3.4956e-045	3.99913e-046	
Cyperus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.57817e-030	1.73917e-027	1.47737e-024	5.5918e-022	1.24469e-019	1.44567e-017	7.23527e-016	2.13425e-014	6.62529e-013	1.3845e-011	2.53008e-010	3.97717e-009	3.91229e-008	1.99837e-007	6.79772e-007	2.55971e-006	1.24579e-005	5.62962e-005	0.000194027	0.00054907	0.00147399	0.00395041	0.0104115	0.0252803	0.0522741	0.0875606	0.118513	0.132457	0.127095	0.109273	0.086659	0.0666338	0.0516827	0.0405062	0.0312674	0.0226347	0.0146922	0.00860055	0.00454053	0.00216706	0.000940851	0.000372427	0.000133873	4.44714e-005	1.37719e-005	4.00539e-006	1.08587e-006	2.70194e-007	6.02507e-008	1.19326e-008	2.082e-009	3.2042e-010	4.37677e-011	5.37344e-012	5.95363e-013	6.07044e-014	5.73579e-015	5.04761e-016	4.16821e-017	3.28629e-018	2.40225e-019	1.71023e-020	1.19231e-021	7.94189e-023	5.31172e-024	3.84702e-025	2.43889e-026	1.66976e-027	1.15176e-028	6.87865e-030	4.12152e-031	2.59362e-032	1.29414e-033	6.88085e-035	3.56748e-036	1.56084e-037	6.78302e-039	3.07233e-040	1.09691e-041	4.24995e-043	1.55494e-044	5.12298e-046	1.61356e-047	5.59289e-049	1.53187e-050	4.98068e-052	1.45742e-053	4.85034e-055	1.56721e-056	6.11531e-058	2.17401e-059	8.12962e-061	3.3342e-062	
N7	2.82715e-030	1.49956e-027	6.55876e-025	1.5966e-022	2.37681e-020	2.08248e-018	1.0084e-016	3.50134e-015	9.68707e-014	2.2498e-012	4.39662e-011	6.04418e-010	5.30099e-009	3.21365e-008	1.72351e-007	9.32781e-007	4.76561e-006	2.08111e-005	7.7751e-005	0.000269856	0.000907021	0.00293781	0.00888021	0.0236957	0.0526585	0.0938486	0.132923	0.151764	0.14425	0.119246	0.0899811	0.0647803	0.0452604	0.0302018	0.0187057	0.0104967	0.00527528	0.00237069	0.000952246	0.000341253	0.00010883	3.08176e-005	7.75122e-006	1.73768e-006	3.48289e-007	6.24367e-008	9.98353e-009	1.41813e-009	1.78527e-010	1.99609e-011	1.99536e-012	1.80195e-013	1.4906e-014	1.14769e-015	8.3474e-017	5.84924e-018	4.03527e-019	2.75511e-020	1.9152e-021	1.42387e-022	1.05777e-023	8.96366e-025	9.32204e-026	8.41292e-027	8.71178e-028	1.02071e-028	8.67752e-030	8.24622e-031	8.35118e-032	6.09657e-033	4.82759e-034	4.08968e-035	2.43457e-036	1.61529e-037	1.08905e-038	5.47497e-040	2.89665e-041	1.6675e-042	6.74293e-044	3.2878e-045	1.47671e-046	6.17985e-048	2.36578e-049	1.17394e-050	3.93433e-052	1.9562e-053	6.92576e-055	3.54454e-056	1.39989e-057	8.8348e-059	4.83462e-060	3.25154e-061	2.35426e-062	
N8	4.15568e-024	2.34487e-022	1.57487e-020	7.88679e-019	2.91756e-017	8.03185e-016	1.70036e-014	2.82626e-013	3.91291e-012	4.4894e-011	4.3235e-010	3.64717e-009	2.63516e-008	1.56778e-007	7.77066e-007	3.38032e-006	1.39622e-005	5.66809e-005	0.000217711	0.000738248	0.00210441	0.00510877	0.0113683	0.0246142	0.0503063	0.0898551	0.133665	0.163057	0.1633	0.135757	0.0952556	0.0579341	0.0317931	0.0165731	0.00871817	0.00473558	0.0025396	0.00128997	0.000603571	0.00024774	9.32147e-005	3.34415e-005	1.04505e-005	3.27106e-006	1.01766e-006	2.82806e-007	8.05301e-008	2.62278e-008	8.46694e-009	3.77069e-009	1.87931e-009	9.75415e-010	4.74468e-010	2.47621e-010	1.0136e-010	4.52719e-011	1.69101e-011	6.4416e-012	2.04599e-012	7.2471e-013	1.9887e-013	6.28667e-014	1.5997e-014	4.52764e-015	1.03261e-015	2.73806e-016	5.627e-017	1.3467e-017	2.5657e-018	5.50383e-019	9.46247e-020	1.88045e-020	2.89419e-021	5.16081e-022	7.45867e-023	1.19631e-023	1.56991e-024	2.39557e-025	2.84626e-026	3.97469e-027	4.67803e-028	5.94553e-029	6.5057e-030	8.47138e-031	8.63151e-032	1.06879e-032	1.21254e-033	1.53639e-034	1.95428e-035	2.98879e-036	4.33456e-037	7.13783e-038	1.5557e-038	
Cyperus_longus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
