NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.00754119	0.0086602	0.0108898	0.0142687	0.0187954	0.0243551	0.0306866	0.0374046	0.0440367	0.0501016	0.0551607	0.0588844	0.0610704	0.0616623	0.060729	0.0584451	0.0550541	0.0508363	0.0460781	0.0410472	0.0359773	0.031057	0.0264286	0.0221883	0.0183928	0.0150642	0.0121988	0.00977287	0.00775034	0.00608757	0.00473818	0.00365595	0.00279737	0.00212322	0.00159913	0.00119555	0.000887609	0.000654685	0.000479972	0.000349945	0.000253878	0.000183353	0.00013185	9.44226e-005	6.73525e-005	4.78642e-005	3.38969e-005	2.39299e-005	1.6847e-005	1.18337e-005	8.29879e-006	5.8153e-006	4.0765e-006	2.86309e-006	2.0191e-006	1.43413e-006	1.03048e-006	7.53818e-007	5.66565e-007	4.43227e-007	3.67381e-007	3.30091e-007	
N2	0.00640033	0.00786953	0.0102657	0.0137065	0.0182402	0.0239073	0.0301059	0.0368298	0.0435076	0.0494868	0.0544904	0.058464	0.0604777	0.0612119	0.0604683	0.0581812	0.0548263	0.0509503	0.046059	0.0412012	0.0362922	0.0313804	0.0267722	0.0227448	0.0188434	0.0155991	0.0127794	0.0103273	0.00827043	0.00666365	0.00522072	0.0041333	0.00324418	0.00252343	0.00194755	0.00153122	0.0011604	0.000901588	0.000693261	0.000531768	0.000403787	0.000317072	0.000237098	0.000184752	0.000141482	0.000108923	8.24462e-005	6.54468e-005	4.88446e-005	3.85759e-005	2.97645e-005	2.34712e-005	1.82487e-005	1.52248e-005	1.21666e-005	1.05938e-005	9.28158e-006	8.59243e-006	8.11611e-006	8.22314e-006	8.39368e-006	9.17062e-006	
N3	0.0513526	0.0587636	0.0676916	0.0770663	0.0853575	0.0915205	0.0927393	0.0901046	0.0833512	0.0731731	0.0612643	0.0492334	0.0375116	0.0275111	0.0193516	0.0130316	0.00844308	0.00529513	0.00317729	0.00185106	0.00104301	0.000567363	0.000299319	0.000154106	7.64668e-005	3.71358e-005	1.75674e-005	8.08051e-006	3.62948e-006	1.60258e-006	6.86003e-007	2.89419e-007	1.19629e-007	4.8379e-008	1.92111e-008	7.54313e-009	2.8853e-009	1.09366e-009	4.07946e-010	1.49614e-010	5.40942e-011	1.94139e-011	6.81564e-012	2.37881e-012	8.19413e-013	2.78462e-013	9.35259e-014	3.12374e-014	1.02391e-014	3.3406e-015	1.07755e-015	3.4365e-016	1.08478e-016	3.40714e-017	1.05329e-017	3.2433e-018	9.89833e-019	3.00014e-019	9.08575e-020	2.80751e-020	9.31078e-021	4.15982e-021	
N4	0.0649703	0.0790469	0.0984339	0.118183	0.131362	0.132893	0.119091	0.0956638	0.0685319	0.0437154	0.0250214	0.0129707	0.00603318	0.00256593	0.000997488	0.000354634	0.000116298	3.55665e-005	1.00049e-005	2.649e-006	6.57631e-007	1.52969e-007	3.35981e-008	7.06979e-009	1.39029e-009	2.64256e-010	4.79851e-011	8.32033e-012	1.38527e-012	2.26531e-013	3.48336e-014	5.306e-015	7.79916e-016	1.11172e-016	1.5338e-017	2.12098e-018	2.75075e-019	3.60267e-020	4.55702e-021	5.65616e-022	6.79073e-023	8.28032e-024	9.43211e-025	1.0988e-025	1.23277e-026	1.371e-027	1.47348e-028	1.62628e-029	1.67876e-030	1.79308e-031	1.85298e-032	1.92896e-033	1.9614e-034	2.07606e-035	2.10084e-036	2.22377e-037	2.32198e-038	2.46842e-039	2.60568e-040	2.83725e-041	3.1354e-042	4.8558e-043	
Carex_lingii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0526822	0.0710573	0.100979	0.134441	0.157046	0.157326	0.131306	0.0928615	0.0554993	0.0280537	0.0121358	0.0045757	0.00147567	0.000422925	0.000107246	2.41327e-005	4.87757e-006	9.24389e-007	1.53237e-007	2.46299e-008	3.65522e-009	5.13303e-010	6.6806e-011	9.10474e-012	1.04649e-012	1.30977e-013	1.47218e-014	1.67259e-015	1.68799e-016	1.91432e-017	1.72814e-018	1.79699e-019	1.58932e-020	1.50317e-021	1.21741e-022	1.15194e-023	8.44955e-025	7.37121e-026	5.42687e-027	4.39553e-028	3.00598e-029	2.45593e-030	1.55496e-031	1.19618e-032	7.73675e-034	5.51816e-035	3.37362e-036	2.50979e-037	1.41955e-038	9.86416e-040	5.83157e-041	3.84894e-042	2.14849e-043	1.47435e-044	7.84762e-046	5.24454e-047	3.04379e-048	2.06783e-049	1.34514e-050	1.0772e-051	8.27276e-053	9.70218e-054	
N6	0.0476306	0.0666311	0.0993927	0.137631	0.164131	0.164543	0.134888	0.092269	0.0526506	0.0250915	0.0101307	0.00357886	0.00105955	0.000285334	6.82931e-005	1.48489e-005	2.90627e-006	6.24715e-007	1.03098e-007	2.1383e-008	3.65098e-009	7.09955e-010	1.05783e-010	2.24976e-011	2.83205e-012	5.50293e-013	7.05593e-014	1.2125e-014	1.36005e-015	2.42547e-016	2.42278e-017	3.9452e-018	4.06036e-019	5.84856e-020	5.66353e-021	9.23844e-022	7.66618e-023	1.07969e-023	1.05956e-024	1.44184e-025	1.24045e-026	1.82752e-027	1.46058e-028	2.08586e-029	1.80193e-030	2.15872e-031	1.83491e-032	2.75107e-033	1.90843e-034	2.3393e-035	1.97522e-036	2.51238e-037	1.80463e-038	2.29733e-039	1.62616e-040	2.08783e-041	1.4896e-042	1.66766e-043	1.43068e-044	2.22548e-045	2.69854e-046	7.28033e-047	
Carex_grandiligulata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_pachygyna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_siderosticta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
