NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.161802	0.153049	0.138032	0.119564	0.100041	0.0812259	0.0642303	0.0496103	0.0375186	0.027835	0.0202928	0.0145569	0.0102876	0.00716972	0.00493225	0.00335179	0.00225181	0.00149651	0.00098447	0.000641402	0.000414097	0.000265046	0.000168266	0.000106001	6.62883e-005	4.11663e-005	2.53972e-005	1.55708e-005	9.49003e-006	5.7516e-006	3.46745e-006	2.07999e-006	1.24183e-006	7.38137e-007	4.36912e-007	2.57595e-007	1.51304e-007	8.85555e-008	5.16546e-008	3.00338e-008	1.74101e-008	1.00637e-008	5.80189e-009	3.33671e-009	1.91467e-009	1.09643e-009	6.26698e-010	3.576e-010	2.03721e-010	1.15879e-010	6.58177e-011	3.73323e-011	2.11482e-011	1.19661e-011	6.76351e-012	3.81936e-012	2.15513e-012	1.21534e-012	6.8511e-013	3.86167e-013	2.17718e-013	1.31988e-016	9.92071e-017	7.4657e-017	5.62966e-017	4.26023e-017	3.24463e-017	2.50096e-017	1.97249e-017	1.62448e-017	1.44411e-017	
N2	0.1427	0.145113	0.136855	0.121964	0.10401	0.0862832	0.068321	0.0531639	0.0403614	0.0298517	0.0216425	0.0156176	0.0108844	0.00758903	0.00521264	0.00352561	0.00235393	0.0015872	0.00103172	0.000681309	0.000444375	0.000287745	0.000184203	0.000120966	7.59248e-005	4.92654e-005	3.14862e-005	2.0149e-005	1.27005e-005	8.35151e-006	5.17962e-006	3.37783e-006	2.1506e-006	1.38518e-006	8.72071e-007	5.80647e-007	3.59268e-007	2.36895e-007	1.5114e-007	9.83995e-008	6.19979e-008	4.16663e-008	2.5815e-008	1.71868e-008	1.09762e-008	7.19499e-009	4.54068e-009	3.0767e-009	1.90921e-009	1.27898e-009	8.18416e-010	5.40939e-010	3.42402e-010	2.33632e-010	1.45664e-010	9.84964e-011	6.34908e-011	4.25036e-011	2.73387e-011	1.90669e-011	1.22691e-011	8.64677e-012	5.92749e-012	4.2909e-012	3.07808e-012	2.41533e-012	1.8535e-012	1.55529e-012	1.33578e-012	1.24422e-012	1.25667e-012	
N3	0.141789	0.144444	0.136621	0.122155	0.104474	0.0868254	0.0688166	0.0535248	0.0405771	0.0299431	0.0216469	0.0155637	0.0108091	0.00750597	0.00513545	0.00345969	0.0023015	0.00154586	0.00100173	0.000659336	0.00042887	0.00027698	0.000176942	0.000115934	7.2658e-005	4.70597e-005	3.00346e-005	1.919e-005	1.20808e-005	7.92889e-006	4.91082e-006	3.19552e-006	2.03039e-006	1.3043e-006	8.18989e-007	5.43413e-007	3.35122e-007	2.20078e-007	1.39835e-007	9.06137e-008	5.68158e-008	3.79928e-008	2.34064e-008	1.54982e-008	9.84009e-009	6.41204e-009	4.02059e-009	2.70959e-009	1.66975e-009	1.11244e-009	7.07398e-010	4.64985e-010	2.92501e-010	1.98779e-010	1.23222e-010	8.30685e-011	5.33621e-011	3.56694e-011	2.29111e-011	1.59948e-011	1.02981e-011	7.27133e-012	4.98976e-012	3.61561e-012	2.59408e-012	2.039e-012	1.57167e-012	1.33403e-012	1.16725e-012	1.11428e-012	1.1485e-012	
N4	0.123398	0.127744	0.124311	0.115314	0.102821	0.0893272	0.0739929	0.0601447	0.0475863	0.0365904	0.0275193	0.020613	0.0148551	0.0107413	0.00764799	0.00536911	0.00372071	0.00262619	0.00177482	0.00123269	0.000844449	0.000577647	0.000389767	0.000273986	0.000181564	0.000126648	8.63807e-005	5.95249e-005	4.00631e-005	2.86391e-005	1.89456e-005	1.34306e-005	9.17373e-006	6.40972e-006	4.32431e-006	3.13896e-006	2.07462e-006	1.48731e-006	1.01796e-006	7.19071e-007	4.85104e-007	3.54702e-007	2.34817e-007	1.69838e-007	1.16334e-007	8.26375e-008	5.59028e-008	4.12471e-008	2.73814e-008	1.99358e-008	1.37169e-008	9.84584e-009	6.69358e-009	4.97858e-009	3.32849e-009	2.45007e-009	1.69939e-009	1.2352e-009	8.54013e-010	6.48934e-010	4.47084e-010	3.42201e-010	2.52353e-010	1.98442e-010	1.53575e-010	1.32221e-010	1.10804e-010	1.03229e-010	9.82096e-011	1.011e-010	1.09613e-010	
N5	0.11634	0.121096	0.118994	0.111792	0.101157	0.0893817	0.075262	0.0623106	0.0502146	0.0393282	0.0301046	0.0230628	0.0168799	0.0124916	0.00907904	0.00652104	0.00460253	0.00336865	0.00230525	0.00166427	0.00116933	0.000830997	0.000571641	0.000428637	0.000285827	0.000213165	0.000149458	0.000109665	7.48683e-005	5.9087e-005	3.89553e-005	3.04821e-005	2.12585e-005	1.62367e-005	1.10492e-005	9.16199e-006	5.95259e-006	4.82846e-006	3.36736e-006	2.67277e-006	1.80399e-006	1.53842e-006	9.98453e-007	8.39292e-007	5.83175e-007	4.71186e-007	3.19548e-007	2.82545e-007	1.82475e-007	1.5575e-007	1.09051e-007	9.11083e-008	6.16824e-008	5.53628e-008	3.61144e-008	3.17242e-008	2.214e-008	1.86543e-008	1.28841e-008	1.18881e-008	7.74542e-009	6.85685e-009	4.94861e-009	4.3407e-009	3.06828e-009	2.98238e-009	2.31182e-009	2.55603e-009	2.71424e-009	3.6186e-009	4.95515e-009	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0476739	0.0523719	0.0567183	0.0606601	0.0639422	0.0667308	0.0672071	0.0667576	0.0647684	0.0611554	0.0564889	0.0517092	0.045689	0.0401956	0.0347793	0.0295676	0.0247958	0.0209021	0.017051	0.0140555	0.0114572	0.00925732	0.00740836	0.00603004	0.00473797	0.00380436	0.00301977	0.00238903	0.00187016	0.0015005	0.00115687	0.000917703	0.000717263	0.000561343	0.000433652	0.000344954	0.000262605	0.000206596	0.000159788	0.000124146	9.49613e-005	7.49858e-005	5.66127e-005	4.42858e-005	3.40006e-005	2.62838e-005	2.00005e-005	1.57504e-005	1.18581e-005	9.2672e-006	7.111e-006	5.51258e-006	4.20943e-006	3.33248e-006	2.53211e-006	2.00179e-006	1.55999e-006	1.23403e-006	9.6786e-007	7.88136e-007	6.23872e-007	5.14065e-007	4.21896e-007	3.531e-007	2.9622e-007	2.57361e-007	2.22242e-007	1.99626e-007	1.82624e-007	1.74248e-007	1.7414e-007	
N7	0.0416581	0.0457189	0.0494888	0.0530172	0.0561674	0.0591105	0.0603172	0.0608846	0.0602361	0.0581679	0.0550918	0.0517644	0.0470836	0.0426554	0.0380689	0.0334056	0.028949	0.0252377	0.0213011	0.0181933	0.0153846	0.0129022	0.010724	0.00911534	0.00744267	0.00626059	0.00520314	0.00432306	0.00354756	0.00302867	0.00244738	0.00207442	0.00172111	0.00144249	0.00118393	0.00102764	0.000829332	0.000714188	0.000595598	0.000507164	0.000418004	0.000369191	0.000299312	0.000262449	0.000220332	0.000190512	0.000158162	0.000142259	0.000116151	0.000103457	8.7539e-005	7.69654e-005	6.44132e-005	5.87763e-005	4.83735e-005	4.37111e-005	3.72991e-005	3.32757e-005	2.82186e-005	2.62454e-005	2.21069e-005	2.06558e-005	1.85228e-005	1.76901e-005	1.65659e-005	1.72371e-005	1.72898e-005	1.90887e-005	2.10558e-005	2.43332e-005	2.82168e-005	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
